10.2307/2395210|Animals|D000818|8867|CT|Spiders;CT Treecode Lookup: B01.050.500.131 (Spiders)||MM;RC
10.2307/2395210|*Trichilia|D029582|7867|ET|Entry Term Replacement for "Meliaceae";RtM via: Trichilia cipo;checkForceMH Boosted;Forced Non-Leaf Node Lookup:trichilias|TI|MM;RC|82^14^0;28^9^0
10.2307/2395210|*Spiders|D013112|66|MH|RtM via: Verrucosa|TI|MM|38^9^0
10.2307/2395210|Plant Extracts|D010936|39|MH|||RC
10.2307/3298531|Animals|D000818|84727|CT|RtM via: Family suidae|TI|MM;RC|1146^4^0
10.2307/3298531|Swine|D013552|84727|CT|RtM via: Family suidae;Forced Non-Leaf Node Lookup:pigs|TI|MM;RC|1146^4^0
10.2307/3298531|*Introduced Species|D058865|83727|MH|RtM via: Introduced Species;RtM via: Invasive Species;Forced Leaf Node Lookup:invasive species;Forced Leaf Node Lookup:alien species;checkForceMH Boosted|TI|MM;RC|698^13^0;1553^17^0;93^16^0
10.2307/3298531|*Ecosystem|D017753|53278|MH|RtM via: Ecosystem;RtM via: Habitat;Forced Lookup:ecosystems|TI|MM;RC|1955^10^0;1593^10^0;983^10^0;941^10^0;44^10^0;1753^7^0;1837^8^0
10.2307/3298531|*Islands|D062312|48139|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM;RC|1948^6^0;1886^7^0;1726^7^0;1460^7^0;997^7^0;934^6^0;633^6^0;453^6^0;315^7^0;37^6^0;210^7^0
10.2307/3298531|preempt|C112898|8432|NM|Forced SCR Leaf Node Lookup:preempt|TI|MM|604^7^0
10.2307/3298531|*Plant|D010944|15483|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|1432^5^0
10.2307/3298531|*Fire|D005390|9165|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM|1152^4^0
10.2307/3298531|*Forests|D065928|8931|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1312^7^0;1275^7^0
10.2307/3298531|*Rain|D011891|4662|MH|RtM via: Rain;Forced Non-Leaf Node Lookup:rain|TI|MM|840^4^0
40035727|Colombia|D003105|19661|MH|RtM via: Colombia;Forced Leaf Node Lookup:colombia|TI|MM;RC|3089^8^0;166^8^0
40035727|*Ceiba|D035164|5251|MH|RtM via: Ceiba;Forced Leaf Node Lookup:ceibas;checkForceMH Boosted|TI|MM|4128^5^0;1107^5^0
40035727|*Carex Plant|D031255|5248|MH|RtM via: Carex Genus;Forced Leaf Node Lookup:carex;checkForceMH Boosted|TI|MM|5191^5^0;2132^5^0
40035727|*Altitude|D000531|5170|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|4739^9^0;1698^9^0;595^8^0
40035727|*Wetlands|D053833|4627|MH|RtM via: Swamp;Forced Leaf Node Lookup:swamps;Forced Leaf Node Lookup:bog|TI|MM|2189^5^0;2198^3^0
40035727|*Ranunculus|D031947|4060|MH|RtM via: Ranunculus;Forced Leaf Node Lookup:ranunculus;checkForceMH Boosted|TI|MM|5213^10^0;2157^10^0
40035727|*Hypericum|D020902|3913|MH|RtM via: Hypericum;RtM via: Hypericum erectum;Forced Leaf Node Lookup:hypericums;checkForceMH Boosted|TI|MM|5177^9^0;2118^9^0
40035727|origen|C009784|3743|NM|RtM via: origen;Forced SCR Leaf Node Lookup:origen|TI|MM|4478^6^0
40035727|*Myrica|D031641|3724|MH|RtM via: Myrica;Forced Leaf Node Lookup:myricas;checkForceMH Boosted|TI|MM|4889^6^0;1839^6^0
40035727|*Proto-Oncogene Proteins c-fos|D016760|3574|MH|RtM via: Antigens, Fos-Related;Forced Leaf Node Lookup:fras;checkForceMH Boosted|TI|MM|3268^4^0
40035727|*Emigration and Immigration|D004641|2675|MH|RtM via: Immigration;Forced Leaf Node Lookup:immigrations|TI|MM|391^11^0
40035727|*Daphnopsis|D029645|2375|ET|Entry Term Replacement for "Thymelaeaceae";RtM via: Daphnopsis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:daphnopsis|TI|MM|4964^10^0;1914^10^0
40035727|*Fossils|D005580|2375|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM|1752^6^0;558^6^0
40035727|Antarctic Regions|D000864|1730|MH|RtM via: Antarctic (geographic area);RtM via: Antarctica;Forced Leaf Node Lookup:antarctic|TI|MM|450^9^0
40035727|Montana|D009009|1727|MH|RtM via: Montana (geographic location);Forced Leaf Node Lookup:montana|TI|MM|3273^8^0
40035727|*Azocines|D001392|3742|HM|RtM via: origen|TI|MM|4478^6^0
40035727|*Forests|D065928|1866|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|2360^6^0;944^6^0;639^7^0;507^6^0;230^6^0;692^7^0;1166^6^0
40035727|*Acclimatization|D000064|1758|MH|RtM via: Acclimatization|TI|MM|283^10^0
40035727|*Biodiversity|D044822|1485|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|2865^12^0
40035727|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|3889^3^0
10.2307/2395337|Animals|D000818|37300|CT|Wasps;CT Treecode Lookup: B01.050.500.131 (Wasps);Hymenoptera;CT Treecode Lookup: B01.050.500.131 (Hymenoptera);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)||MM;RC
10.2307/2395337|*Ficus|D030681|36300|MH|RtM via: Ficus;RtM via: Figs - dietary;Forced Leaf Node Lookup:ficus;Forced Leaf Node Lookup:figs;checkForceMH Boosted|TI|MM;RC|313^5^0;40^5^0;459^4^0;207^4^0
10.2307/2395337|*Wasps|D014863|29745|MH|RtM via: Wasps;Forced Leaf Node Lookup:wasps;checkForceMH Boosted|TI|MM;RC|127^5^0
10.2307/2395337|*Pollination|D054817|17157|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM;RC|448^10^0;157^11^0
10.2307/2395337|*Symbiosis|D013559|4560|MH|RtM via: Symbiotic|TI|MM;RC|117^9^0
10.2307/2395337|*Gastropoda|D049851|972|MH|RtM via: Ficus (gastropod)|TI|MM|313^5^0;40^5^0
10.2307/2399816|Brazil|D001938|2558|MH|RtM via: Bahia (organism);RtM via: Brazil;Forced Leaf Node Lookup:brazil;Forced Leaf Node Lookup:bahia|TI|MM;RC|227^5^0;234^6^0
10.2307/2399816|*Poaceae|D006109|4956|MH|RtM via: Alvimia;RtM via: Arthrostylidium;RtM via: Elytrostachys;RtM via: Atractantha|TI|MM;RC|465^7^0;474^15^0;495^13^0;448^11^0;80^11^0
10.2307/2399816|*Plant Leaves|D018515|1320|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|341^4^0;366^4^0
10.2307/2399816|*Woods|D014934|1050|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM;RC|61^5^0
10.2307/2399816|*Environment|D004777|630|MH|RtM via: Bahia (geographic area);RtM via: Woods|TI|MM|227^5^0;61^5^0
10.2307/2395258|Humans|D006801|9327646|CT|Forced Humans: families|TI|MM;RC
10.2307/2395258|*Epilobium|D031666|757987|MH|RtM via: Epilobium;Forced Leaf Node Lookup:epilobiums;checkForceMH Boosted|TI|MM;RC|44^9^0
10.2307/2395258|*Colchicum|D003079|751135|MH|RtM via: Colchicum;Forced Leaf Node Lookup:colchicums;checkForceMH Boosted|TI|MM|54^9^0;71^9^0
