42793879|Humans|D006801|11743192|CT|Forced Humans: individuals|TI|MM
42793879|Animals|D000818|11743192|CT|Endangered Species;CT Treecode Lookup: B01.050.050 (Endangered Species);Livestock;CT Treecode Lookup: B01.050.050 (Livestock)||MM;RC
42793879|*Endangered Species|D056727|964907|MH|RtM via: Endangered Species;Forced Leaf Node Lookup:endangered species;checkForceMH Boosted|TI|MM;RC|1007^18^0
42793879|*Livestock|D058751|948923|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM|719^9^0
42793879|*Cactaceae|D029421|509884|MH|RtM via: Ariocarpus;RtM via: Astrophytum caput-medusae;RtM via: Cactaceae;RtM via: Leuchtenbergia;RtM via: Cacteae;RtM via: Obregonia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cactaceae|TI|MM;RC|298^10^0;198^26^0;68^9^0;53^13^0;279^14^0;412^7^0;268^9^0;571^12^0
42793879|*Population Density|D011156|476413|MH|RtM via: Population Size;Forced Leaf Node Lookup:population sizes|TI|MM|463^15^0
42793879|*Fruit|D005638|474616|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|685^6^0
42793879|Mexico|D008800|474115|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|133^6^0
42793879|Genetic Variation|D014644|3120|MH|||RC
42793879|*Flowers|D035264|2121|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|696^7^0
42793879|*Environment|D004777|1839|MH|RtM via: Nuevo Leon|TI|MM|121^10^0
42794085|*Cactaceae|D029421|4842|MH|RtM via: Cereus fernambucensis;RtM via: Myrtillocactus geometrizans;RtM via: Nyctocereus serpentinus;RtM via: Cereus jamacaru;RtM via: Echinopsis|TI|MM;RC|442^21^0;97^21^0;120^27^0;152^23^0;80^15^0;225^10^0
42794085|Plant Roots|D018517|146|MH|||RC
42793464|South Africa|D013019|809|MH|RtM via: South Africa;Forced Leaf Node Lookup:south africa|TI|MM;RC|350^12^0
42793464|*Asteraceae|D019659|1656|MH|RtM via: Othonna euphorbioides|TI|MM;RC|238^21^0;293^7^0;96^7^0
