42606754|Humans|D006801|3619|CT|Community Involvement;CT Treecode Lookup: N02.421.143 (Community Involvement)||MM;RC
42606754|*Forestry|D016468|1438|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|1096^8^0;1159^8^0;999^8^0;876^8^0;703^8^0;623^8^0;306^8^0
42606754|*Wood|D014934|1174|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|520^4^0;566^4^0
42606754|Lesotho|D007927|868|MH|RtM via: Lesotho;Forced Leaf Node Lookup:lesotho|TI|MM|2192^7^0;2046^7^0;1941^7^0;1506^7^0;1252^7^0;727^7^0;635^7^0;254^7^0;49^7^0;821^7^0
42606754|*Government|D006076|2619|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|528^10^0;332^10^0;128^10^0
42606754|*Policy|D057766|2532|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|105^6^0
42606754|*Community Involvement|D003256|1881|ET|Entry Term Replacement for "Community Participation";RtM via: Community Participation;Forced Non-Leaf Node Lookup:community involvements|TI|MM|281^21^0
42606754|*Marketing|D040541|1851|MH|RtM via: Marketing;Forced Non-Leaf Node Lookup:marketing|TI|MM|507^9^0
42606754|*Manpower|D000078329|780|ET|Entry Term Replacement for "Workforce";RtM via: Workforce - population group;Forced Non-Leaf Node Lookup:manpowers|TI|MM|758^8^0
42606754|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2708^3^0;3100^3^0
42607341|*Trees|D014197|5609|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|245^5^0
42607341|*Eucalyptus|D005052|4949|MH|RtM via: Eucalyptus tereticornis;Forced Leaf Node Lookup:eucalyptus;checkForceMH Boosted|TI|MM;RC|54^23^0
42607341|*Boron|D001895|2456|MH|RtM via: boron;Forced Leaf Node Lookup:boron;checkForceMH Boosted|TI|MM|163^5^0
42607341|Soil Pollutants|D012989|898|MH|||RC
42607341|Soil|D012987|812|MH|||RC
42607341|*Sustainable Growth|D000075042|582|MH|RtM via: Sustainable Growth|TI|MM|216^16^0
42603452|Humans|D006801|1000|CT|Forced Humans:D Sexual Partners||MM
42603452|*Forestry|D016468|25591|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|67^8^0
42603452|*Soil|D012987|12190|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1286^4^0;719^4^0
42603452|*Forested Areas|D065928|16017|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1291^6^0;1063^8^0;1084^12^0;421^6^0
42603452|*Agriculture|D000383|7395|MH|RtM via: Agriculture|TI|MM;RC|53^12^0
42603452|*Climate|D002980|6168|MH|RtM via: Climate|TI|MM;RC|691^7^0
42603452|*Sexual Partners|D012747|3174|MH|RtM via: Intimate (qualifier value)|TI|MM|1182^10^0
43737691|*Forestry|D016468|3368|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|3968^8^0;1849^8^0;100^8^0
