42901758|Animals|D000818|6458|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)|TI|MM
42901758|*Quercus|D029963|5458|MH|RtM via: Oak Tree;RtM via: Quercus laevis;Forced Leaf Node Lookup:oak trees;Forced Leaf Node Lookup:quercus;Forced Leaf Node Lookup:oaks;checkForceMH Boosted|TI|MM|151^9^0;1508^14^0;179^14^0;1170^4^0;765^3^0;166^3^0
42901758|*Herbivory|D060434|2971|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores|TI|MM|2656^10^0;1156^10^0;971^9^0;235^10^0;131^9^0;1464^10^0;2460^10^0;2602^10^0;1080^9^0
42901758|*Fertilizer|D005308|2123|ET|Entry Term Replacement for "Fertilizers";RtM via: Fertilizers;checkForceMH Boosted|TI|MM|2380^10^0;2117^10^0
42901758|*Nitrogen|D009584|1403|MH|RtM via: nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM|747^8^0
42901758|*Tannins|D013634|1376|MH|RtM via: tannic acid;checkForceMH Boosted;Forced Non-Leaf Node Lookup:tannins|TI|MM|2221^7^0;782^7^0
42901758|*Predatory Behavior|D011235|1310|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM|356^9^0
42901758|ETS translocation variant 6 protein|C087043|1756|NM|RtM via: ETV6 protein, human|TI|MM|2816^4^0
42901758|*Proto-Oncogene Proteins c-ets|D050783|1755|HM|RtM via: ETV6 protein, human|TI|MM|2816^4^0
42901758|*Nutrients|D000078622|882|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|500^9^0;545^9^0;592^9^0;645^9^0
42901758|*Planctomycetales|D061328|720|MH|RtM via: Gemmata|TI|MM|1529^7^0
42901758|*Repressor Proteins|D012097|324|HM|RtM via: ETV6 protein, human|TI|MM|2816^4^0
42901758|*Fertilization|D005306|573|MH|RtM via: fertilized;Forced Non-Leaf Node Lookup:fertilisations;Forced Non-Leaf Node Lookup:fertilizations|TI|MM|905^10^0;691^10^0;2291^13^0;837^13^0
42901758|*Nutritional Quality|D009753|534|ET|Entry Term Replacement for "Nutritive Value";RtM via: Nutritional Quality;Forced Non-Leaf Node Lookup:nutritional quality|TI|MM|396^19^0
42901850|Animals|D000818|16384|CT|Zooplankton;CT Treecode Lookup: B05.080.500.980 (Zooplankton);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Corbicula;CT Treecode Lookup: B01.050.500.644 (Corbicula)|TI|MM
42901850|*Food Chain|D020387|15384|MH|RtM via: Food Chain;RtM via: Food Web;Forced Leaf Node Lookup:food chains;Forced Leaf Node Lookup:food webs|TI|MM|1339^11^0;1992^9^0;1920^9^0;1008^8^0;742^9^0;906^9^0
42901850|*Zooplankton|D015048|9468|MH|RtM via: Zooplankton;Forced Leaf Node Lookup:zooplankton;checkForceMH Boosted|TI|MM|1422^11^0
42901850|*Nitrogen Isotope|D009587|5799|ET|Entry Term Replacement for "Nitrogen Isotopes";RtM via: Nitrogen Isotopes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen isotopes|TI|MM|78^16^0
