41998951|Animals|D000818|394810|CT|Leafhopper;CT Treecode Lookup: B01.050.500.131 (Leafhopper);Insect;CT Treecode Lookup: B01.050.500.131 (Insect)||MM;RC
41998951|*Spiroplasma citri|D045642|393810|MH|RtM via: Spiroplasma citri;Forced Leaf Node Lookup:spiroplasma citri;checkForceMH Boosted|TI|MM;RC|111^17^0
41998951|*Leafhopper|D006430|86712|ET|Entry Term Replacement for "Hemiptera";RtM via: Leafhoppers;RtM via: Austroagallia;RtM via: Neoaliturus haematoceps;RtM via: Orosius;checkForceMH Boosted;Forced Non-Leaf Node Lookup:leafhoppers|TI|MM;RC|1285^11^0;1089^10^0;958^11^0;870^11^0;772^10^0;294^10^0;32^11^0;592^13^0;341^22^0;318^7^0;475^10^0
41998951|*Vinca|D031053|64146|MH|RtM via: Vinca;Forced Leaf Node Lookup:periwinkles;checkForceMH Boosted|TI|MM|1209^10^0;910^10^0;821^11^0;538^10^0;248^10^0
41998951|*Citrus|D002957|47868|MH|RtM via: Citrus plant;checkForceMH Boosted;Forced Non-Leaf Node Lookup:citrus|TI|MM;RC|646^6^0;57^6^0;150^6^0
41998951|*Sesamum|D031685|42900|MH|RtM via: Sesame - dietary;Forced Leaf Node Lookup:sesames;checkForceMH Boosted|TI|MM;RC|629^6^0;700^6^0
41998951|*Spiroplasma|D013149|42657|MH|RtM via: Spiroplasma;checkForceMH Boosted;Forced Non-Leaf Node Lookup:spiroplasma|TI|MM;RC|1035^12^0;942^12^0
41998951|*Paraffin|D010232|41067|MH|RtM via: Parafilm;Forced Leaf Node Lookup:parafilm;checkForceMH Boosted|TI|MM|425^8^0
41998951|*Gardens|D000072506|22311|MH|RtM via: Gardens;Forced Leaf Node Lookup:gardens|TI|MM|683^6^0
41998951|*Insect|D007313|15897|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM;RC|1010^6^0
41998951|*PCR|D016133|1908|ET|Entry Term Replacement for "Polymerase Chain Reaction";RtM via: Polymerase Chain Reaction;Forced Non-Leaf Node Lookup:pcr|TI|MM;RC|982^3^0
24579135|*Fagus|D029964|194779|MH|RtM via: Fagus sylvatica;Forced Leaf Node Lookup:fagus;checkForceMH Boosted|TI|MM|578^15^0
24579135|*Betula|D029662|192262|MH|RtM via: Betula pendula;Forced Leaf Node Lookup:betulas;checkForceMH Boosted|TI|MM|527^14^0
24579135|*Trees|D014197|192022|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|1245^4^0
24579135|*Quercus|D029963|191737|MH|RtM via: Quercus robur;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM|634^13^0
24579135|*Alnus|D029661|191641|MH|RtM via: Alnus glutinosa;Forced Leaf Node Lookup:alnus;checkForceMH Boosted|TI|MM|983^15^0;510^15^0
24579135|*Acer|D031002|191023|MH|RtM via: Acer campestre;Forced Leaf Node Lookup:acer;checkForceMH Boosted|TI|MM|811^14^0;494^14^0
24579135|*Corylus|D031211|189742|MH|RtM via: Corylus avellana;Forced Leaf Node Lookup:corylus;checkForceMH Boosted|TI|MM|941^16^0;560^16^0
24579135|*Populus|D032107|188464|MH|RtM via: Populus nigra;Forced Leaf Node Lookup:populus nigras;checkForceMH Boosted|TI|MM|830^13^0;616^13^0
24579135|*Ecosystem|D017753|99041|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM|1278^9^0
24579135|*Host Specificity|D058507|94622|MH|RtM via: Host Range;Forced Leaf Node Lookup:host ranges|TI|MM|1223^10^0;887^10^0
24579135|*Virulence|D014774|94613|MH|RtM via: Pathogenicity;Forced Leaf Node Lookup:pathogenicity|TI|MM|364^13^0
24579135|Anthostoma decipiens|C000661380|93351|NM|Forced New Lookup:anthostoma decipiens|TI|MM|220^20^0;758^20^0;1046^20^0;1155^20^0
24579135|*Plant Bark|D024301|93350|MH|Forced Leaf Node Lookup:bark|TI|MM|678^4^0
24579135|Radiographic Image Interpretation, Computer-Assisted|D011857|330881|MH|||RC
24579135|Radiographic Image Enhancement|D011856|279800|MH|||RC
24579135|*Forests|D065928|6552|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1347^7^0
24579135|*Fungi|D005658|1266|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM|653^5^0;149^5^0
24579135|Italy|D007558|3|MH|RtM via: Italy|TI|MM|88^5^0
41998981|Turnip mosaic virus|C000623892|283471|NM|RtM via: Turnip mosaic virus;Forced SCR Leaf Node Lookup:turnip mosaic virus|TI|MM|1160^19^0
41998981|Tobacco rattle virus|C000623719|229075|NM|RtM via: Tobacco rattle virus;Forced SCR Leaf Node Lookup:tobacco rattle virus|TI|MM|1004^20^0
41998981|Poplar mosaic virus|C000624064|225418|NM|RtM via: Poplar mosaic virus;Forced SCR Leaf Node Lookup:poplar mosaic virus|TI|MM|1298^19^0
41998981|*Carlavirus|D017788|225417|MH|RtM via: Carlavirus;RtM via: Poplar mosaic virus;Forced Leaf Node Lookup:carlavirus|TI|MM;RC|1182^10^0;1298^19^0
41998981|*Cucumovirus|D017799|225333|MH|RtM via: Cucumber mosaic virus;RtM via: Cucumovirus;Forced Leaf Node Lookup:cucumber mosaic virus;Forced Leaf Node Lookup:cucumovirus;checkForceMH Boosted|TI|MM;RC|712^21^0;699^11^0
41998981|*Ilarvirus|D019179|217827|MH|RtM via: Ilarvirus;RtM via: Tobacco streak virus;Forced Leaf Node Lookup:tobacco streak virus;Forced Leaf Node Lookup:ilarvirus;checkForceMH Boosted|TI|MM;RC|665^9^0;676^20^0
41998981|Tomato black ring virus|C000623951|211120|NM|RtM via: Tomato black ring virus;Forced SCR Leaf Node Lookup:tomato black ring virus|TI|MM|561^23^0
41998981|*Nepovirus|D017860|211119|MH|RtM via: Nepovirus;RtM via: Tomato black ring virus;RtM via: Artichoke yellow ringspot virus;Forced Leaf Node Lookup:nepovirus|TI|MM;RC|449^9^0;561^23^0;491^31^0
41998981|Bean yellow mosaic virus|C000623908|198523|NM|RtM via: Bean yellow mosaic virus;Forced SCR Leaf Node Lookup:bean yellow mosaic virus|TI|MM|1130^24^0
41998981|*Tospovirus|D017865|164661|MH|RtM via: Tomato spotted wilt virus;RtM via: Tospovirus;Forced Leaf Node Lookup:tomato spotted wilt virus;Forced Leaf Node Lookup:tospovirus;checkForceMH Boosted|TI|MM|1582^25^0;1564^16^0;1570^10^0
41998981|*Potexvirus|D017863|161145|MH|RtM via: Potato virus X;RtM via: Potexvirus;Forced Leaf Node Lookup:potato virus x;Forced Leaf Node Lookup:potexvirus;checkForceMH Boosted|TI|MM|1395^14^0;1320^10^0
41998981|*Cynara scolymus|D031943|142914|MH|RtM via: Globe artichoke (Food);RtM via: Cynara scolymus;RtM via: Artichoke;Forced Leaf Node Lookup:cynara scolymus;Forced Leaf Node Lookup:artichokes;checkForceMH Boosted|TI|MM;RC|89^15^0;1807^9^0;460^9^0;335^9^0;106^15^0;95^9^0;491^9^0;524^9^0;599^9^0;749^9^0;1106^9^0;1194^9^0;1220^9^0;1332^9^0;1361^9^0
41998981|*Tobacco Mosaic Virus|D014027|120513|MH|RtM via: Tobacco Mosaic Virus;Forced Leaf Node Lookup:tobacco mosaic virus;checkForceMH Boosted|TI|MM;RC|966^20^0
41998981|*Crinivirus|D029383|119667|MH|RtM via: Crinivirus;RtM via: Tomato infectious chlorosis virus;Forced Leaf Node Lookup:crinivirus;checkForceMH Boosted|TI|MM|1416^10^0;1428^33^0
41998981|*Anulavirus|D019177|107298|ET|Entry Term Replacement for "Bromoviridae";RtM via: Anulavirus;RtM via: Bromoviridae;RtM via: Pelargonium zonate spot virus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:bromoviridae|TI|MM|787^10^0;829^19^0;850^29^0;836^12^0
41998981|*Fabavirus|D019181|100044|MH|RtM via: Fabavirus;Forced Leaf Node Lookup:fabavirus;checkForceMH Boosted|TI|MM|630^9^0
41998981|*Tombusvirus|D017864|98112|MH|RtM via: Artichoke mottled crinkle virus;RtM via: Tombusvirus;Forced Leaf Node Lookup:tombusvirus;checkForceMH Boosted|TI|MM|749^31^0;736^11^0
41998981|*Lycopersicon esculentum|D018551|85657|MH|Forced Leaf Node Lookup:tomato;checkForceMH Boosted|TI|MM;RC|1428^6^0
41998981|*Pelargonium|D031316|84942|MH|Forced Leaf Node Lookup:pelargoniums;checkForceMH Boosted|TI|MM|850^11^0
41998981|*Tobamovirus|D017898|56949|MH|RtM via: Tobamovirus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:tobamovirus|TI|MM|953^11^0
41998981|*Cynara|D031942|49800|MH|RtM via: Cynara cardunculus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cynara cardunculus|TI|MM|130^7^0;139^18^0;1543^6^0
41998981|Italy|D007558|43113|MH|RtM via: Italians;Forced Leaf Node Lookup:italians|TI|MM|470^7^0
41998981|*Potyvirus|D017800|283470|MH|RtM via: Bean yellow mosaic virus;RtM via: Potyvirus;RtM via: Turnip mosaic virus;Forced Non-Leaf Node Lookup:potyvirus|TI|MM;RC|1130^24^0;1095^9^0;1160^19^0
41998981|*Rhabdoviridae|D012209|8118|MH|RtM via: Rhabdoviridae;Forced Non-Leaf Node Lookup:rhabdoviridae|TI|MM|1521^20^0;1528^13^0
41998981|Anemia, Hypochromic|D000747|1000|MH|Forced Non-Leaf Node Lookup:chlorosis||MM|1446^9^0
41999008|*RNA, Ribosomal, 16S|D012336|41550|MH|RtM via: Bacterial 16S RNA;RtM via: RNA, Ribosomal, 16S;Forced Lookup:16s rrna;Forced Leaf Node Lookup:16s rrna;checkForceMH Boosted|TI|MM;RC|603^8^0;162^8^0
41999008|*Rhizosphere|D058441|31893|MH|RtM via: Rhizosphere;Forced Leaf Node Lookup:rhizospheres|TI|MM;RC|83^11^0
41999008|*Bacillus|D001407|31419|MH|RtM via: Bacillus species;checkForceMH Boosted;Forced Non-Leaf Node Lookup:bacillus|TI|MM;RC|678^11^0;43^11^0
41999008|*Bacillus subtilis|D001412|25749|MH|RtM via: Bacillus subtilis;Forced Leaf Node Lookup:bacillus subtilis;checkForceMH Boosted|TI|MM;RC|785^17^0
41999008|*Phylogeny|D010802|25116|MH|RtM via: Phylogenetic Analysis;RtM via: Phylogenetic Groups;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic analysis|TI|MM;RC|804^21^0;190^21^0;881^17^0
41999008|*Fusarium|D005670|15480|MH|RtM via: Fusarium culmorum;checkForceMH Boosted|TI|MM;RC|349^17^0
41999008|*Protease|D010447|7920|ET|Entry Term Replacement for "Peptide Hydrolases";RtM via: Peptide Hydrolases;checkForceMH Boosted;Forced Non-Leaf Node Lookup:proteases|TI|MM|974^8^0;278^8^0
41999008|*Laboratories|D007753|6516|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|1148^10^0;911^10^0
41999008|Fusarium culmorum|C000677530|5716|NM|Forced New Lookup:fusarium culmorum|TI|MM|349^17^0
41999008|Iran|D007492|5715|MH|Forced Lookup:iranian|TI|MM;RC|28^7^0;628^7^0
41999008|*Endopeptidases|D010450|5856|MH|RtM via: Endopeptidases|TI|MM;RC|974^8^0
41999008|*Phenotypes|D010641|3087|ET|Entry Term Replacement for "Phenotype";RtM via: Phenotype|TI|MM;RC|723^12^0
41999008|*PCR|D016133|3066|ET|Entry Term Replacement for "Polymerase Chain Reaction";RtM via: Polymerase Chain Reaction;Forced Non-Leaf Node Lookup:pcr|TI|MM;RC|559^3^0
41999008|*Biofilm|D018441|2151|ET|Entry Term Replacement for "Biofilms";RtM via: Microbial Biofilms;Forced Non-Leaf Node Lookup:biofilms|TI|MM;RC|1234^7^0;297^7^0;467^7^0;1005^7^0
41998496|*Phytophthora|D010838|43439|MH|RtM via: Phytophthora colocasiae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phytophthoras|TI|MM;RC|211^23^0
41998496|*Colocasia|D031060|18973|MH|RtM via: Taro Vegetable;Forced Leaf Node Lookup:taro;checkForceMH Boosted|TI|MM;RC|867^4^0;681^4^0
41998496|*Cytokinins|D003583|4328|MH|RtM via: Cytokinins;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cytokinins|TI|MM|172^9^0;21^10^0
41998496|*Biological Phenomena|D001686|3279|MH|RtM via: Tissue Growth|TI|MM|529^6^0;310^6^0;244^6^0
41998496|*Physiological Processes|D010829|2670|ET|Entry Term Replacement for "Physiological Phenomena";RtM via: Physiological Processes;Forced Non-Leaf Node Lookup:physiological processes|TI|MM|86^23^0
41998496|*Host-Pathogen Interactions|D054884|1461|MH|RtM via: Host-Pathogen Interactions;Forced Non-Leaf Node Lookup:host-pathogen interactions|TI|MM|130^26^0
