10.2307/3535474|Animals|D000818|14574|CT|Egg Shell;CT Treecode Lookup: A13.316 (Egg Shell);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
10.2307/3535474|*Egg Shell|D004528|13574|MH|RtM via: Egg Shell;Forced Leaf Node Lookup:eggshells|TI|MM;RC|512^8^0;213^9^0
10.2307/3535474|*Dichlorodiphenyl Dichloroethylene|D003633|3362|MH|Forced Leaf Node Lookup:dde;checkForceMH Boosted|TI|MM|280^3^0
10.2307/3535474|Oregon|D009922|1681|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|589^6^0;94^6^0
10.2307/3535474|*Birds|D001717|12390|MH|RtM via: Leach's storm petrel;RtM via: Phalacrocorax auritus;RtM via: Family Hydrobatidae (organism);Forced Non-Leaf Node Lookup:seabirds|TI|MM;RC|416^20^0;438^21^0;366^24^0;392^21^0;677^12^0;477^12^0;73^7^0;430^6^0;483^6^0;683^6^0
10.2307/3535474|*Polychlorinated Biphenyls|D011078|7209|MH|RtM via: Polychlorinated Biphenyls|TI|MM;RC|288^5^0
10.2307/3535474|*Eggs|D004531|5271|MH|RtM via: Egg Food Product;RtM via: Eggshell (substance)|TI|MM;RC|114^4^0;37^3^0;512^8^0
10.2307/3535474|*Household Articles|D006794|504|MH|RtM via: Cutlery fork|TI|MM|665^4^0
10.2307/3534688|Animals|D000818|83929|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
10.2307/3534688|*Islands|D062312|14222|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM;RC|868^7^0;687^6^0;360^7^0;113^7^0
10.2307/3534688|*Biomass|D018533|7358|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM|134^7^0
10.2307/3534688|Alaska|D000413|6509|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM;RC|756^6^0;86^6^0
