,fullname
1,KRISTAL M. WATROUS
5,Louis B. Bishop
26,John E. Cushing
27,Lucian  Sprague
34,Dorothy Anderson Knox
38,William F.  Fagan
39,Robert Stephen  Cantrell
41,Subramanian  Ramakrishnan
51,MACKENZIE R. JEFFRESS
52,CRAIG P. PAUKERT
53,JOANNA B. WHITTIER
55,PHILIP S. GIPSON
71,C. A. K.
85,John Clifford Brown
87,D. S. J.
105,W. Eagle Clarke
114,R. P. B.
157,Leverett Mills Loomis
158,H. B. Conover
173,Jay L. Lush
190,C. E. B. Bonner
204,H. E. Erdman
221,Greta  Bocedi
222,Johannes  Heinonen
233,Alethea D.  Wang
234,Nathaniel P.  Sharp
235,Christine C.  Spencer
236,Katherine  Tedman‐Aucoin
237,Aneil F.  Agrawal
253,Ray E. Showman
281,Walter B. Savary
321,Richard Pough
347,Anna A. Vilnet
358,Patrick T. Collins
375,L.  Atanasiu
390,J. W. Spencer
417,J. M. Novak
443,E. L. Sturtevant
444,Albert K. Langley Jr.
448,David P. Weber
449,THOMAS P. ROONEY
450,MARK K. LEACH
477,Jason M. Martin
494,Charles R. Eastman
496,C. O. Whitman
538,Qi  Ma
544,George H. Mackay
587,Vinni  Madsen
590,José Luis  Osorno
626,Timothy A. Burr
630,Clara Everett Reed
660,Kerry  Knudsen
676,Brian D. Hess
710,Chas. E. Bendire
718,Francis J. Wenninger
760,T. D. V. Swinscow
813,H. Mousley
862,Cheryl  Cortemeglia
865,Tammie  Walters
869,John Swinburne
871,Leslie S. Bowker
874,James Skillen
882,George Y. Jumper Jr.
900,G. A.  Babbitt
901,R.  Kiltie
902,B.  Bolker
907,W. H. Dallinger
928,Jon Weiland
969,Elizabeth M. Sherrard
972,W. G. Moore
1002,Charles  Zeleny
1014,N. R. Bhat
1017,Edward M. East
1020,Edward  Arnold
1023,Josephine Haines Ross
1027,R. H. Chittenden
1052,Kelli Kathleen Sapp
1060,Albert Lano
1061,Horace M. Raynor
1067,H. J. Bruce
1068,Winthrop S. Brooks
1071,Lois C. Lillick
1079,Paige  Springer
1094,Olive Thorne Miller
1096,C. Delgadillo M.
1111,H. M. L. de Souza
1112,A. B. da Cunha
1113,E. P. dos Santos
1126,William  Palmer
1131,Mercedes  Barbero
1141,Stuart L. Paulus
1151,W. H. Piersol
1170,Roberta  DePiero
1171,Barbara K. Smith
1200,Abbott H. Thayer
1205,Rebecca C.  Fuller
1210,G. B. M. Miller
1219,Margaret A. Foderaro
1229,Jno. T. Campbell
1242,Edward J. La Row
1248,Aaron C. Bagg
1258,Robert E. C. Stearns
1291,J. D. Mizelle
1293,J. W. Crane
1302,J. P.  Webster
1303,C. M.  Gower
1304,L.  Blair
1309,William C. Herman
1328,Geoffrey D. Nicholls
1338,Cecilia  Hageman
1345,J. Leslie Gecy
1414,Ronald C. Fraser
1421,A. G. van Aken
1422,Adin  Ross‐Gillespie
1424,Stuart A.  West
1425,Ashleigh S.  Griffin
1434,John E. Gobeille
1515,Sam. W. Geiser
1530,Rollin DeWayne Reimer
1571,Scott  Newman
1587,Steven R. Spaulding
1591,Margaret S. Brown
1617,Arthur P. Chadbourne
1635,Hörđur  Kristinsson
1641,Julie  Yee
1706,Herbert W. Westwood
1711,Alyn  Walsh
1712,Paddy  O'Sullivan
1715,David J. Hayes
1716,Robert R. Felton
1731,Hans Von Berlepsch
1747,Yueh-Tseng  Chen
1800,Daniel G. Streicker
1830,A. E. O.
1860,C. R. Eastman
1882,T. Martin Trippe
1893,William Healey Dall
1904,John W. Bailey
1923,John A.  Byers
1924,Patryce A.  Wiseman
1925,Lee  Jones
1926,Thomas J.  Roffe
1933,Ronald G. Johnson
1963,V. L. K.
1966,ROBERT  STYMEIST
1986,Louis H. Porter
2032,John A. Ryder
2075,Maria W. Vagvolgyi
2085,James D. Dana
2100,Claire K. Schmitt
2121,Janet L. C. Rapp Jr.
2128,P. G. Wilber
2129,M. J. Patrick
2146,Charles-Sedgwick  Minot
2148,Wm. V. Praeger
2155,Ellen J.  Weerman
2156,Johan  van de Koppel
2157,Maarten B.  Eppinga
2158,Francesc  Montserrat
2159,Quan‐Xing  Liu
2160,Peter M. J.  Herman
2166,Jamie K. Lau
2168,Michelle L. Weinman
2171,William M. Baird
2190,G. G.  Katul
2191,A.  Porporato
2193,M.  Siqueira
2194,M. B.  Soons
2196,H. S.  Horn
2197,S. A.  Levin
2228,Harold F. Tufts
2234,E.  Wilkinson
2247,Alexander  Wilson
2248,John  Abbot
2250,W. J. Hays
2280,Catherine E. Smith
2282,Horace P. Webb
2287,J. L. Kellogg
2295,Sidney S. S. Stansell
2310,Richard A. Coon
2337,Gerald Rogers
2387,W. R. DeGarmo
2388,William F. Strunk
2396,J.  Cairns Jr.
2397,K.  Meier
2429,Nathan S.  Hart
2430,David M.  Hunt
2431,Brandon H. Grove
2440,Samantha J. Price-Rees
2450,H. D. Eastman
2456,Maja  Novak
2457,Thomas  Pfeiffer
2459,Uwe  Sauer
2462,Tomoyuki  Katagiri
2465,J. S. K.
2466,K. E. Schreiner
2470,S. F. RICE
2485,JEROME J. HOWARD
2487,Dante Martins Teixeira
2499,William A.  Woods Jr.
2500,Holly  Hendrickson
2501,Jennifer  Mason
2502,Sara M.  Lewis
2513, Ángeles Cárdenas S. 
2518,Carlos  Passos
2520,Alessandro  Giudici
2522,B. J. Mathis
2564,John W. Sheard
2566,Ake  Lindstrom
2571,Frederick M. Rhoades
2614,F. M. Adams
2621,M. Angela Donahue
2636,Sarah Blaffer Hrdy
2639,T.
2640,Wm. L. Powers
2668,Lulu  Rakestraw
2669,Herbert  Nichols
2670,Robert E. Ball
2702,Denice K. Warren
2703,Dianne K. Patterson
2713,Matthew H. Holden
2734,Augusta  Rucker
2758,Walter  D. Koenig
2759,James W. Eckblad
2760,Cindy S. Volden
2782,SandraJean M. Grasso
2787,Eleanor A. Erwin
2815,John  Higgins
2882,Carol Y. Mason
2889,Katherine M. Dowell
2918,Lynn R. Weaver
2952,Allan  Fife
2971,Colonel L. R. Wolfe
2972,J. H. Snow
2994,T.  de‐Camino‐Beck
2995,M. A.  Lewis
2997,D. D. Whitney
3014,David H. Austin
3015,Yves Bötsch
3016,Raphaël Arlettaz
3017,Michael Schaub
3046,Ardith B. Johnsen
3072,Valentin  Blatz
3083,S. N. Sen Gupta
3166,Gordon L. MacLean
3202,Ken M. Kellman
3203,H.  Fukasawa
3214,DEREK M. SCHOOK
3215,MICHAEL D. COLLINS
3216,WILLIAM E. JENSEN
3217,PERRY J. WILLIAMS
3218,NICHOLAS E. BADER
3219,TIMOTHY H. PARKER
3255,G. W. Kaiser
3261,Nathan E. Thomas
3268,Dan L. Lindsley
3269,R. H. Zander
3278,G. H. P.
3299,Dan R. Ruthrauff
3301,Frank A. Eldredge II
3356,Tage U. H. Ellinger
3360,Jean McGeen
3363,John R. Borland
3371,Belén  García-Pérez
3373,Gretchen  Albrecht
3387,P. B. Philipp
3391,Charles B. Brigham
3401,(Mrs.) Edith K. Frey
3404,Mariola B. Jakutowicz
3405,Joris  Komen
3406,Anna A. Crowe
3411, C. Müller-Schwarze 
3504,F. T. L.
3506,Antonio E. Harrises
3507,Robert L. Vickery
3515,James  Orton
3544,Robert Rybczynski
3545,Donald K. Riker
3546,Constantine W. Benson
3619,K. H. McCourt
3635,Mary D. Dise
3661,Wm. T. Hornaday
3704,Roy L. Moodie
3724,Robert N. Brandon
3728,Erwin H. Barbour
3750,P. G. Patwardhan
3751,A. V. Prabhu
3760,Sheila M. Reynolds
3761,Katie  Dryer
3762,Jonathan  Bollback
3765,Timothy  Robson
3802,Laurence H. Snyder
3805,Cynthia Dryden Kuser
3807,Saúl  Otero
3808,Rafael  Tomás
3814,Douglas W.  Schemske
3821,Helen  Pitman
3854,M.  López-Figueiras
3874, Öystein Lorentsen 
3886,D. Suddaby
3902,Alexander  Sprunt Jr.
3910,Bernard  Feinstein
3914,A. S. Lazarenko
3930,Elliot  Sober
3943,Brian J.  McGill
4002,Charles F. Sing
4050,Bertha S. Miller
4058,P. D. Badhe
4072,Howard O. Deay
4090,Raymond H. Burton
4098,Marcia B. Tucker
4143,Carol K. Mathers
4175,Annalisa  Molini
4179,Dennis  Baldocchi
4182,W. C. Latta
4183,J. E. Breck
4184,E. R. Marshall Duchon
4185,Janice B. Spofford
4189,Lifan  Chen
4190,Shurong  Zhou
4220,Emmett L. Blankenship
4223,Edward S. Morse
4228,Howard S. Bowman
4266,O. A. Peterson
4287,A. R. McCrimmon
4329,Richard S. Lull
4335,L. Stejneger
4347,J. H. Richardson
4374,Robert C. Murphy
4379,Vivien  Chua
4380,Brian T. Smith
4472,A. Le Roy Andrews
4518,Bernard  Friedman
4550,Allen  Frost
4553,Oliver  Mitesser
4568,Charles W. Rees
4572,J. W. Pearson
4584,John E. Thayer
4600,F. E. Clayton
4604,Petr  Starý
4617,Matthew A.  Wund
4618,John A.  Baker
4619,Brendan  Clancy
4620,Justin L.  Golub
4621,Susan A.  Foster
4641,John Andrews-Labenski
4646,James H. Oliver
4664,Fred H. Glenny
4688,Daniel I.  Bolnick
4690,James A.  Fordyce
4691,Louie H.  Yang
4693,C. Darrin  Hulsey
4694,Matthew L.  Forister
4705,William  Ingram III
4707,James M. Tuohy
4708,Kevin P. McHugh
4712,Deneb  García-Ávila
4716,Raymond E. Matteson
4717,Julia  Schulte
4718,Anika  Erxleben
4719,Gabriele  Schween
4740,Helen  Rodd
4792,Dency F. Gawin
4793,Mustafa Abdul Rahman
4794,Mohamad Fizl Sidq Ramji
4795,Brian Tilston Smith
4822,H. D. Goodale
4883,Donald H. Rhodes
4903,A. K. McKay
4956,John L. Diedrich
4957,A. Bradley Duthie
4976,You Fang Wang
4977,Ren-Liang  Hu
5003,Coleman R. Griffith
5007,Yukiko Nota
5009,R. E. Longton
5037,August  Derleth
5052,Melissa J. Hough
5055,John A. Frisch
5056,Rudolph M. Schuster
5060,William L. Schultz
5066,Jonathan  Dwight Jr.
5067,Lester L. Walsh
5093,A. G. Ruggles
5113,Wm. G. Pitcairn
5173,John S. Watson
5182,Otto  Glaser
5233,Marsha L. Jones
5252,Jessica J.  Kuang
5254,Walter  Faxon
5264,R. P. Herman
5292,Megan E. Lahti
5312,Vincent  Calcagno
5313,Marion  Dubosclard
5350,Ruth D. Svihla
5375,Irving Kassoy
5376,John F. Kuerzi
5377,John F. Matuszewski
5378,Chas. A. Urner
5383,Walter C. Odell
5385,Georg  Everwand
5418,Thomas J. Lee
5438,Joseph W. Camp
5461,Christian Glahder
5462,Carl R. Mitchell
5465,John Frikke
5485,Edw. J. Court
5497,Winona H. Welch
5519,Jay T. Hatch
5533,Kathy Ann Coggins
5539,Haji  Mohamed
5547,Alan  Reynolds
5585,Fred́eric H. Kennard
5601,Lyndon J. Leatham
5606,M. M. Jaeger
5607,W. A. Erickson
5608,M. E. Jaeger
5619,Charles P. Curtis Jr.
5633,Arthur S. Dewing
5669,K. F. Hughes
5705,Marcus W.  Feldman
5706,Kevin R.  Foster
5721,James H. Hill
5743,Douglas G.  Scofield
5761,L. M. McCormick
5802,John L. Hubby
5806,Martin H. Kärcher
5830,John Faaborg
5835, Marcel Güntert 
5866,Pekka Rahko
5885,Heman L. Ibsen
5887,Bruce P. Hanna
5893,Gregory M. Mathews
5920,Outram  Bangs
5938,Julia A. Schutte
5940,Harold  Bowditch
5945,W. L. Scott
5960,William L. Baily
5966,Samuel J.  Tazzyman
5968,Robert M.  Seymour
5975,Ernest Seeman
5981,Kurt W. Pontasch
5994,Earl L. Atwood Jr.
5998,Henry J. Vogel
6010,Ruth  Svihla
6025,P. E. Hebert
6030,James K. Huber
6031,Oliver Egeler
6032,Dana Seaman
6034,David E. Burmaster
6035,Egbert H.  van Nes
6040,T. E. Steeves
6047,J. B. Johnston
6051,Thomas D. Hinshaw
6113,James F. Pernell
6119,Cornelis J. Nagelkerke
6144,C. B. Gardner
6168,Karen M. Cavey
6202,Mary Ellen Payne Krisko
6203,David J. Wollkind
6222,Helen V. Crouse
6247,Sheila M. Schmutz
6279,Edward  Thorndike
6323,George B. Miller
6327,Edward Weyl
6338,Patrick R.  Stephens
6379,Kathryn  Benson-Evans
6381,Kerry R.  Foresman
6434,A. S. Foster
6465,Henry L. Bolley
6481,Cheryl A. Bauer
6513,F. Scott Orcutt Jr.
6525,James W. Dawson
6528,Thomas Proctor
6531,M. R. Rabalais
6533,Charles F. Poole
6549,Christopher L.  Jerde
6550,Caroline J.  Bampfylde
6551,Mark A.  Lewis
6566,T. A. Nigh
6567,H. E. Garrett
6571,W. Raine
6597,Mikhail  Zhurbenko
6630,Sun Szen Hsu
6631,Reid McManus Jr.
6644,John L. Bull
6655,Ivan R. Lamkins
6660,W. H. Ball
6661,W.  Rosenzweig
6662,S. Salman
6680,Theo. E. W. Reynolds
6687,W. L. Evans
6700,Bonnie K. Leathers
6714,Erin  Martin
6715,Jenifer  Hutchinson
6716,Frederic W. Carpenter
6753,Sharon E. Bartholomew-Began
6767,C.  Dmitriew
6768,M. W.  Blows
6769,L.  Rowe
6770,J. E. Keays
6781,William J. Grenney
6782,David A. Bella
