Os0U-TYAAAAJ;Robert B. Weladji;23737160,23270648,25063505,23735809,23736165,41414020,4602219,23736553,24575313,30224490,40540162,40213244,4223227,20062451,4223677
fA5EX3gAAAAJ;Ryszard  Ochyra;23726634,23726647,2666564,23726309,23726670,23727195,23726574,4181062,20149555,20149416,20149558
qF1nVOIAAAAJ;Heribert  Hofer;4602149,25511703,2387374,23488599,3548799,30161048,40005610
utgfbkgAAAAJ;Robin L. Chazdon;10.2307/2388472,2443299,27742823,4124152,2444696,2445089,2446616,27742859,4134794,10.2307/176668,40419179,20171942,23035004,10.2307/2679955,27651472,23022984,4091875,4092016,2560253,10.2307/2260229,10.2307/2261104,2559289,4092144,3599657,4222434,20050520,3548565,4220206
pLu2xMIAAAAJ;Ben T. Hirsch;4602168,41414031,25511571,41414547,30224448,23267478
gHWMYVoAAAAJ;Mercedes S. Foster;10.2307/2989720,10.2307/2387855,4599429,10.2307/2388616,2806091,10.2307/2387994,2389131,24320083,10.2307/2409256,10.2307/1935109,10.2307/2407321,2560084,10.2307/1563059,2559874,4513469,4512773,3892423,10.2307/1563984,10.2307/1466963,25172974,10.2307/40168318
00f7mhQAAAAJ;Ulrika  Candolin;4601857,4601363,4602030,40792929,25063318,25063754,4536211,3449359,3547368
DzzwBqAAAAAJ;Richard J. Abbott;4126205,2445581,1552373,2656652,4123698,20728567,2446125,3449048,10.2307/2411333,40793186,10.2307/2411073,2680443,10.2307/2640918,23674794,23643187,23643390,23674566,23642890
0x5zr6MAAAAJ;David R. Johnson;23486540
XfgB_BUAAAAJ;Richard  Primack;42955403,42955410,42954823,42954904,42955501,42954885,2442833,42954874,24432272,41811391,3868756
plUghkwAAAAJ;Christel Cederberg;4314941,4315623
fNvMPGsAAAAJ;Jeffrey O. Dawson;2474209,2474206,41489032,42950542,42939783,4274162,42939545
wDVEPNUAAAAJ; Osmo Rätti ;4535646,4600998,4601162,4535156,4220552
LEbpkRYAAAAJ;James O. Sickman;1469693,20519781,20456512,41410592,1469967,40647941,40603624
