vW1T4jUAAAAJ;Jose-Luis  Izursa;3589141
025WZHIAAAAJ;Stuart A. Ludsin;10.2307/3061113,10.2307/3099990
F2eRsQsAAAAJ;Daniel M. Dauer;24319460,4215204
rmv4aUoAAAAJ;David B. Arscott;25470347,4095664,4095669,4095661,4095666,4095662,40792655,4095660,4095668,4095670,10.2307/1467963,1468069,4095665
C3y5LlsAAAAJ;Francesco  Santini;41240785,3884598
qF5ZaJEAAAAJ;Erik H. Poelman;40407704,25592696,24038612,40983593,40060512,40540177,40310032
k7t6unAAAAAJ;Jeroen J. Jansen;40407704
sS2RrvUAAAAJ;Rory S. Telemeco;27650943,10.1086/674959
ocw18ZIAAAAJ;Nikolai  Friberg;3683059
XCETqj4AAAAJ;Yuichi  Yamaura;30243177,20183563
I75cpbIAAAAJ;Andres  Moya;10.2307/2410868
A-ruBpcAAAAJ;William  Boecklen;10.2307/2408133,3892936
snpPHIAAAAAJ;Albert  Recio;20742703,20742698
ctQzpYwAAAAJ;Steven P Hamburg;25741223,27809111
anEkFkEAAAAJ;John Bellamy Foster;20742732
fc-lFgUAAAAJ;Eva Papastergiadou;4181550
CUexZ8cAAAAJ;Katherine E. Willmore;25483630
sZyxGU8AAAAJ;Charles C. Roseman;25483630,29783018,4627127
lJqs2QIAAAAJ;Jeffrey  Rogers;25483630
WaK4B80AAAAJ;Joan T. Richtsmeier;25483630
jLivFpoAAAAJ;James P. Pitts;25086384,41353895,25086371,20621956,20621968,25086326,40783186,25086212
NkXjRkoAAAAJ;Marcus Vinicius Cianciaruso;41239352,23434367
Vf-7w40AAAAJ;Michael C. Quist;3099909,1448481
Eq9UM0sAAAAJ;Christopher S. Guy;3099909
aObiaQ4AAAAJ;Achaz  von Hardenberg;23463825,3450584
c-gCijwAAAAJ;Janna  Fierst;23463863
B4LDfooAAAAJ;Andrew R. Dyer;10.2307/3100067,10.2307/177251,3547691,20051126,41425139,41412361,4221782,20146604
Kvx8qqoAAAAJ;A David M Latham;41480001
ccDpkTYAAAAJ;Dale  Seip;41480001
YN9y1YoAAAAJ;Robert  Serrouya;41480001,40603358,4539159,4094379,4126860,20870020,23259742
4OsbXUcAAAAJ;Daniel A. Soluk;3107940,10.2307/1939516,1468320,40006418,10.2307/3565987,4223268,4218726,20062351,4218790,10.2307/3565770,10.2307/3546464,10.2307/3545225,20062520,10.2307/3546588
m_qsuowAAAAJ;Thomas G. Pypker;40061834
0NOzwX4AAAAJ;Michael H. Unsworth;40061834
WZSLXm0AAAAJ;Alan C. Mix;40061834
zk4J55UAAAAJ;Troy  Ocheltree;40061834
X4LoakoAAAAJ;Barbara J. Bond;40061834,3658988,3658984,4222375,4222729,20062382
RQfN9GUAAAAJ;Tony  Prato;3591070,24707750
BpKLYKoAAAAJ;Pablo  Barreto;23641202,10.2307/1380985
mLX4VuMAAAAJ;William R. DeMott;10.2307/1940981,10.2307/1940132,10.2307/1942534,10.2307/3072091,10.2307/1940558,4221025,4217952,23434659,20062132
FMAXxfwAAAAJ;Francisco  Kolenc;41416570,41261874,25599252,43287396,41515010
srxRtXAAAAAJ;Diego  Baldo;41416570,41261874,25599252,43287396,41515010,1565778,23352175,4498529
GB4F5ekAAAAJ;Claudio  Borteiro;41416570,41261874,25599252,43287396,41515010
Hun-ieMAAAAJ;Fabiano  Salgueiro;3246879
RJLN3WkAAAAJ;John O. Kokwaro;4255314,4255256
5WU8m94AAAAJ;Benjamin A. Pierce;10.2307/1444497,24637214,10.2307/1445103,10.2307/1446042,10.2307/1444434,10.2307/1444563,10.2307/1446098,10.2307/1564871,10.2307/1563744,1565748,10.2307/1563881,10.2307/1564014,10.2307/1564480,1566210,10.2307/1564555,10.2307/1563766,10.2307/1565118,4498608,10.2307/1563571
CQaUC1AAAAAJ;Karen I. Bonner;10.2307/2657230,10.2307/3100037,23500363,24060777,24056198,40235696,3547857
u1wayFYAAAAJ;Martijn  van de Pol;40835690
rOunILkAAAAJ;Kristine L. Grayson;23034995,25622945,3893530
2nGk3QQAAAAJ;Margaret  Palmer;10.2307/3868488
PjODSiIAAAAJ;Matthew  Parris;1448710
g4BUMKEAAAAJ;Jesse  Brunner;1448710
8LqF0zsAAAAJ;Edward H. Morrow;3449054,4095265
O6rb5oQAAAAJ;Genevieve D. Thompson;41242838,41242828
yyMjMDoAAAAJ;Bruce L. Webber;41242838,41242841,41242837,20528906,newphytologist.196.3.678
kGS0erwAAAAJ;Sarah S. Bouchard;10.2307/177116,4092911
yFD1AYwAAAAJ;Richard S. McBride;24321795
xo3FYCgAAAAJ;Silvia Estela Sala;23641562
LqG6SpQAAAAJ;Anne  Jäkäläniemi;3879253,23035106,3094762,40310004
PkIFfp4AAAAJ;Nicolas  Morellet;30243114,20696318,27696339,4123801,30224519,23259907,4539281,41499954,40213291
