F3ecmV8AAAAJ;Michael  Akam;10.2307/2410155
u6qeZNoAAAAJ;Amanda T. Rugenski;10.1086/681095,20491124
Q7ZqGK4AAAAJ;Lester L. Yuan;10.1086/678465,27797792,1468000,20491194,20491201,4499003,20491187,20491199,20491196,20491209,4095659
uhdtCMoAAAAJ;Bruno  Fady;40390748,30140747,43558206
OZU_2MQAAAAJ;I.  Hanski;10.2307/3071802,10.2307/1936644,10.2307/5617,40234868,3548741,4215424,10.2307/3543908,10.2307/3543970
4JQawBwAAAAJ;Keith  Gido;4543478,10.1086/679756,09-148R1
KXl-yrYAAAAJ; Andrés Baselga ;4539979
oho9070AAAAJ; Jose F. Gómez ;4539979
rk9U8D4AAAAJ;Joseph  Williams;10.2307/2411151
sPyLa9oAAAAJ;Gregory P Asner;23470548,23034407
We1xkRcAAAAJ;Craig  Lind;24637204
NOo5nPYAAAAJ;Kathleen A. Farley;3659070
fN2DwZUAAAAJ;Eric  Post;10.2307/177078,2680412,20440610,20113234,4222971
ZDWog2UAAAAJ;Scott J. Steppan;10.2307/2411130,10.2307/1382988,4523934,1383146,1383125,10.2307/2845402,4523740,23259938,4096923
4iy2vDAAAAAJ;Mark M. Tanaka;29783021
geMHCfkAAAAJ;Marina  García-Llorente;41417113
xfrJuyQAAAAJ;Brian  Hollis;25483587
XYAzPowAAAAJ;Brice X. Semmens;41722887,3061503,43495280
yMCj_5cAAAAJ;Alvaro T. Palma;10.2307/2679974,20487758,24859057
QkTlAMIAAAAJ;Luciano  Bani;3591359,3061229
L5-ME_cAAAAJ;Panayiotis  Trigas;23486780
2-PKtxAAAAAJ;Spyros  Tsiftsis;23486780
_bGpuPQAAAAJ;Ioannis  Tsiripidis;23486780,41245531,25549246,24129967
O6rXzK4AAAAJ;Ruiliang  Pu;10.2307/1941934,43385535,23353592
hAdzPiQAAAAJ;Manuel González de Molina;24875131
II-mHysAAAAJ;Lenka  Plavcová;23391605
k6aS3EMAAAAJ;Alexandre M. Anesio;27646118,10.2307/176663,41412396
0jZ7WIsAAAAJ;John  Priscu;27646118
EjRZKz4AAAAJ;Xia  Hua;30243186,27784016,25621898
2jbVJuAAAAAJ;Ignazio  Carbone;10.2307/2640916,20619175,10.2307/3761358,43923691,20444981,10.2307/3760703,27920474,20619193
GupoSwoAAAAJ;James B. Anderson;4273084
F9H5IV8AAAAJ;James B. Anderson;10.2307/2640916,10.2307/3761585,10.2307/3807745,10.2307/3760324,10.2307/3759120,10.2307/3760315,10.2307/3792720,10.2307/3807531,10.2307/3759160
LKYjq7QAAAAJ;Karthik  Ram;41499836
ER2Yd1MAAAAJ;Evert  Thomas;25568897,40343961,41058265
6y8LGYAAAAAJ;Ina  Vandebroek;25568897,40343961
jlgUu04AAAAJ;Claire  Fortunel;27651025,40235131,24130684,40210541
tHVioRgAAAAJ;Claire  Jouany;27651025
ezgBorkAAAAJ;Robin  Pakeman;27651025,20146400
zBrwYhUAAAAJ;John  Gamon;40061989
pNzhCWsAAAAJ;Qianlai  Zhuang;40061989
xsXiAu8AAAAJ;Jasper  van Ruijven;23035091,27860835,40925475,27754351,24033490,24130895,3548380,40864601,24131001,40235179
I-Kmap0AAAAJ;Manuel  Biscoito;1448473,24637159,1549170,27753962
uunfDtoAAAAJ;Armando J. Almeida;1448473
spblIC0AAAAJ;Dong  Zhang;41942710
oAj9a-wAAAAJ;Stephen  Carpenter;10.2307/2269460
pUZrg4wAAAAJ;Angela I. Calderon;4256322
QAGvJAEAAAAJ;Brian M. Brost;41416746
j3byyGgAAAAJ;Keith E. Korsmeyer;10.2307/1447765
K5lkjNkAAAAJ;Dan  Hammarlund;20113180
2-VRxx8AAAAJ;Matthew D. Venesky;40863279,20143236,25209082,41487928
5nUeg0MAAAAJ; David Martín-Gálvez ;4627047
8k9SQHQAAAAJ;Leonel  Lopez-Toledo;25172975,24552025
NaKb3jMAAAAJ;Junji  Okuno;20105652,20105995,20107523,20106402,27743349,10.2307/1549247
MoUsKd8AAAAJ;Piotr  Karolewski;20069230
DSqehjwAAAAJ;Brian  Henen;3683438
