BQmLEqQAAAAJ;Justin L. Hart;41301580,40305627
dE04-PEAAAAJ;Arvind A.R. Bhuta;41301580
34tjQjEAAAAJ;William H Schlesinger;41149671
9-bgHZAAAAAJ;Amy B. McEuen;3450214,20146928
o_FY0KUAAAAJ;Teresa  Alcoverro;24854586,24853360,24873990,24872682,40213209,24855648,24872539,24857449,20445984,24851876,41499842
V-m8zi4AAAAJ;Simone  Mariani;40206241,3227251,24854586,24866608,20445984
clRrHZEAAAAJ;Declan J. McCabe;10.1899/11-080.1,3505407,4222693
vHeJllcAAAAJ;Geoffrey R. Hosack;40062211
_aNBKvyrGigC;Keith R. Hayes;40062211
lnl0QdMAAAAJ;Jerry  Kaster;10.2307/2407639
_SOEfOMAAAAJ;Kristin B. Hulvey;23143918,4539975
I-2_GUcAAAAJ;Robert E. Kennedy;43677506
UGhZSJgAAAAJ;Ben  Stewart-Koster;41416757
wp_nBj0AAAAJ;Mariana  Meerhoff;41507793
KvHsaHMAAAAJ;Thomas A. Davidson;41507793
gjynbD8AAAAJ;Matthew D. Carling;24032771,4094411,1384011
_OIfYf4AAAAJ;James  Meadow;23035000
ew1Q0f8AAAAJ;Luigi Maiorano;4620985,4620987
IQGO_04AAAAJ;Axayacatl  Rocha-Olivares;3448761
akWlkRcAAAAJ;Stephan  Schwartzman;2641784,3591060,3095265,2641789
agwqfswAAAAJ;Hiroyuki  Matsuda;10.2307/2265634,40061794,10.2307/1938920,10.2307/2410204,3505811,10.2307/3544924
IZW2Op0AAAAJ;John D. Zardus;20107925,10.2307/3226988,1549589,40665219
MA4mtZEAAAAJ;Annette  Ostling;27651354,4539093,3449977,41318855
8lAQEn8AAAAJ;Kavita  Jain;23463865,24033761,41240788
2uyi2F0AAAAJ;Apoorva  Nagar;23463865
kxS4DJgAAAAJ;Christopher M. Moore;25595224
DF0i3-cAAAAJ;Matthew  Forister;25595224
uy67RdIAAAAJ;Henk  Folmer;4620936
6Y_EcHwAAAAJ;Andriy-Taras  Bashta;23021630
LH4kk5YAAAAJ;Nicolas  Schtickzelle;20068985,24033706,20069035,3506012,3548617,3548109,3547656,3547958
rvhNsyEAAAAJ;Laura  Rogers-Bennett;3095326,3061444,10.2307/2269364
68qp0DwAAAAJ;Li  Zhang;41693999
0lxcsMoAAAAJ;Hans  Blanck;20112912,24857262
C50E7jEAAAAJ;Maxim  Timofeyev;20107791
kpX0BtkAAAAJ;Heiko U. Wittmer;40603358,4539159,4539203,23488358,20062326,23259742
DU8-6roAAAAJ;Robert  Garcea;10.2307/1441778
3Ph9sP0AAAAJ;George  Gorman;10.2307/1441778
-2gL7U0AAAAJ;Cheryl  Hayashi;10.2307/2410014
WMHwgqsAAAAJ;Donald M. Baltz;10.2307/1445062,10.2307/1444219,10.2307/2641098,10.2307/1941827,10.2307/1379096,10.2307/1379053
sWuq_HQAAAAJ;Jonathan  Belmaker;25592600,27651345,24868008,40213224
X9nGuC4AAAAJ;Uma  Outka;24115053
P64OBNIAAAAJ;Cindy  Chu;3696906
k53Rps4AAAAJ;Anita  Guerrini;43187879
d-eHqNwAAAAJ;Yolanda  van Heezik;43677535,3591001,24058194,24058130,24056199,24060782,24060898
_SNS7pMAAAAJ;Chuan-Kai  Ho;27650677,27650959,40005704
58Bb97kAAAAJ;Tara G. Martin;4543351,4620833,27646005,3505733
Fi5P6YUAAAAJ;Jeffrey Wielgus;4621003,4620827
moM3cH0AAAAJ;Anton  Plaisier;10.2307/1938700,10.2307/3565395
JjTD4hwAAAAJ;Roberto  Canullo;23065014
RSf6NFkAAAAJ;Giandiego  Campetella;23065014
5mAt_f4AAAAJ;Stefano  Chelli;23065014
a0UtiWoAAAAJ;Camilla  Wellstein;23065014,23065013,23028854
bu2A-2kAAAAJ;Peter M. Kyne;20107742
kAMbCmEAAAAJ;Anthony J. Courtney;20107742,4094212
Cs-YRmsAAAAJ;Bo  Riemann;4250885,10.2307/3543663,10.2307/3565567,24846147,4251261,4251155,20149219,24844636,24846124,24841983,24857080,20149183,10.2307/3543338,10.2307/3544493,10.2307/3544635
ZO79zcsAAAAJ;Phillip A. Morin;10.2307/3868215
