LOxAjaIAAAAJ;Douglas J. Shinneman;23213961
zlBvlpYAAAAJ;Luca  Borghesio;20183391,40305674
8oj-H0gAAAAJ;Edyta T. Sadowska;3448983,10.1086/683039
5Y-VkysAAAAJ;Martin D. Smith;3589064,23596799
Fb56ZTAAAAAJ;Ian R. Noble;10.2307/2269443,10.2307/1941908,3236276,4223052
QGRf9JEAAAAJ;Jared  Aldern;43440934
5h4roUUAAAAJ;Andri  Manser;41240835
wLAykXIAAAAJ;Dorota  Paczesniak;41317039
d7l_QfYAAAAJ;Ole  Pedersen;23384998,10.2307/3544890,4275546,24829263
t_y0aX8AAAAJ;Niels Peter Revsbech;10.2307/1938155,4275919,4251101,4250563
fUOAC7AAAAAJ;Steve  Dudgeon;40309790,3548759
iytrzeUAAAAJ;Adam  South;29782995
ecQQjiYAAAAJ;Rosalía  Piñeiro;23064573
e5YUmpQAAAAJ;Paul  Keim;10.2307/1940711,10.2307/176776,10.1899/12-122.1,2680329,20068929,10.2307/1467270,10.2307/1382243,10.2307/1382987,10.2307/1382931,4220848,41489084
JN83ukgAAAAJ;Jeremy J. Austin;10.2307/1566002
j11LIWIAAAAJ;Margarita  Menéndez;43442969,41318753
hSxk3WcAAAAJ;Alvaro  Cabezas;43442969
TFyvWSMAAAAJ;Eduardo  González;43442969,43187655
2FBLJ-IAAAAJ;Belinda  Gallardo;43442969,23441001
edMIRhMAAAAJ;Laura A Meyerson;41811494
rpqFAVwAAAAJ;Michelle E. Afkhami;25592655,43494967
jrrQkOgAAAAJ;Alisha L Steward;41480053
Ek8sY20AAAAJ;Stuart E Bunn;41480053
rydyNDsAAAAJ;Marco  Janssen;3658680
EYH2LaYAAAAJ;Jan  Ohlberger;23143874,24432240
R-1X6vQAAAAJ;Eric  Edeline;24871839
RGjRu9AAAAAJ;Ellen  Cheng;24321053,20445853
QueuaAMAAAAJ;Quinn E. Fletcher;27860844,23488469,24034383
GltLmzYAAAAJ;Klemens Hertel;4255118
kzJAJi0AAAAJ;Jorge Víctor Crisci;41764716
4TU-1fQAAAAJ;Ricardo  Dobrovolski;43187833
2UpwlcYAAAAJ;Ludmila  Rattis;43187833
TiEb-pYAAAAJ;Margaret R. Metz;23596979,29779660,23597363,25172891,newphytologist.196.4.1145,43288625
97BbXH4AAAAJ;Suzanne  Simard;41413036
V5Q2r-0AAAAJ;Osama B. Mohammed;3061331
ZiuAuQ8AAAAJ;Lisa L. Manne;40419699,4139439
8QZfMQcAAAAJ;Jeffrey M. Gaba;24112881,24113009
ZFP8Yj0AAAAJ;Alan H. Cheetham;10.2307/2410165,10.2307/2410098,10.2307/2410339,1301301,1299786,4133830,1302424,1302305,1300249,1302354,1301637,20627705,1307045,2400657,2400490,2401226,2400731,2400683,10.2307/1484523,30219602,2400641
of0iN4wAAAAJ;Kazumichi  Fujii;23328067,24129934,24130664
XATiA6YAAAAJ; Heikki Mykrä ;4134700
z9eUGYoAAAAJ;Laetitia M. Navarro;23253732
pv6dywMAAAAJ;Nick  Bond;43187835,20440816
wRFsBxIAAAAJ;Justin  Costelloe;43187835
eYVSYp0AAAAJ;Alison  King;43187835
XybemPsAAAAJ;Paul  Reich;43187835,3505403,4223697
3WgPFSUAAAAJ;Stephen  Balcombe;43187835
5R7DjC8AAAAJ;Tobey H. Curtis;24321801
2ZQguPMAAAAJ;Dawn M. Higginson;41503468
pznGgLUAAAAJ;Shai  Morin;40066326,40065766
gg_nW5gAAAAJ;John  Pannell;10.2307/2410955,10.2307/2960627
HjjKDuAAAAAJ;Christine  Thacker;1448005
i5YxsiMAAAAJ;Will  Selman;41827089
EEbYJmMAAAAJ;Patrick J. Schembri;4299398,3548792
5s83vgoAAAAJ;Javier  Rodríguez-Pérez;41499925
KIyNABcAAAAJ;Anthony  Olivier;25680351
iQu5bacAAAAJ;Marc  Cheylan;25680351
dtI67UcAAAAJ;Kathleen L. Prudic;3095284,20062285
2zCVg1MAAAAJ;Patricio  Pliscoff;41058180
pZTij0cAAAAJ;François  Munoz;43494724
E5icb4EAAAAJ;Lisa  Boström-Einarsson;43495221
udYinXAAAAAJ;Nate  Hough-Snee;43443249,43309830
u-MMCbIAAAAJ;Howard C. Howland;10.2307/1443795
OPCL2UYAAAAJ;Lee  Huskey;3658938
I843_BkAAAAJ;Craig  Nicolson;3658938
VpJX81kAAAAJ;Erica L. Larson;24032807
aYTQa_AAAAAJ;Jerome  Kelleher;40863343
RuU8TH0AAAAJ;Jan  Mládek;23064984
2hp1n3wAAAAJ;Stanislav  Hejduk;23064984
N5w0FYQAAAAJ;Jianchu  Xu;40390466,41480006,29738763,29738767
lmmfDrcAAAAJ;Erin E. Peterson;25680383,41723011
eJQvAYoAAAAJ;Daniela  Brites;24032832,20051328
f4-JWVYAAAAJ;Carlo  Brena;24032832,3227252
hKILCloAAAAJ;Julio E. Crespo;20105701,20105727
0ndkOLEAAAAJ;Maciej  Gąbka;23064487
OR57rLUAAAAJ;Mariusz  Lamentowicz;23064487,25153225
1YvpYHYAAAAJ;Elaine  Stratford;2641419
FjwhLQsAAAAJ;Manuel  Delgado-Baquerizo;43677520,42952366,24130672,42953089
tdYkXA0AAAAJ;Kathleen  Rugel;10.1086/679491
Tk9WP40AAAAJ;Christopher J. Whelan;10.2307/2680098,10.2307/3071820,2641563,2641974,24432299,3548588,41413492,10.2307/3546181,10.2307/3565939,10.2307/3546561,10.2307/3546997,10.2307/3565593
WVaUgoMAAAAJ;Joseph L. Woodgate;24032860
jzejxLcAAAAJ;Roswitha  Brighton;24032860
GnUnBToAAAAJ;Mingliang  Liu;41505998,41416744,41239258,43290053
T98lwWoAAAAJ;Wei  Ren;41505998,41416744,41239258
MfcLhfoAAAAJ;Xiaofeng  Xu;41505998,41811866,41239258
VI_Lb-YAAAAJ;Chaoqun  Lu;41505998,41811865,41811866,41416744,41239258
AUrJp40AAAAJ;Steven  McNulty;41505998
liVVf6sAAAAJ;Graeme  Lockaby;41505998
vpl9RHUAAAAJ;Ricardo  Montero;40983605,10.2307/1565977,10.2307/1565389,10.2307/1565221
Agw2rqgAAAAJ;Theo  van der Sluis;3095372
kXVhEGEAAAAJ;Paul  Opdam;3095372,41318868,10.2307/3545332
SQmbWP8AAAAJ;Rogier  Pouwels;3095372
TCLCjLEAAAAJ;Susan C. Baker;40419687
4v4OIhgAAAAJ;Lonnie  Aarssen;20441015
OL-EZYUAAAAJ;María  Saura;20183522
2ksxshAAAAAJ;Shon S. Schooler;3877731,40732010
qD86n5UAAAAJ;Jonathan A. Green;41151156,3677389
jZ1XU2QAAAAJ;Graham R. Martin;41151156,40864687
KOaSIDEAAAAJ;Diego  Astúa;40306317,25145086,40925651
AXu7vzkAAAAJ;Trevor H. Worthy;41261852,20491079,3893383,24060842
9A0c--wAAAAJ;Benjamin J. Laurel;40062257
EnZVIS8AAAAJ;Margarita  Florencio;10.1899/12-105.1,41499850
IxPwFXkAAAAJ;L. Kealoha Freidenburg;24432150,4620959
Y1ekf1oAAAAJ;John N. Griffin;43495230,27651541,27759738,40235607
XRddEOIAAAAJ;Sara  Palacio;23065005,25173219
UwF1ZRYAAAAJ; Urte Schlüter ;4181416
e5N4tVoAAAAJ;Innocent B. Rwego;20183572
gcmGpBIAAAAJ;Peter  Crnokrak;3094679
ol6gP20AAAAJ;Patrick  Nantel;3061216,2386876,2648633
PFi23cQAAAAJ;Angela J. Crean;41239294,23597219,41317029
yMMxLX8AAAAJ;Nicole E. Rafferty;23213729,23597380
YUwQ95oAAAAJ;Raymond  Davis;23225196,43494341
_fKiiq8AAAAJ;Deborah  Curran;24114264
IpwOCtIAAAAJ;Iva  Popovic;41503476,24033860
Un9n47AAAAAJ;Steven L. Van Wilgenburg;23434377
CgLCmW8AAAAJ;Javier  Juste;2387048,4603440,30224460,1383511,1383974,27755189,41499785
xJK0wK0AAAAJ;Alessandro  Catenazzi;25512207,25622936,41415320,41415260,40931037,41406808,40234981
7rUz5S0AAAAJ;Philip D. McLoughlin;3589049,3683021,40405899,1383445,1383958,4223314,40310019
mZ--xNEAAAAJ;Colin  Campbell;43493896
coT401YAAAAJ;Steven L. Yaffee;2641686,10.2307/2269472
jRZI9ZAAAAAJ;Hongyan  Liu;40407783,23064547,3246582,20051193,25164075
kgck7ecAAAAJ;Michael S. Engel;3061465,25086411,25086101,25086143,41262859,40783185,4094762,20621962,25085713,41262861,4094926,25568926,25481785,41262857,43288244,25086394,43288243,25010159,4094946,41353894,25010208,25086068,41681233,20621942,25086092,41681224,25085892,25086438,25086049,4095133,41681216,25086004,43288218,25568930,41681221,25086347,25086261,25086192,43288245,25010172,41681237,25010162,25481827,25086027,41681236,25481809,25010174,41681222,25481825,25086166,25085983,25086156,25086434,25086374,25086153,25086085,25086037,25086164,40783243,25086435,25086439,25085728,25085937,43288242,3858299
qNaiq0sAAAAJ;Sarah Ann Thompson;24874206
j64e-BsAAAAJ;Manuel  Nogales;3683084,3589208,40060504,4514241,3893181,3838607,4496090,1565880,3893128,10.2307/3545778
ILGpSpIAAAAJ;Ben  Ashby;24033699
2n76f94AAAAJ;John  Conery;10.2307/2410432
nrr9cuoAAAAJ;Dominique  Carval;40863389
thA6W7QAAAAJ;Regis  Ferriere;40863389,10.2307/176543
Ug11SrkAAAAJ;Inge  Jonckheere;25680378,40731845
UJigr5UAAAAJ;Björn  Wissel;3450701,20062375,24871855
kCgAT_gAAAAJ;Christopher M. Somers;24575398
plzJQ98AAAAJ;Simone  Fattorini;4539986,40664959,40731393,20870183,40305879,827363,40929015
fCSnGZgAAAAJ;Melanie  Frazier;23440997,23441000
vtYo9roAAAAJ;Luke  Verburgt;40963555
NVx6lBwAAAAJ;Viola  Toniolo;25680458
lGFJ9yAAAAAJ;Andrea S. Thorpe;4493682,20528894,23028858,20869940
5cnAOn0AAAAJ;Bård-Jørgen  Bårdsen;27651604,20144070,41474627,40540202
asAmsGYAAAAJ;Jinzhong  Fu;1448558,1448401,1448190
uWLGEj8AAAAJ;Rob  Massatti;24033641,41425777
XLQAAEEAAAAJ;Manju Sundriyal;4256453,4256875,4256814,4256815
pdIEAF8AAAAJ;Elizabeth  Thompson;10.2307/1938351,4223048
7XlzRzUAAAAJ;Max Post van der Burg;29779656,20869911
ZG722EEAAAAJ;Lee M. Silver;10.2307/2411247
-aawN8kAAAAJ;Robinson W Fulweiler;23470512
1Vo6CoQAAAAJ;Emmanuel  Paradis;24032803,4627132,3448991,10.2307/177100,2647274,10.2307/5801
MPmrKXsAAAAJ;Abhyudai  Singh;25592669
3BzQDTwAAAAJ;David W. Mount;4281220
NydUGLIAAAAJ;Christophe  Petit;2648577,10.2307/2960536
USjTDCoAAAAJ;Kari  Saikkonen;10.2307/176782,3061539,3450030,20062134,40926494,40213255,40309850
_3WZS_sAAAAJ;Per  Arneberg;3683633,3683713,4221221,10.2307/3546597,3547988
zqe0y-IAAAAJ;Roel R. Lopez;24321248,3591083,24875672,24875081
DOiQay8AAAAJ;Guy Pe''er;3591221
wlYg-ScAAAAJ;Dajun  Wang;20183532
eKxrM0QAAAAJ;Andrew J Burton;41480050
qmwdWu8AAAAJ;Donald R Zak;41480050
zMifpLMAAAAJ;David L. Field;20143567,10.1086/663164
de5jcysAAAAJ;Melinda  Pickup;10.1086/663164
fv71B7UAAAAJ;Ghislain  Vieilledent;40864597,41487351
CclfsJAAAAAJ;José  Barquín;10.1899/11-059.1,4095654
JU1dmtcAAAAJ;Steven M. Carr;10.2307/2408982,10.2307/1382311,10.2307/1382388
0zJ9BUMAAAAJ;Adolfo Cordero Rivera;41465303,4223685
sqc8H04AAAAJ;Rebecca M. Clark;20069220
ohoN070AAAAJ;Stephen T. Abedon;4251073
j2hHPD4AAAAJ;Katherine A. Mitchell;40603123,24033706
vTG2WX4AAAAJ;Barney J. Venables;43563817,4279057
sHVK1UcAAAAJ;Richard J. Wang;24032825
zQwJuAIAAAAJ; Jaromír Lukavský ;4179580
7MNfJhwAAAAJ;Rosa C. Goodman;24432182
6iOFOSsAAAAJ;Jacob H. Theil;27650997
