jyZDCOIAAAAJ;Jennifer M. Wang;41151241
ru_ah2gAAAAJ;Matthew E. Wolak;24032732
2MFMQsMAAAAJ;Stefanie  Hellweg;24432178
I6gqjg8AAAAJ;Craig E. Franklin;40407769,3094592,43287356,1566151,10.2307/1565924,43287303,24634291,10.1086/671165
fcqBMloAAAAJ;André Braga Junqueira;41242893
DKOS98UAAAAJ;Todd K. Fuller;3683710,3095374,23488601,4094602,10.2307/1382403,10.2307/1380820,23488604,10.2307/1380454,4094450,10.2307/1381685,10.2307/1380938,24575409,10.2307/1380725,10.2307/1381251,27751630,10.2307/1379941,10.2307/1381568,4222770,mounresedeve.30.3.295
H3toP-0AAAAJ;Cristian  Correa;23213920
2Rk48DgAAAAJ;Satya  Prakash;10.2307/2407540
kB9A15AAAAAJ;Frédérique  Viard;3061609,27650897,23463889,23463890,24872759
vxSldz0AAAAJ;Viviane  Dib;23225239
-IlIKosAAAAJ;Douglas J. Hallett;20440746
K4lAoUYAAAAJ;Michael  Stastny;27651683,4543507,3599454
xUVB5i8AAAAJ;Andrea  Battisti;27651683,40802500
sInLV_4AAAAJ;Bianca Maria Lombardo;20103843
5UbarkQAAAAJ;Israel  Del Toro;23597264,43287097
oMIvBZ8AAAAJ;Robert F. Stallard;4092187
liUuWQsAAAAJ;Robert  Hay;10.2307/1521342
FaxMc8MAAAAJ;John P. Sullivan;3061597,3449279
UdJvBoUAAAAJ;Daniel R. Uden;24432257
N6z6iDgAAAAJ;Michelle L. Hellman;24432257
gtDoEKoAAAAJ;Bradley A. Strickland;10.1899/12-145.1
5jWW5JUAAAAJ;Tin  Klanjscek;40061924
jAtgVcgAAAAJ;Petr  Pokorný;25133758
uW6tkxYAAAAJ;Alice  Cibois;2680286,3677571,30245205
Slly0cQAAAAJ;Bhart-Anjan S. Bhullar;25512163,20491014,40060514
gfFX_TsAAAAJ;Fabio  Corsi;10.2307/1382507
bsdAVz4AAAAJ;Brian R. Moore;3449138,3884767
tq1Kp-4AAAAJ;Shibu  Jose;40061847,43441120,43443262,40213169,24125564,24130063,41508699
WJSmCDYAAAAJ;Beatriz  Rodríguez-Labajos;43526945
ulCsGIoAAAAJ;Michel M. Verstraete;25595197
WR7VpKUAAAAJ;Robert J. Scholes;25595197,40310155
SiiTSBAAAAAJ;Sigrid C. Resh;3659002,10.2307/177491
rcjmWf4AAAAJ;Roee  Gutman;3450997
iY7TklEAAAAJ;David M. Sever;10.2307/1446302,25622971,10.2307/1443479,10.2307/1445968,10.2307/1444850,10.2307/1445375,25512174,10.2307/1447655,3891884,10.2307/1467083,3892899,3891854,1565858,3892341,3890664,3892472,3892716,10.2307/1562935,3891604,10.2307/1562984,10.2307/1565310,3892764,3892942,10.2307/1564561,3892310,3892444,3891584,3893009,3892733,3891896,3892074,3892039,10.2307/1563622,3892131,1566087,10.2307/1563712,3892157,10.2307/1565718,3892888,10.2307/1563315
uS_EQ3YAAAAJ;Karen D. Crow;10.2307/1447834
Xoz8XbsAAAAJ;Jeremy  Biggs;27651640
GFNxjEIAAAAJ;Sheema Abdul Aziz;20696483
3BcqgosAAAAJ;Garth R. Hodgson;3683392,4095778
Azr6AmgAAAAJ;Bernadette  Pinel-Alloul;10.2307/1941636,10.1899/11-120.1,4251182,3548645
eE46njgAAAAJ;Michael A. Wulder;23440934
cCD-zR8AAAAJ;Nancy A. Mahony;23440934
AiRbF0wAAAAJ;Sarah J. Hart;43494975
iZUcGJcAAAAJ;Petros  Lymberakis;25483674
ePcFwr4AAAAJ;Kristina J. Anderson-Teixeira;23501475
IhkxW-kAAAAJ;Christopher K. Black;23501475
_NuqU-4AAAAJ;Marcelo  Zeri;23501475
lJH3-3AAAAAJ;Mir Zaman Hussain;23501475
WAlDYfMAAAAJ;Michael G. Brown;42952572,24131024
YOTOmMEAAAAJ;Shawn P. Devlin;10.1086/676315
KEJ9SssAAAAJ;Neusa  Hamada;10.1086/681086
tQFeHiAAAAAJ;Nell Green Nylen;24115069,24115017
wjuyb5gAAAAJ;Jianyang  Xia;25592806
9tHCZfcAAAAJ;Marianne  Huebner;20069126
ms87nugAAAAJ;Gregg  Mitman;3986112
oMd35uwAAAAJ;Tadashi  Miyashita;4543381,3683388,27651438,3548055,4223432,4220173
vRsYKGQAAAAJ;Pang  Du;10.1086/669917
0fRmM_QAAAAJ;Emmanuele  Farris;23064987,41686745,40305585
ulgermQAAAAJ;Rossella  Filigheddu;23064987,41686745,40305585
-bM7PVgAAAAJ;Maydianne C.B. Andrade;40963558
4g6gf-sAAAAJ;Wolfgang  Wüster;3683130,3893306,10.2307/1565297,3892862,10.2307/1564874,3892921,3893276
bPONkpYAAAAJ;Ricardo  Reques;41827096,10.2307/1564855,10.2307/1564576,3893017,10.2307/3546278
P0I1aP0AAAAJ;Gregory W. Thiemann;27646156,23488370,20869951
Tg9kJjMAAAAJ;Cristina  Linares;20144019,40206241,24869878
1wZtlokAAAAJ;Tomas  Pärt;3589215,23023116,27651161,4123803,10.2307/3677025,3505318,20869978,4539313,3677490,3697536,41332029,4222140,10.2307/3545773,10.2307/3676802
S4hWCAYAAAAJ;George R. Helz;1350373
LutrRtUAAAAJ;Chris D. Lowe;25592736
zhMURM8AAAAJ;Alison G. Boyer;23064557,20172001,3838549,27743579,4223676
SD6gpOAAAAAJ;Lara G. Reichmann;41500038
E3mhE78AAAAJ;Jean-Marc  Lassance;41240757
6Z_asZ0AAAAJ;Cheila  Almeida;27743254
xEuWCkkAAAAJ;David C. Cook;40062078
