TFYFed0AAAAJ;P.  Swain;23792367
nUBWCnAAAAAJ;Mark  Farrell;23501303
scUeBdwAAAAJ;Paula  Roberts;23501303
Wffm7QgAAAAJ;Daniel V. Murphy;23501303,24369178,24369176,40537614
mZ3UnBEAAAAJ;Vincent  Debat;4134814,3448730,40863385,3595494
ePs6InIAAAAJ;Suzannah Rutherford;4134814
YaZ0SAEAAAAJ;Anna K. Behrensmeyer;23206683,4096874,2400606,2400386,2400407,2400427,27670574,2400622,3595478,10.2307/3514782,2400283,4096887,1571655
OeyGunAAAAAJ;Helena  Guasch;10.1899/10-127.1
-2Rh37gAAAAJ;Rita  Castilho;27650897
kjrfFe4AAAAJ;David  Foltz;27650897
IeG2nZIAAAAJ;Wytze  Stam;27650897
WKzNUQsAAAAJ;Yan  Boulanger;23440935
j-9uXQ8AAAAJ;Jürgen  Dengler;25134168,23064558,40604222,23012417,40802578,41412358
984c6x0AAAAJ;Carsten  Hobohm;25134168
R9UH8poAAAAJ;Elena  Gorokhova;43494797,20062243,3548609
KlJrz9MAAAAJ;Bernd  Fritzsch;10.2307/1446045,10.2307/1564133
CVnTfeIAAAAJ;Yiannis G. Matsinos;10.2307/1942047
ZHV36FEAAAAJ;Roger B. Hammer;40062041,40062094,20183393,23440870
NXmZBYoAAAAJ;Steven D. Collins;10.1086/682688
SN2zDOEAAAAJ;Paul R Ehrlich;41480675
OHvOwQwAAAAJ;Jonathan  Loh;29738731
xCtfB2AAAAAJ;Sarah  Whitmee;29738731
zpRiIxYAAAAJ;Louise  McRae;29738731,29546158
1mQXdHwAAAAJ;Annett  Bartsch;29779625
3UZQdJYAAAAJ;Timo  Kumpula;29779625
Z69Eif0AAAAJ;Florian  Stammler;29779625
eE7lqdQAAAAJ;Stephen L. Dobson;23441011,3449467
JiZmKlEAAAAJ;Mónica  Feriche;25140775,10.2307/1565715,10.2307/1564820
MzIEowEAAAAJ;Peter  Newman;43442735,24707707
YG7D5usAAAAJ;James  Skelton;10.1899/12-198.1,23259762
3fofYzcAAAAJ;Kaitlin J. Farrell;10.1899/12-198.1,23259762
aSJUupgAAAAJ;Catlin  Ames;10.1899/12-198.1
6dFGuqIAAAAJ;Guochun  Shen;23597205
TbVSx3IAAAAJ;Scott F. Collins;41318740
xa-5ddYAAAAJ;Joshua  Ladau;4543399
Q24wXYkAAAAJ;Erin  Boydston;23440876
G4z2EygAAAAJ;Per  Toräng;40606649,40234986
zKfwP1UAAAAJ;Serge  Gofas;2999831
32wUCDIAAAAJ;Luke T. Kelly;41416792,23017144
CIJ0j4IAAAAJ;Katherine E. Mills;10.2307/176779
oUDr5XkAAAAJ;Giovanni  Boano;3683188
n4XrPiAAAAAJ;Rajendra  Prasad;43387246,42947023
p23945gAAAAJ;Rajendra  Prasad;42947023,42946893
Xjk2F3IAAAAJ;Nicholas  Brokaw;10.2307/1936992,27823723,10.2307/3099976,25133875,2560294,4603208,40731845,4603156
on8IwbwAAAAJ;Amy  Ellison;41240887
5otoE9IAAAAJ;Jo  Cable;41240887
s2SmQ1cAAAAJ;Sofia  Consuegra;41240887,24873010
L4xGtIoAAAAJ;Hallie  Eakin;25595090,24013716,3674435
AApdCWkAAAAJ;Jason C. White;24370665
-Y0JxHQAAAAJ;Leah  Temper;43526945,20743737
yvavbAIAAAAJ;Scott D. Peckham;4299444
yydbT3sAAAAJ;Wendy C. Turner;27650749
cerx2_sAAAAJ;Richard  Jovelin;24032731
d-pRCqsAAAAJ;Christian  Braendle;24032731
ogcQcQQAAAAJ;Alison  Mikulyuk;3449029
8PNXV2wAAAAJ;Libe  Washburn;27646058,24866114
lBAOAmwAAAAJ;Philip  Batterham;10.2307/2408713
e7l7yT4AAAAJ;William  Pitchers;23463830
CCqaA3oAAAAJ;Noel W. Davies;20069225,40210595,20062204,41549922,23385217,23884741,40537941,23389933,25758731,20445866,23389028
M3H3W5kAAAAJ;Jennifer A. Marshall Graves;2386343,4292082,4292813,25160181
CmGxrp0AAAAJ;Carlos DoNascimiento;4098592
-kyNjiQAAAAJ;Prosanta  Chakrabarty;40863283,25140672
d0RhZEIAAAAJ;Katia  Fernandes;24432208
1j_-nbwAAAAJ;Pietro  Ceccato;24432208
96n4YGQAAAAJ;Alex  Hearn;20107808
6ziwnJIAAAAJ;Jason K. Blackburn;4124766,40665058,24871129
nYLuKDAAAAAJ;Charles  Ofria;4621319,23327705,3448871
2aL86Y4AAAAJ;Maria T. Gallardo-Williams;24321030
nzTXeNsAAAAJ;Jonathan A. Myers;29779529,4495991,40006409
1fMYICgAAAAJ;John M. Halley;3450632,10.2307/2404976,10.2307/2404979,40305481,10.2307/3545783,41693741
