GYkwveEAAAAJ;ADILSON  FRANSOZO;23034237
SRDNwMwAAAAJ;Jan  Hrcek;23229918,24033423
wL7AtZAAAAAJ;Jos Barlow;4620874,4493656,4091966,4499147
orDmuRkAAAAJ;Eric J. Ward;23597114,27695994
r-q_GzQAAAAJ;Stefano  Canessa;24432248
SNJ_HCwAAAAJ;Susan R. Wessler;4627044,4280802,4274975,41435672,4279633
JszDzTUAAAAJ;Allicia  Kelly;41416659
3DUsAKIAAAAJ;Natalie Ban;4256836
ov0ddhYAAAAJ;Vivian P. Páez;25140717,4497943
m9-m8eEAAAAJ;Thomas  Cucchi;24033639
W9cyl0sAAAAJ;Ross  Barnett;24033639
W3HwTwgAAAAJ;Sabrina  Renaud;24033639,4095386,4125127,4640610,3554474,2656183,2666032,2401120,2666003,2401085
k6fQEL8AAAAJ;Elodie  Renvoisé;24033639,25483679
m-U62LkAAAAJ;Allowen  Evin;24033639
j7x_rPIAAAAJ;Ken  Schiff;10.1086/675683
pQPtUesAAAAJ;Lixin  Wang;40603505,42952371,24130506,40309771,24125644
oAGqnfgAAAAJ;Ryan J. Woodland;24432168,23144028,24875572
tQVe-fAAAAAJ;Trevor  Hastie;41058138
0xvZOWUAAAAJ;Yung En Chee;41058138,40958946
4wrR2lgAAAAJ;Denis  Vile;20172035,20143472,40235131,41435649,25680810,41434581,40066245
qB8KuDIAAAAJ;Ximing  Guo;10.2307/2411076
KzcHdGUAAAAJ;Michael F. Holick;1448257,20096438,27751690
qYNUX3wAAAAJ;Robert  Keen;10.2307/1935337,10.2307/1381210,10.2307/1379951
mTwvoyIAAAAJ;Dominique  Adriaens;10.1086/594382,10.1086/667532,10.1086/594378
sGQEObQAAAAJ;Frank  Huysentruyt;1448644
AuTdthkAAAAJ;Shaoyuan  Wu;24033808
7shdGucAAAAJ;Shundong  Bi;24033808
p6x1YCMAAAAJ;Sheila  Colla;29738828
bGUrK-AAAAAJ;Rosamonde R. Cook;3591077,4221889,4220874,4220977,40005710
ZgoB98kAAAAJ;Tessa M. Hill;23261934
lzr5IbEAAAAJ;Taran  Grant;25140703,4098721,3893199,10.2307/1566109,10.2307/1565452,10.2307/1565465,40665279,24634327
DIVsbgkAAAAJ;Tom  Brooking;25473071
wKT2b2IAAAAJ;Marco Leonti;4256680
3q3_zEoAAAAJ;Lauren E. Bortolotti;23440821
Li8BRSUAAAAJ;Gustaf  Granath;20788129,30243237,40310156,40309938
FJm158UAAAAJ;Pedro  Villar-Salvador;40731847,24121145
qKDk4pIAAAAJ;Thomas  Källman;41435096,40065336,41943260
fPKsXxIAAAAJ;Nikolai Ermakov;4201359
YaO6yc4AAAAJ;Stephan  Hülsmann;3548417
s3xmGckAAAAJ;Sergio  Rasmann;41239228,3548517,40235313,41435414,24370218,40065896
c7iZUCUAAAAJ;Mijasoa M. Andriamarovololona;20183479,20144083
WwFGuecAAAAJ;Melanie  Ghoul;24032758
Faa9J1wAAAAJ;Sylvain  Dubey;24032699
DZNTWyUAAAAJ;Jaimie TA Dick;41480051
b0XVV2IAAAAJ;Alison M Dunn;41480051
lHSc3RUAAAAJ;Anna Christina Tyler;40062085,4223692,24874662,24852099,24864734
XGE4mdAAAAAJ;Neil J. Gemmell;2641843,1383765,3505780
IAGtS14AAAAJ;Nicholas  Mirotchnick;25680406,41318853
k5LriHYAAAAJ;John E. Preece;20461566
v78F5oYAAAAJ;James O Luken;23470951
ic-AiHEAAAAJ;William M. Adams;3591146,29738805
Hj4psMMAAAAJ;Richard  Zander;10.2307/3391433
u74RqQUAAAAJ;Enrico A. Yepez;27823748,newphytologist.200.2.304
8utr6h4AAAAJ;Insu  Koh;23596782
Awrka3EAAAAJ;Jeffrey D. Holland;23596782
uTcNFBIAAAAJ;Pierpaolo  Consoli;20105752
pBoHEhkAAAAJ;Teresa  Romeo;20105752
al-KYgcAAAAJ;Ellard R. Hunting;10.1899/12-075.1
NEL-uBwAAAAJ;Andrew D. Higginson;40407747,41059069,40864697
gvq1nx0AAAAJ;John Eme;4098661
ueQDPLIAAAAJ;Dayani  Bailly;43494367
y0tgtosAAAAJ;Roberto  Danovaro;40062039,4298372,24874321,25153284,25153248,24872967
FWO9cc0AAAAJ;Nikolaos  Lampadariou;24873685
KWMqAUEAAAAJ;Anastasios  Tselepides;25153268
OISkfmcAAAAJ;Andrew A. Schaffner;10.2307/3868212
j6AUGOkAAAAJ;Jeffrey  Powell;10.2307/2407139
Nt17xosAAAAJ;Jiang  Zhaowen;10.2307/2269575
mTAUaD0AAAAJ;Niklas  Wahlberg;3683604,4223137
Yz2cMNkAAAAJ;Lawrence R. Heaney;10.2307/2407408,41242797,25145164,2559428,2665395,10.2307/1382128,1383569,1384029,10.2307/1381575,10.2307/1380481,10.2307/1380151,4498659,3566406,4094274,10.2307/1381555,4094361,2665397,10.2307/1380149,10.2307/1382282,23375587,4217198,10.2307/3504276,10.2307/3503926
kKaU5loAAAAJ;Charles A. McClaugherty;10.2307/1938874,10.2307/1939478,4217630
in9fci8AAAAJ;Fujio  Hyodo;23225234,27751674,42953460,42952881,40310069
LkOX_kQAAAAJ;Scott P. Carroll;10.2307/2408476,10.2307/2409756
1DmAFZYAAAAJ;Olivier  Missa;20183567,3505889
DPI_6bYAAAAJ;Connal  Eardley;20183567
7r6SZIQAAAAJ;Luke M. Evans;24432234,25483542,41413951
_79jqS4AAAAJ;Bernhard H. Gaese;10.2307/177020
oFeJM10AAAAJ;Laura  Crothers;27920078
wuOjUf4AAAAJ;Eben  Gering;27920078,10.2307/40166831
55VV_usAAAAJ;Molly  Cummings;27920078
ks_9QuMAAAAJ;Andrew S. Mehring;10.1086/675507
tO6rq4YAAAAJ;R. Richard Lowrance;10.1086/675507,10.2307/1941330
4iLBmbUAAAAJ;Eric  Marcon;40346255
eTLh-AYAAAAJ;Patricia S. Muir;10.2307/1938028,41425795
o7sXgpEAAAAJ;Michael K. Young;25680348,3061259,25512203,40060489
-gWAPWEAAAAJ;William E. Stutz;40793181
CGyHWs8AAAAJ;Mabel A. Lizarazu;41825705,23230215
OuZJjGgAAAAJ;Thomas O Crist;41149744
LwlFtFsAAAAJ;Nathan Briggs;4543350
Dq1jEr4AAAAJ;Birgit  Erni;4539985,30243823,3548166
CNqtiAEAAAAJ;Marta  Wolff;23641273
0Ie84r4AAAAJ;Jens  Persson;3589078,4094566,23259910,23259959
IHEK_j0AAAAJ;Guillaume  Chapron;20144144,3838460
YeXV0t4AAAAJ;Christine L. Dolph;10.1086/680984,20787440
ydEaYTEAAAAJ;Leonard C. Ferrington Jr;10.1086/680984
-CKM9vwAAAAJ;Jeffrey  Levinton;10.2307/2410674,1303099,4094835
eovVUhcAAAAJ;Hans-Peter  Weikard;3696890
UWNYqPYAAAAJ;Maarten  Punt;3696890
3gWnAYsAAAAJ;Justus  Wesseler;3696890
xM531S0AAAAJ;Peter  Timms;2641422,20096420
_JA-t28AAAAJ;Takahiro  Irie;24873419
0LOiKV8AAAAJ;Kenneth  De Baets;41503482
wqPeyUgAAAAJ;Christian  Klug;41503482
VWYdfh8AAAAJ;Dieter  Korn;41503482,4094984,1306229,1306986,4096930
7LdKMpwAAAAJ;Göran  Wallin;20113157,24034381
S5HWncYAAAAJ;Bryan N. Shuman;23028852
d4zAMZYAAAAJ;Leire Urkidi Azkarraga;20743743
Lj1DbYgAAAAJ;Khaled  Masmoudi;23789291
MxJE-7IAAAAJ;Ahmed  Rebai;23789291
DaGIDz8AAAAJ;Jakob  Brodersen;40235452
0GVqKrcAAAAJ;Massimiliano  Scalici;20107950,40665265
_51oFcQAAAAJ;Thomas  Chesnes;24321784
BttvsjkAAAAJ;Jason A. Addison;27743478,3701474
zK8BmuUAAAAJ;David J. Nowak;43677538
23HGSTcAAAAJ;Pierre Y. Bernier;40062062,42951592
-EMFtIQAAAAJ;Takahiro  Asami;41432810,10.2307/3565705
ARS5kuMAAAAJ;Scott W. Emmons;10.2307/2409629
XwfzBI4AAAAJ;Jack da Silva;27784080
2s7NfswAAAAJ;Grant D. Hall;4256253
X6hRkZUAAAAJ;Kirsten Borse Haraldsen;4201403
8Hmz_P4AAAAJ;Aimée T. Classen;24125650,24370276,40309705,41499988,42951783
dE5wOlgAAAAJ;David R Bellwood;43187620
awpO5QkAAAAJ;R. Edward DeWalt;10-010,10-021,09-121R,10.2307/3565660
uGuYY_gAAAAJ;Jose A. Marengo;4493626
cTUh8uEAAAAJ;David W. Valentine;3658720,24129155
h37yy6QAAAAJ;Adriana  Puentes;30243237,23260135
8aRLjTsAAAAJ;Francois  Rousset;10.2307/2410454,2680388
m3Q4muoAAAAJ;Edgar  Benavides;23463826
n_6ZnroAAAAJ;Enrico L. Rezende;3449231,41319578,41319612,1383659,40235245
DqIXZuIAAAAJ;Pavel  Kratina;27651321,41503484,23213771,40835562,40309839
EfqkGHAAAAAJ;Matthijs  Vos;27651321,27651393,3450437,40309839,40235415,40235667,3548283,3547922
lB8q3BEAAAAJ;Anna E. Richards;25680376,41507781
UJ8XXfcAAAAJ;Lindsay B. Hutley;4091951,3236538,24124482,41434020,4223778
ZGNChIgAAAAJ;Rafael O. Wüest;24032768
0JdcONQAAAAJ;Urban  Friberg;3449176
tb_RYGMAAAAJ;Thierry  Duchesne;3450894,40605425
1fVTQUYAAAAJ;Claude  Loverdo;23463902
gwXMZ8kAAAAJ;Andreas C. Bryhn;27823747
UlH98RQAAAAJ;Gislene  Ganade;10.2307/3071878,4092039,10.2307/5880,3072209,3072124,20146952
yfyomIIAAAAJ;Josh  Korman;3658962
ytMu-ZUAAAAJ;David  Gadoury;10.2307/177442,10.2307/3761794
Ow0XjtMAAAAJ;Pablo J. Donoso;23328064
4mxAaBkAAAAJ;Pablo J. Donoso;23328064
ECZxAf4AAAAJ;Nusha  Keyghobadi;10.2307/177313
OkyoE8kAAAAJ;Daniel J. Mayor;41239286
7uwY4MgAAAAJ;Josep  Penuelas;10.2307/177407
6mBgzU8AAAAJ;Marcel  Cardillo;3061499,3451017,3182715,27743560
Ge7dzvQAAAAJ;Pedro Sánchez Gómez;23264774
zak-Y_8AAAAJ;Michael P. Perring;23596828,25622870
tcWJKJoAAAAJ;Dirk J. Roux;4539927
Sg4abtAAAAAJ;Reynaldo  Linares-Palomino;40305624
vw6U7dQAAAAJ;Emily S. Minor;40062073,23021623,25592690,24432299
3CsGyv0AAAAJ;David A. Ebert;41261894,10.2307/1444898,40863263,3536475,30135133
_i767egAAAAJ;James D. Austin;25512179,24321997,23321357
HbBoSLUAAAAJ;Alexis  Harrison;23463782
sg2MuqsAAAAJ;Jan  Barkmann;3658785
v84a9pwAAAAJ;Paula  Meli;43443159
WoGi-FAAAAAJ;Valentina  Carrasco-Carballido;43443159
k14NTqYAAAAJ;Eric M. Lind;20788160
F6ZrAIQAAAAJ;Philip  Barton;24432204
7_Fi5LQAAAAJ;Laura  Southcott;41503484
d4KNZWEAAAAJ;Sarah E Lester;43187795
c2e3NiAAAAAJ;Tage  Dalsgaard;24831859
zpMP4mkAAAAJ;Anzar A. Khuroo;25595194,mounresedeve.31.4.380
aUmSzdMAAAAJ;Rachel T. Noble;40061820
xedYbeEAAAAJ;Joseph  Lachance;25150827
yIfnJeQAAAAJ;Thomas  Koellner;3683424
vy7TzMoAAAAJ;Anna M. Hersperger;3683424,24015749,3547978
iLJ2jTwAAAAJ;Farid  El-Daoushy;20112890
hCOutxAAAAAJ;István  Scheuring;29782998,3235975,3547849,40235074
UFUT2zwAAAAJ;Shmuel  Moran;25027443
Kg7IbYMAAAAJ;Monica L. Smith;4257059
pszot3gAAAAJ;Guillermo Guzmán G.;20105489
5VNx4fAAAAAJ;Ashwini  Chhatre;10.2307/2641286,3591243
BgBmEXgAAAAJ;Susana  Rodríguez-Echeverría;24552027
tdEwiPgAAAAJ;Joice  Ndlovu;41242828
LPgEa6UAAAAJ;Tyler  Smith;43440919
zxDG_bcAAAAJ;Ulf  Riebesell;24855703,24857024,24837818
dZUIzNUAAAAJ;Daniel D. Heath;10.2307/2640906,4095214,41413435,24875317
IdDJsmkAAAAJ;Robert  Park;23790007
AZoQ20oAAAAJ;Ramakrishna  Nemani;3236277
UDfwrOkAAAAJ;Robert O. Hall;3658896
a577plIAAAAJ;William J. Price;10.1086/677900,4092831,40212995
Jz_uVjYAAAAJ;Suzanne J. Milton;10.2307/3868012,10.2307/1938267,10.2307/1939301,10.2307/1941694,3237001,4096764,10.2307/2404424,10.2307/2405265,10.2307/2404423,40835704,10.2307/2403858,10.2307/2261480,10.2307/3546695,4219692,20146642,20050982,4220068
XMeZ3D8AAAAJ;Xavier  Morin;40305920
4SMgJNQAAAAJ;Dirk Johannes Mikolajewski;4095252,20445895
1PX4qMMAAAAJ;Oleg  Antonić;23786284,23787219
0zQdH0oAAAAJ;Viral B. Shah;27650817
n4tD9-kAAAAJ;Brian F. Snyder;4627060
f7ZsCY4AAAAJ;Claire  Mérot;24032690
KVL_a1kAAAAJ;Alex  Best;27784010,24033722,24033871
PtCU8cgAAAAJ;Andy  White;27784010,24033722,24033871
4KKw7HsAAAAJ;Tomas  Hrbek;4098598,10.2307/2640823
2hdYgkoAAAAJ;Philip D. Sudman;10.2307/1446497,10.2307/1446496,30224507,10.2307/1382555,10.2307/1381589,1383344,4094592
MXwCJG4AAAAJ;Ying-Hen  Hsieh;43461007,10.2307/1937249
lLze8eYAAAAJ;Craig C. Moritz;10.2307/2409578
g7bbFSIAAAAJ;Esperança  Gacia;24864931
VQSAz6gAAAAJ;Johanna M. Kraus;3094720,40792660,40835466,40310039,41686363
x6LwPM8AAAAJ;Kenneth D. Angielczyk;27920060,20491003,1307122,20144219,20627127,4096847,4500142,4096822
-1MmkZQAAAAJ;Jørgen  Olesen;20105387,41315760
dCz6IL0AAAAJ;Laura E. McMullen;41723009
3Ql3dlcAAAAJ;Kenneth  Wilson;3505550,27696383,10.2307/5491,40213159
sz797bMAAAAJ;Walter J. Tabachnick;10.2307/2407619,10.2307/1442925
k5eSSA8AAAAJ;Margaret F. Docker;1448013
w1RsYbcAAAAJ;Andrew G. Gluesenkamp;25140722,10.2307/1566040,4497951
gllvOOwAAAAJ;Michael Gillings;4493553
fCBjxTcAAAAJ;Ryan A. Hill;10.1899/12-009.1,10.1899/12-186.1,40792638
E_lj-XcAAAAJ;Adam  Berland;41507774
zw-DFDgAAAAJ;Steven M. Manson;41507774
eWgp4KIAAAAJ;Matthew E. McKenzie;24321172,24321205
6dVVAwsAAAAJ;Raphaël  Proulx;20488382
_Xd4RcwAAAAJ;Thomas C. Stieglitz;41417130
Wb2YqL0AAAAJ;Michael P. Strager;10.1899/13-003.1,10.1086/681970,41319679,09-149
sq5VUXwAAAAJ;Paul F. Ziemkiewicz;10.1899/13-003.1,10.1086/681970,09-149
wp0mWsIAAAAJ;Michael A. Wall;41301500,40983157,25010428,41495812,41495803,41425351
SyTEabUAAAAJ;Cristiano  Villa;43494497
9AIIt6oAAAAJ;Anthony R. Clarke;3877742,3068633,30137872,10.2307/2405238,4091982
M3-hNhMAAAAJ;R. Keller Kopf;41261860
Cp9ZrHcAAAAJ;Mathieu  Jonard;20069232
wLKzCooAAAAJ;Quentin  Ponette;20069232,43491865
ynvf9qgAAAAJ;Guillaume  Martin;40793100,40963472
D79yInsAAAAJ;Antonio  Pusceddu;40062039,25153284,25153248,24872967
X8B8DEEAAAAJ;Kenneth  Broad;20183476,20144062
cj5W42cAAAAJ;James N. Sanchirico;20183476,20144062
g0cYXr0AAAAJ;Emily J. Southall;3505479,24871047
U4i7qWQAAAAJ;Tim  Seipel;25595221
Y_Dt1REAAAAJ;Bruce H. Robison;25512162,10.2307/1442916,29738819,10.2307/1443196,10.2307/1445198,1351284
_3iQ_lEAAAAJ;Simon  Blanford;41480669
RBeS9HwAAAAJ;Andrew M Stoehr;41480669
QtUb3ocAAAAJ;Laurent  Vigliola;27651225
9YRFWM4AAAAJ;Marc  Trudel;10.2307/3060906
mIM4qxUAAAAJ;Takeshi  Nakagawa;40390392
n1LLeswAAAAJ;Alastair  Grant;41333058,20062218,24816813,10.2307/3544813,24857288
dVx1qtUAAAAJ;D. Christopher Rogers;27743202,4126705,4094155,4094137,1549720,41315764
Z_L4c9QAAAAJ;Paul M. Dolman;29738742,10.2307/5943,10.2307/2404509,4222530,40210841,4220988
nRkcnhMAAAAJ;Adam S. Wymore;10.1086/682000,10.1899/12-122.1,10.1086/683481
AXJLo-cAAAAJ;Menna  Jones;10.2307/2680223,10.2307/2265915,10.2307/2845183,4539201
6ADa3m0AAAAJ;Steven Y. Litvin;25741362,25736615
