-gWAPWEAAAAJ;William E. Stutz;40793181
CGyHWs8AAAAJ;Mabel A. Lizarazu;41825705,23230215
OuZJjGgAAAAJ;Thomas O Crist;41149744
LwlFtFsAAAAJ;Nathan Briggs;4543350
Dq1jEr4AAAAJ;Birgit  Erni;4539985,30243823,3548166
CNqtiAEAAAAJ;Marta  Wolff;23641273
0Ie84r4AAAAJ;Jens  Persson;3589078,4094566,23259910,23259959
IHEK_j0AAAAJ;Guillaume  Chapron;20144144,3838460
YeXV0t4AAAAJ;Christine L. Dolph;10.1086/680984,20787440
ydEaYTEAAAAJ;Leonard C. Ferrington Jr;10.1086/680984
-CKM9vwAAAAJ;Jeffrey  Levinton;10.2307/2410674,1303099,4094835
eovVUhcAAAAJ;Hans-Peter  Weikard;3696890
UWNYqPYAAAAJ;Maarten  Punt;3696890
3gWnAYsAAAAJ;Justus  Wesseler;3696890
xM531S0AAAAJ;Peter  Timms;2641422,20096420
_JA-t28AAAAJ;Takahiro  Irie;24873419
0LOiKV8AAAAJ;Kenneth  De Baets;41503482
wqPeyUgAAAAJ;Christian  Klug;41503482
VWYdfh8AAAAJ;Dieter  Korn;41503482,4094984,1306229,1306986,4096930
7LdKMpwAAAAJ;Göran  Wallin;20113157,24034381
S5HWncYAAAAJ;Bryan N. Shuman;23028852
d4zAMZYAAAAJ;Leire Urkidi Azkarraga;20743743
Lj1DbYgAAAAJ;Khaled  Masmoudi;23789291
MxJE-7IAAAAJ;Ahmed  Rebai;23789291
DaGIDz8AAAAJ;Jakob  Brodersen;40235452
0GVqKrcAAAAJ;Massimiliano  Scalici;20107950,40665265
_51oFcQAAAAJ;Thomas  Chesnes;24321784
BttvsjkAAAAJ;Jason A. Addison;27743478,3701474
zK8BmuUAAAAJ;David J. Nowak;43677538
23HGSTcAAAAJ;Pierre Y. Bernier;40062062,42951592
-EMFtIQAAAAJ;Takahiro  Asami;41432810,10.2307/3565705
ARS5kuMAAAAJ;Scott W. Emmons;10.2307/2409629
XwfzBI4AAAAJ;Jack da Silva;27784080
2s7NfswAAAAJ;Grant D. Hall;4256253
X6hRkZUAAAAJ;Kirsten Borse Haraldsen;4201403
8Hmz_P4AAAAJ;Aimée T. Classen;24125650,24370276,40309705,41499988,42951783
dE5wOlgAAAAJ;David R Bellwood;43187620
awpO5QkAAAAJ;R. Edward DeWalt;10-010,10-021,09-121R,10.2307/3565660
uGuYY_gAAAAJ;Jose A. Marengo;4493626
cTUh8uEAAAAJ;David W. Valentine;3658720,24129155
h37yy6QAAAAJ;Adriana  Puentes;30243237,23260135
8aRLjTsAAAAJ;Francois  Rousset;10.2307/2410454,2680388
m3Q4muoAAAAJ;Edgar  Benavides;23463826
n_6ZnroAAAAJ;Enrico L. Rezende;3449231,41319578,41319612,1383659,40235245
DqIXZuIAAAAJ;Pavel  Kratina;27651321,41503484,23213771,40835562,40309839
EfqkGHAAAAAJ;Matthijs  Vos;27651321,27651393,3450437,40309839,40235415,40235667,3548283,3547922
lB8q3BEAAAAJ;Anna E. Richards;25680376,41507781
UJ8XXfcAAAAJ;Lindsay B. Hutley;4091951,3236538,24124482,41434020,4223778
ZGNChIgAAAAJ;Rafael O. Wüest;24032768
0JdcONQAAAAJ;Urban  Friberg;3449176
tb_RYGMAAAAJ;Thierry  Duchesne;3450894,40605425
1fVTQUYAAAAJ;Claude  Loverdo;23463902
gwXMZ8kAAAAJ;Andreas C. Bryhn;27823747
UlH98RQAAAAJ;Gislene  Ganade;10.2307/3071878,4092039,10.2307/5880,3072209,3072124,20146952
yfyomIIAAAAJ;Josh  Korman;3658962
ytMu-ZUAAAAJ;David  Gadoury;10.2307/177442,10.2307/3761794
Ow0XjtMAAAAJ;Pablo J. Donoso;23328064
4mxAaBkAAAAJ;Pablo J. Donoso;23328064
ECZxAf4AAAAJ;Nusha  Keyghobadi;10.2307/177313
OkyoE8kAAAAJ;Daniel J. Mayor;41239286
7uwY4MgAAAAJ;Josep  Penuelas;10.2307/177407
6mBgzU8AAAAJ;Marcel  Cardillo;3061499,3451017,3182715,27743560
Ge7dzvQAAAAJ;Pedro Sánchez Gómez;23264774
zak-Y_8AAAAJ;Michael P. Perring;23596828,25622870
tcWJKJoAAAAJ;Dirk J. Roux;4539927
Sg4abtAAAAAJ;Reynaldo  Linares-Palomino;40305624
vw6U7dQAAAAJ;Emily S. Minor;40062073,23021623,25592690,24432299
3CsGyv0AAAAJ;David A. Ebert;41261894,10.2307/1444898,40863263,3536475,30135133
