5rv2E70AAAAJ;Frank  Köhler;3449472
B04iO5MAAAAJ;Todd  BenDor;40346314
mLNdgdQAAAAJ;Joel  Sholtes;40346314
dFIQl3cAAAAJ;M. Badruzzaman Siddiqui;4255192
SM3nQwYAAAAJ;Cris L. Luengo Hendriks;27920030
xOHZqSAAAAAJ;Daniel J. Kvitek;24033924
6gJ7iHEAAAAJ;Juliette  Martin;24033924
zorKm2EAAAAJ;Gavin  Sherlock;24033924
3PA3j6kAAAAJ;Rafał  Zwolak;25661154,23362480
HCYGgbYAAAAJ;Luisa E. Delgado;10.2307/3061024
YDqfmQoAAAAJ;Juan  Keymer;20069174
MuLyNH0AAAAJ;Alan A. Ager;41739313,3506066,1383869
-IgICvcAAAAJ;Gordana  Šimić;23787100
O4aAMZ8AAAAJ;Lisiane  Hahn;1448246
B12g6NgAAAAJ;Suzanne  Strait;41239364
0UJu_pcAAAAJ;Erik  Beever;2641450,3784615
JKwOFEwAAAAJ;Jennifer Hoyal Cuthill;23463853
FvBjq6oAAAAJ;Scott  Powell;20142886,41059065
aERueeQAAAAJ;Xavier  Pons;10.2307/3072060
RWEXPnsAAAAJ;John D. Stark;24432189
pQMlPWAAAAAJ;Roger I. Vargas;24432189
0MpSkjMAAAAJ;Eva JP Lievens;24033774
8aCng7oAAAAJ;Alexei A Maklakov;24033774
Y-nqSYgAAAAJ;Jianping  Wu;41489235
js25WtIAAAAJ;Yuxin  Sun;41239372
nJdpAVwAAAAJ;Maria Beatrice Scipione;20104819
MXn9ep8AAAAJ;Christina C. Hicks;40062271,24015744
L_aioUkAAAAJ;Susannah S. French;23017044,40306090,23016313
3wH_Yp8AAAAJ;B. Holly Smith;10.2307/2409073,1304020
-kyNjiQAAAAJ;Prosanta Chakrabarty;4098542
hd2lj1kAAAAJ;Daniel  Pincheira-Donoso;25140781
O5rHe1wAAAAJ;Giuseppe  Puorto;10.2307/1446315,10.2307/1564545,10.2307/1565623,3892994,10.2307/1565599
FPgTnGsAAAAJ;Geovana  Carreño-Rocabado;41239282
9ck_pswAAAAJ;Eugenio  Larios;43495235
2R4GihMAAAAJ;Thomas J. Farrugia;4620959
5eIikmUAAAAJ;Federico  Roda;24032709
NR7lzJcAAAAJ;Maddie E. James;24032709
VYEu_wkAAAAJ;Peter  Prentis;24032709
E17BY8AAAAAJ;Katherine C. Teeter;27784019
d3f-O0sAAAAJ;Rachael  Carrie;10.1086/681541
cuun1dUAAAAJ;Matthew D. Holland;43187597
E9UHqz0AAAAJ;Hans J. De Boeck;30244583,23028857,40234802
PhwMU1MAAAAJ;P.K.  Gupta;23783738
pY3duWMAAAAJ;Matthew A. Charette;24320747,41509945
y2VBQScAAAAJ;Adriano Mazziotta;4539993
