GuYsUfoAAAAJ;Diego F. Figueroa;20487709
cEmehaQAAAAJ;Robert B. MacCurdy;41434316
TdRmbrsAAAAJ;Prasad  Senadheera;24038013
DrETItUAAAAJ;Diego  Lijavetzky;24039457
E5mkiNkAAAAJ;Matthias  Erb;41435508,40065895
yO2rJj4AAAAJ;Shunqi  Pan;43752610,43752456,43752546
WVjwU64AAAAJ;Rozane Valente Marins;43215735
q553DEAAAAAJ;Cristiano Dal Sasso;4524514,4524795
_3W7DW8AAAAJ;Eric  Buffetaut;4524514,4524653,4522836,4523461,1304051
uQc0HbcAAAAJ;Luigi  Bonizzi;20095916
2Z3XBh8AAAAJ;Simon  Smart;40929056
yHn7PRoAAAAJ;Hanno  Schaefer;20870185,27743582
erUWqeAAAAAJ;Mónica  Moura;20870185
e3vqGNkAAAAJ;Zhong-Qiang  Chen;1307137,4094756,4095062
MENwdskAAAAJ;Gustavo  Bonaventure;24038020,24039508,24039039,4280284,4356489,41694811
GQc6wQsu-BkC;Denis J. Murphy;29736154,4266463,4265653,4266462,23385766,4271950,4273119,4275752,4279254,23382294
Fbg6sPAAAAAJ;Amy C. Henrici;1306118,4523902,1307005,4095108
L0jkDKwAAAAJ;Anthony R. Fiorillo;1306118,4523546,20491077,4523350,4095071,4524148,20627171,10.2307/3515510,27670512,2401098
lLGVeokAAAAJ;Paul K. Strother;20144255,1306131,3687511,3687704,3687397
l3oU-EcAAAAJ;Areti  Kontogianni;24707524
ePYfHsYAAAAJ;Michalis  Skourtos;24707524
rcPOBHEAAAAJ;Michalis  Skourtos;24707524
tmv6EMwAAAAJ;Jacqui  Stol;3237083
MK1Y4nQAAAAJ;Helge  Skoglund;41059067
9hs1ACMAAAAJ;Grethe  Robertsen;41059067,41499788
cAU9bN8AAAAJ;D.J.  Huntley;23779634
tJbvaqMAAAAJ;Livio  Trainotti;23696706,24037766,23694300,24036695,24036938
4VQkEXgAAAAJ;Koji  Yamada;4295801,4295465,4294913,4295901,4295625,4294257,40205885,4295235,4295211,20171399,4296253,4296326,4295489
pUGcP_MAAAAJ;Brian  Steele;24575400
gN13d2kAAAAJ;Alexander J. Smart;23780096
SjUE8nQAAAAJ;Ian J. Walker;43752563,4300394
UhkDmkcAAAAJ;John H. Costello;40206199,24872949,24857119,24870725,24872948
ji0VOx4AAAAJ;Sean P. Colin;40206199,24872949,24870725,24872948
7vAW7G4AAAAJ;John O. Dabiri;40206199,40793142
D1JjNMcAAAAJ;Thomas  Webler;24707180,24707126,24707114,24707226
J25IeKkAAAAJ;Orangel  Aguilera;4094948,1307055,4094781
PLSJH7AAAAAJ;Kiyotsugu  Yoda;23697570,24030900
YmR_eOMAAAAJ;Hitoshi  Suzuki;1383549,10.2307/1383297
noGXJMYAAAAJ;André  Van Laere;23695547,24035873,24037469,23386131,40234925,23385912,23384360
gI_tP44AAAAJ;Lee  Weigt;10-012R
ebyt51YAAAAJ;Nancy D. Moncrief;23321935,10.2307/1382842,10.2307/1382275,40925718,43287134
5owrh1QAAAAJ;Marisol  Aguilera;1383731,1384017
XXXsAHQAAAAJ;Kenneth B. Adler;4294065
7Q4bSYkAAAAJ;Arne A.  Anderberg;3691637
8_XqI0MAAAAJ;A. Ganapathi;4293634,4293392,4293936
ovjNnkkAAAAJ;Anneke  Moresco;20096071,41262581,27751688
RYoCbCsAAAAJ;Bruce Walker Nelson;25790828
ithMENkAAAAJ;Syd  Ramdhani;20488319
wZnv4I8AAAAJ;R.  Lokesha;43581771,10.2307/3545455
OyEbEDYAAAAJ;R.  Vasudeva;43581771,23616536
e3BXTVYAAAAJ;Valentina  La Morgia;20144040
_zgvvyUAAAAJ;Francesca  Bona;20144040
0fi0JQ8AAAAJ;Jennifer  Botha;30126315,4524751,4524150
7Fd8oe0AAAAJ;Timothy  Gaudin;30126315
XBR6QS8AAAAJ;Heikki  Seppä;41059088,20143462,20528893
5HuEMiwAAAAJ;Fabrice  Lihoreau;20491082,20627172
