CnE8YNEAAAAJ;Witness  Mojeremane;25652621
o7W8PjMAAAAJ;David J. Green;4536460,4536142,4601838,25063355,27650674,25161504,3677593,3677526,23011120,10.1086/676937
lOKVwmgAAAAJ;Marcin  Piątek;23726812,23727978,23727640,20444991,24637454
IV20aPMAAAAJ;Pedro  Jiménez-Mejías;23064836
8kKefDEAAAAJ;Anders Bignert;4315175,4314007,4315270,4314009
36I9kr4AAAAJ;Åsa  Lankinen;43576176,20143518,4223035,3547093,3547683
qUgWZVwAAAAJ;Yuri  Shur;20181718
5j5Hbs0AAAAJ;David N. Collins;10.2307/1550419
qTY5XXMAAAAJ;Mahmoud M. Naguib;23322211
w8lSX_4AAAAJ;Susanne  Shultz;27822152,4602209,4627092,3505796
GglcIVYAAAAJ;Michael J. Sanderson;4122754,41149433,4124091,2445441,3558458,41922349,3069256,4123858,10.2307/2399880,4098952,10.2307/2409392,10.2307/2409669,3449072,10.2307/2410132,23328294,2680421,27920055,4095395,3080158,41424712
_nkjvmoAAAAJ;Nesar  Ahmed;40730879
2X2HiwYAAAAJ;Bernd  Riedstra;40863206,3677537
mwfhqGUAAAAJ;Ana C. Silva;41510608
A8B-KJIAAAAJ;Edward P. Glenn;4314131,2446548,4123147,3591207,2387153,42952747
QazjiY4AAAAJ;Carla L. Atkinson;bullecosociamer.93.4.402,23436156,10.1086/681095,24432153,40792652,40792494
ZGoLxF8AAAAJ;Cayelan C. Carey;bullecosociamer.93.4.402
CUIaDlEAAAAJ;Peter B. McIntyre;23597369,10.1086/676315,43494471,27759785,4222774,20445879,40005756
dSAMFFQAAAAJ;Caryn C. Vaughn;24708990,3682773,2641705,10.2307/1467159,27651040,20491221,20491154,40792644,4095725,10.2307/1467246,41413956,10.2307/3545204
KvKIc7YAAAAJ;Marko J. Spasojevic;41416454,25680406,41500621
iirvcUAAAAAJ;Matthew A. Gitzendanner;2656886,41149433,27733267,10.1086/675571,IJPS40927,10.1086/676675,23643389
-QkgKFcAAAAJ;ZHAOLONG  WANG;42759158
2u_JfawAAAAJ; Martin Gullström ;4315401,4315313
rEJuWIcAAAAJ;Leif Pihl;4315401
CXjSVdYAAAAJ;Laurence  Affre;2446019,43576688,43578152,10.2307/2265502,23064930,24130371,23209349
pX471uAAAAAJ;Guy  Theraulaz;4534923,4534857,25063371,23736910,25063580,40295464
FY-d98AAAAAJ;Jonas  Waldenström;23322264,4315629,41417286,3449387,4125100,40309747
46qLGfUAAAAJ;Björn  Olsen;23322264,4315629,10.2307/1521661
QL0vQ70AAAAJ;Andreas  Tribsch;4122757,20870130,3554843,25164134
LNSfTXMAAAAJ;Peter  Schönswetter;4122757,20870188,20870130,3838504
2QRnvMgAAAAJ;Caitlin C. Wessel;bullecosociamer.91.4.438
v78F5oYAAAAJ;James O. Luken;bullecosociamer.91.4.438,42954522,10.2307/2996690,10.2307/2996083,4034111,41819462,10.1086/674173,4033923,41761513,4218996
iz2b8N8AAAAJ;Kerry  Shaw;10.2307/2399621
vZTtY10AAAAJ;Eric  Routman;10.2307/2399621,4535208,10.2307/1447139,10.2307/2410509
RsgRFwoAAAAJ;José Luiz Catão-Dias;40983069,27670703
uiYUzlMAAAAJ;Jan Mulder;4314604,4314945,4314610
