mffdN7oAAAAJ;John L.  Bowman;4124879
Pfla8cAAAAAJ;Andreas  Börner;24038463,41942709
VMPyN-IAAAAJ;Rebecca C. Fry;25010231
NYI5GP8AAAAJ;Rebecca R. Helm;25654280
CMDU9NsAAAAJ;Khalid  Mahmood;10.2307/3503443
T7zJ3-EAAAAJ;Arthur A. Spector;4292439,4292874
tTV6YEoAAAAJ;Scott M. Fitzpatrick;40343942
d2TUwNsAAAAJ;Kathleen Sullivan Sealey;40343942,43432915,24855848
Sk58Yz8AAAAJ;Michelle J. LeFebvre;40343942
r8qbxPgAAAAJ;Rebecca  McCaffery;43287323
kJo5DvoAAAAJ;Louis  Scott;2846197
ie0eT6IAAAAJ;Friedhelm Schwenker;4122945
PpLL8mAAAAAJ;Christian L. Cox;23254559
j7byfSIAAAAJ;James T. Liu;4298712,43385542,43290008,4299020,40928848
cU0rQUkAAAAJ;Andrzej Slominski;4296738,4295157,4296926
joJcopEAAAAJ;Gabriella Guida;4294785
v0Kn3JgAAAAJ;Gabriella Guida;4294785
A5MtpMAAAAAJ;Katherine A. Allen;41318976
nGj4p9YAAAAJ;Sibum  Sung;24036024,20779845
IIpWci4AAAAJ;Yangmin X. Kim;24036900,newphytologist.199.4.1034
i0PtIXMAAAAJ;Jeremy  Phillipson;27695946
ZWDL1ukAAAAJ;Mario  de Vivo;3554749
HgnQLDwAAAAJ;Ana Paula Carmignotto;3554749
Ag-xWXAAAAAJ;Bernhard  Riegl;40065154,24857318
WVFILe8AAAAJ;Henrik  Aronsson;24036605,40066201
_Lw7c-QAAAAJ;Katalin  Solymosi;24036605,25680887,43564733
tujDTG4AAAAJ;Turhan  Kahraman;43229328
_CZQQZgAAAAJ;Faysal  Bibi;20490966,20627064
81ifaWMAAAAJ;Nele  Horemans;40793222,24036916
kWbssy8AAAAJ;Taras  Pasternak;40793222,24031283
B2ZX3qQAAAAJ;Giuseppe  Valacchi;20869528
E85W558AAAAJ;Giuseppe  Valacchi;20869528
9EtVi2wAAAAJ;Iñigo J. Losada;30138411
0JANNNoAAAAJ;Healy  Hamilton;24869000
gAvqmtUAAAAJ;Jon  Rebman;41972167
-PRUYXoAAAAJ;Zoltán  Kenyeres;4122954
4IsYLJEAAAAJ;Hans J. Vogel;4293146,4293176,4272061,4272015
ZNjnR4AAAAAJ;Peter E. Brodelius;4293146,4271520,23259761,4271521
RCp310YAAAAJ;Jeremy E. Martin;30126305
oELwuy8AAAAJ;Louis-Felix Bersier;10.2307/5927
2GntAQEAAAAJ;George Sugihara;10.2307/5927
5FoleyEAAAAJ;Kaitlin J. Palla;23016745
L5HWvdIAAAAJ;Louis  Legendre;10.2307/2259648,10.2307/2258923,24825520,24856125,41499839,24831570,24816997,24833805,24817628,24857325,24865391,24831630,24827246
R_f2WkkAAAAJ;Jak R. McCarroll;43289804
QT4DzNAAAAAJ;Barbara  Brighton;43289804
uMz0bJIAAAAJ;Danielle  Drozdzewski;43289804
wFOXdoQAAAAJ;AV  Santhoshkumar;23723901
UYblBX8AAAAJ;EV  Anoop;23723901
aj5D-vMAAAAJ;Jorge A. Piedrahita;4294547
pDlxp8oAAAAJ;Shirley A. Pomponi;41408876,20869567,4295055
uwpatcMAAAAJ;Pamela A. Moon;42568810
YJc4VMMAAAAJ;Lorenzo  Frigerio;23696035,24036639,23598523,4356814,4279382,40065779,4279875
gqd7-vQAAAAJ;Sara  Bergonzi;24039792
t9HO95oAAAAJ;Philippe  Maron;30134235
aqAc3pMAAAAJ;Atsuko  Kanazawa;24030855
AMm6y9IAAAAJ;Wouter  Buytaert;41058217,90013240
b7VwTgoAAAAJ;Roger L. Boyd;4513056
2uYkSdAAAAAJ;J. Gordon  Burleigh;4122583
3dKj7PIAAAAJ;Florence D. Hulot;3547369
Pb4Z-0wAAAAJ;David A.T. Harper;ijes.2017.35.1
5lqI9ZEAAAAJ;Jody D.  Haddow;3691651
X1Z98P8AAAAJ;Patrick  von Aderkas;3691651
pAHgD24AAAAJ;Björn  Kröger;29739071,20627655
bOENYKwAAAAJ;Wensheng  Jiang;43843023
7K3gLT4AAAAJ;Sandy  Wyllie-Echeverria;40065099
n01-QyEAAAAJ;D. Phil Turnipseed;25737453
1ardG0kAAAAJ;Massimo  Tagliavini;24370672,24122598,24130918,42949652,24121191,42949405,42947636
nH5U-dEAAAAJ;Nan  Ma;24037567,24036263,23598702
xtaoaYcAAAAJ;Junping  Gao;24037567,24036263,41812047,23598702,42568941
opoyYVwAAAAJ;Bharath  Sundaram;23353263
39yuwbEAAAAJ;Siddhartha  Krishnan;23353263
CeGSihIAAAAJ;Xiangjun  Zhou;24038571,25758690
IHFOCscAAAAJ;Peter  Cooke;24038571
HWc_1TUAAAAJ;Daniel P. Dugas;1305968
a0NY3tMAAAAJ;Rajiv  Nigam;4299479
an4-AIAAAAAJ;Rajani Panchang;4299479
Loo5Tm0AAAAJ;Martín O. Pereyra;41515010
TtA6yvMAAAAJ;Flavia  Netto;41515010
Ps70KQsAAAAJ;Wataru  Doi;41315747,20487786
7UGqlDkAAAAJ;Winda Mercedes Mingkid;41315747
9deYBv4AAAAJ;Leigh  Owens;40205920
EzveF50AAAAJ;Chris  Denning;40663817
Xr288MQAAAAJ;Xianli  Wang;40305936,40835691
lANkj0UAAAAJ;Carrie J. Byron;20487714,24873915
y-hgKIsAAAAJ;Michael L.  Moody;3691831
AR0fjPIAAAAJ;Regina K. Rowe;4295571
OrGVlyoAAAAJ;Andrew  Pekosz;4295571
StshMwEAAAAJ;Alex  Asase;41971452
HgdTjKQAAAAJ;Jeffrey Adelberg;4293731
cfeZORMAAAAJ;Abolfazl  Hajihassani;43229251
M1RbC2IAAAAJ;Zahra Tanha Maafi;43229251
fbExUqMAAAAJ;Sylvain  Pellerin;23695864,24370296,24060804,24130776,42947717,42951584,24129939,42952723,42951816,42946643
xrKrnPUAAAAJ;Sangdao  Wongsai;29783278
TwnxPU4AAAAJ;Alessandro  Palci;30117455,20627157
MdVD40EAAAAJ;Giovanni R. Vianna;25623008,23389417
N1x2UkQAAAAJ;Diana  Fernandez;25623008
zSy5ONsAAAAJ;Giancarlo  Polizzi;43229197,42952589
yap3IdMAAAAJ;Sung Joon Song;1549686
xiY7Wj0AAAAJ;James A. Wilson;27755067,25145087,25145048,4094423,24575297
a3THyK4AAAAJ;Sarah J. Spencer;40306089
qlQSTT8AAAAJ;Abdeslam  Mouihate;40306089
y52P-4gAAAAJ;John R. Coleman;3080020,4270852,4275891,4273384,23385225,40066056,4268936,4274702,4276029,4273373,4266268,4274748,4267184
qlSfVdAAAAAJ;Rita  Marullo;25010264,25010355,25010041
R7SPh8AAAAAJ;Frank H. McCormick;1468102
trOlRxkAAAAJ;Marcio  Alves-Ferreira;24039508
rVd_KZsAAAAJ;Fouad  Akad;24036572
-flEcMoAAAAJ;Vratislav  Peška;24040214
r4C3UMQAAAAJ;David J. Hughes;10.2307/3226999,24865398
a5_Ga0cAAAAJ;David  Bermudes;2559220,10.2307/3759900,10.2307/3760392,10.2307/3760252
5Ps8W1kAAAAJ;Adrian D. Hegeman;41058860,20205691
PlAm6wUAAAAJ;Ramon J. Batalla;09-096R
YhzUJpMAAAAJ;John D. Hayes;40931197
1xeY0S8AAAAJ;William E. Browne;4540223
