10.2307/1216548|Animals|C0003062|1825|CT|Mustelidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Mustelidae)||MM;RC
10.2307/1216548|*Health Services|C0018747|420|MH|RtM via: Test Method|TI|MM|388^6^0;164^6^0
10.2307/1216548|*Research Design|C0035171|396|MH|RtM via: Test Method|TI|MM|388^6^0;164^6^0
10.2307/1216548|*Mustelidae|C0325034|342|MH|RtM via: Martes pennanti|TI|MM|183^6^0
10.2307/1216360|Animals|C0003062|31498|CT|Mite;CT Treecode Lookup: B01.050.500.131 (Mite);Insect;CT Treecode Lookup: B01.050.500.131 (Insect)|TI|MM
10.2307/1216360|4-dichlorobenzene|C0048243|16896|NM|RtM via: 4-dichlorobenzene;Forced SCR Leaf Node Lookup:p-dichlorobenzene|TI|MM|109^17^0
10.2307/1216360|Saran|C0074048|13425|NM|RtM via: Saran;Forced SCR Leaf Node Lookup:saran|TI|MM|191^5^0
10.2307/1216360|*Mite|C0026231|11959|ET|Entry Term Replacement for "Mites";RtM via: Mites;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mite|TI|MM|158^4^0
10.2307/1216360|*Chlorobenzenes|C0008230|16895|HM|RtM via: 4-dichlorobenzene|TI|MM|109^17^0
10.2307/1216360|*Polyvinyls|C0032629|13424|HM|RtM via: Saran|TI|MM|191^5^0
10.2307/1216360|*Pesticides|C0031253|6042|MH|RtM via: Pesticides|TI|MM|330^10^0
10.2307/1216360|*Insect|C0021585|5355|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|150^6^0
10.2307/1216360|*Pest Control|C0031249|30498|MH|RtM via: Pest Control;Forced Non-Leaf Node Lookup:pest control|TI|MM|598^12^0
10.2307/1217782|Male|C0086582|23222|CT|CT Text Lookup: him|TI|MM;RC|879^3^0
10.2307/1217782|United States|C0041703|23222|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|932^8^0;158^8^0;1137^8^0;1292^8^0
10.2307/1217782|*Atropa belladonna|C0004953|22222|MH|RtM via: Belladonna (plant);Forced Leaf Node Lookup:belladonnas;checkForceMH Boosted|TI|MM;RC|941^10^0;167^10^0;716^10^0;130^10^0;386^10^0;811^10^0;1146^10^0;1301^10^0;1342^10^0;1496^10^0
10.2307/1217782|*Gardens|C4019428|17468|MH|RtM via: Gardens;Forced Leaf Node Lookup:gardens|TI|MM|1037^6^0
10.2307/1217782|*Name|C0027365|12909|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name;RtM via: First Name|TI|MM|1071^4^0;255^4^0;114^4^0;1594^5^1;1606^4^1
10.2307/1217782|*Amaryllidaceae|C0446223|8064|MH|RtM via: Amaryllis;RtM via: Amaryllis belladonna;RtM via: Brunsvigia|TI|MM;RC|1910^9^0;1393^9^0;1486^20^0;120^20^0;1354^10^0
10.2307/1217782|*Gardening|C0868963|6681|MH|RtM via: Gardening|TI|MM|1037^6^0
10.2307/1217782|*Language|C0023008|2574|MH|RtM via: Sentence|TI|MM|1681^8^0
10.2307/1217782|England|C0014282|9|MH|RtM via: England|TI|MM|1260^7^0
10.2307/1217782|France|C0016674|6|MH|RtM via: France|TI|MM|1272^6^0
10.2307/1216643|Male|C0086582|15958|CT|CT Text Lookup: he|TI|MM;RC|991^2^0
10.2307/1216643|Humans|C0086418|15958|CT|Asian;CT Treecode Lookup: M01.686 (Asian)||MM
10.2307/1216643|United States|C0041703|15958|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|2001^8^0
10.2307/1216643|*Oxalis corniculata|C0330906|11458|ET|Entry Term Replacement for "Oxalidaceae";RtM via: Oxalis corniculata;RtM via: Oxalis stricta;RtM via: Oxalis dillenii;checkForceMH Boosted|TI|MM;RC|1381^18^0;1405^6^0;48^6^0;1971^14^0;1785^15^0;1683^14^0;1648^14^0;1934^15^0
10.2307/1216643|*Asian|C0078988|11283|ET|Entry Term Replacement for "Asian Continental Ancestry Group";RtM via: Asians|TI|MM|1677^5^0
10.2307/1216643|North America|C0028405|6627|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM;RC|1880^13^0;1593^13^0
10.2307/1216643|*Names|C0027365|5463|MH|RtM via: Name;RtM via: Person Name|TI|MM|1928^4^0;1642^4^0;1375^4^0;1247^5^0;112^5^0
10.2307/1216643|Europe|C0015176|4122|MH|RtM via: Europe;Forced Non-Leaf Node Lookup:europe|TI|MM;RC|1911^6^0;1625^6^0
10.2307/1217317|*Xylariales|C0037878|8220|MH|RtM via: Xylariales;RtM via: Eutypa;Forced Leaf Node Lookup:sphaeriales;checkForceMH Boosted|TI|MM|611^11^0;580^6^0
10.2307/1217317|*Basidiomycota|C0004810|18558|MH|RtM via: Hydnaceae;RtM via: Xylodon;RtM via: Grandinia;RtM via: Odontia;RtM via: Hydnum|TI|MM;RC|65^9^0;378^7^0;242^7^0;149^9^0;435^7^0;209^7^0;164^6^0
10.2307/1217317|*Agaricales|C0001774|9465|MH|RtM via: Puffball|TI|MM;RC|525^10^0
10.2307/1217317|*Polyporales|C0600456|2319|MH|RtM via: Irpex|TI|MM|182^5^0
10.2307/1217317|*Color|C0009393|153|MH|RtM via: Gray color|TI|MM|449^4^0;403^4^0;267^4^0;223^4^0
10.2307/1216647|Switzerland|C0039021|307|MH|Forced Leaf Node Lookup:swiss|TI|MM|469^5^0
10.2307/1216647|*Book|C0006002|2610|ET|Entry Term Replacement for "Books";RtM via: Books;Forced Non-Leaf Node Lookup:book|TI|MM|515^4^0
10.2307/1216647|*Publications|C0034036|2343|MH|RtM via: Scientific Publication|TI|MM|531^9^0
10.2307/1216647|*Names|C0027365|1323|MH|RtM via: Name;RtM via: Person Name|TI|MM|501^5^0
10.2307/1216647|*Text Messaging|C3178908|96|MH|RtM via: Text Messages|TI|MM|577^4^0
10.2307/1215998|*Authorship|C0004351|20523|MH|RtM via: Authorship;Forced Leaf Node Lookup:authorships|TI|MM|109^10^0
10.2307/1215998|*Names|C0027365|12834|MH|RtM via: Name;RtM via: Generic Name;RtM via: Person Name|TI|MM|583^5^0;46^5^0;367^13^0
10.2307/1215998|*Publication|C0034036|11364|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|130^11^0;601^9^0;403^9^0
10.2307/1215998|*Language|C0023008|507|MH|RtM via: spelling|TI|MM|501^8^0
10.2307/1216212|*Marchantia|C1080833|3294|MH|RtM via: Marchantia;Forced Leaf Node Lookup:marchantias;checkForceMH Boosted|TI|MM|535^10^0
10.2307/1216212|*Plants|C0032098|3585|MH|RtM via: Plants|TI|MM;RC|83^6^0
10.2307/1216212|*Names|C0027365|1494|MH|RtM via: Name;RtM via: Generic Name;RtM via: Person Name|TI|MM|452^4^0;236^5^0;327^13^0
10.2307/1216212|*Publications|C0034036|174|MH|RtM via: Scientific Publication|TI|MM|242^9^0
10.2307/1217268|*Names|C0027365|360|MH|RtM via: Name;RtM via: Person Name|TI|MM;RC|83^5^0
10.2307/1216027|*Gossypium|C0010196|79324|MH|RtM via: Gossypium;RtM via: Gossypium barbadense;RtM via: Gossypium herbaceum;RtM via: Gossypium hirsutum;Forced Leaf Node Lookup:gossypiums;checkForceMH Boosted|TI|MM;RC|534^9^0;448^6^0;32^20^0;663^9^0
10.2307/1216027|*Textiles|C0039717|5181|MH|RtM via: Cotton material|TI|MM|448^6^0
10.2307/1216027|Genome, Plant|C0242965|1433|MH|||RC
10.2307/1216027|*Name|C0027365|315|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|657^4^0;569^5^0;212^4^0;157^4^0
10.2307/1217350|*Guarea|C0330944|12429|ET|Entry Term Replacement for "Meliaceae";RtM via: Guarea;checkForceMH Boosted|TI|MM|1018^6^0
10.2307/1217350|*Maytenus|C0950003|9786|MH|RtM via: Maytenus;Forced Leaf Node Lookup:maytenus;checkForceMH Boosted|TI|MM|660^8^0
10.2307/1217350|*Arctostaphylos|C0884952|5988|MH|RtM via: Arctostaphylos;Forced Leaf Node Lookup:arctostaphylos;checkForceMH Boosted|TI|MM|207^14^0
10.2307/1217350|*Manilkara|C1092985|5034|MH|RtM via: Manilkara;Forced Leaf Node Lookup:manilkaras;checkForceMH Boosted|TI|MM|235^9^0
10.2307/1217350|*Poaceae|C0018210|4566|MH|RtM via: Hordelymus;RtM via: Lepturus|TI|MM|819^10^0;548^8^0
10.2307/1217350|*Proteaceae|C0997062|3039|MH|RtM via: Stenocarpus|TI|MM|1236^11^0
10.2307/1217350|*Fabaceae|C0023263|2688|MH|RtM via: Lotononis|TI|MM|124^9^0
10.2307/1217350|*Brassicaceae|C0524824|2487|MH|RtM via: Ricotia|TI|MM|107^7^0
10.2307/1217857|Exell|C0535987|26285|NM|RtM via: Exell;Forced SCR Leaf Node Lookup:exell|TI|MM|117^5^0
10.2307/1217857|*Flowering Plants|C0330209|23789|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flowering plants|TI|MM|1279^16^0
10.2307/1217857|*Dipterocarpaceae|C1008946|12355|MH|RtM via: Hopea;Forced Leaf Node Lookup:hopeas;checkForceMH Boosted|TI|MM|174^5^0
10.2307/1217857|*Connaraceae|C1001344|7480|MH|RtM via: Rourea;Forced Leaf Node Lookup:roureas;checkForceMH Boosted|TI|MM|129^6^0
10.2307/1217857|*Citrullus|C0950015|4118|MH|RtM via: Citrullus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:citrullus|TI|MM|1221^9^0
10.2307/1217857|*Fatty Acids|C0015684|26284|HM|RtM via: Exell|TI|MM|117^5^0
10.2307/1217857|*Ethanol|C0001962|25936|HM|RtM via: Exell|TI|MM|117^5^0
10.2307/1217857|*Ethylene Glycols|C0015086|25639|HM|RtM via: Exell|TI|MM|117^5^0
10.2307/1217857|*Arecaceae|C0682477|9843|MH|RtM via: Veitchia;RtM via: Veitchia joannis|TI|MM|1074^8^0;1019^16^0
10.2307/1216002|*Names|C0027365|3714|MH|RtM via: Generic Name|TI|MM;RC|233^13^0
10.2307/1216002|*Hepatophyta|C0996514|525|MH|RtM via: Sphaerocarpos;RtM via: Monocarpus sphaerocarpus|TI|MM|77^13^0;28^24^0
10.2307/1216002|*Attention|C0004268|90|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|143^9^0
