10.2307/3241482|Thirty-one species of thallose liverworts are recorded from Dalhousie, northwestern Himalayas.
10.2307/3240796|A directory to the some 1,150 most frequently cited authorities for the epithets of mosses, hepatics, and lichens is given with standardized abbreviations of the names for use in bibliographic citations.
10.2307/3242556|Air quality improvement near a coal-fired power plant led to recolonization of Parmelia caperata (L.) Ach. in a pollution-induced void area. Recolonization was first observed about four years after pollution abatement. Least-affected sites, i.e. near the edge of the original void, were first to recover while most-affected sites were slowest to recover. After eight years of improved air quality, the distribution of P. caperata has returned to near normal. Lichen bio-monitoring is useful not only to detect the effects of poor air quality but to document air quality improvement as well.
23321071|This study provides a molecular phylogeny of Solenostoma and Plectocolea based on trnL-F and trnG-intron cpDNA sequences of 25 species represented by multiple accessions from different regions of Russia and some adjacent countries. Phylogenetic trees constructed using maximum parsimony, maximum likelihood and Bayesian methods are mostly congruent, except for an unstable position of P. vulcanicola, P. rosulans and S. caucasica. Based on our analyses we accept narrow generic concepts and provisionally conclude that only P. hyalina and the P. obovata-P. subelliptica-P. obscura-P. harana-P. emarginata complex should be transferred to the genus Solenostoma. Moreover, two species new to science are described and three varieties are elevated to the species level. Morphologically, Solenostoma rossica Bakalin et Vilnet is characterized by heteroicous inflorescences, red-purple pigmentation restricted to the perianth beak and a whitish-colored stem. Solenostoma major (S. Hatt.) Bakalin et Vilnet is characterized by deep purple rhizoid coloration and wide, flattened, undulate and distant leaves. Solenostoma ochotensis Bakalin et Vilnet has a Solenostoma-like perianth and well-developed plectocoleoid perigynium. Plectocolea kurilensis (Bakalin) Bakalin et Vilnet is similar to P. infusca s. str. but differs by commonly having smaller, grayish and more numerous oil-bodies, deflexed antical leaf margins, undulate leaves and purplish to almost purple rhizoids. Plectocolea ovalifolia (Amak.) Bakalin et Vilnet is only distantly similar to P. infusca s. str., as it has purple rhizoids, oil bodies unlike P. infusca, a smaller plant size, generally distant to rarely contiguous leaves, and ovate leaves, as opposed to lingulate to broadly or transversely elliptic leaves. It is suggested the new species originated in the contact zone of circumboreal and temperate East Asian floras with the possible influence of modern volcanic activity.
10.2307/3241751|The intensities of photosynthesis and respiration of three montane mosses were determined at winter low temperatures. The experiments were carried out under outdoor light and at air temperature, the exposure lasting 4-5 hours. The lowest temperature for CO
10.2307/3242320| All Campylopus species reported from North America north of Mexico have been critically revised. Campylopus subleucogaster C. Mll, and C. donnellii (Aust.) Lesq. & Jam. are conspecific with C. surinamensis C. Mll. (= C. gracilicaulis Mitt.). Campylopus angustiretis (Aust.) Lesq. & Jam. is newly combined as a variety of C. surinamensis, and C. atrovirens De Not. var. cucullatifolius is described as new. Campylopus aureus Bosch. & Lac., C. introflexus (Hedw.) Brid., C. oerstedianus (C. Mll.) Mitt, and C. subulatus Schimp, are reported new to North America. There is discussion of each of the species of Campylopus presently known from North America north of Mexico, including remarks on the taxonomy and distinguishing characteristics. A key to all species is given. 
20061099|A collection of Hong Kong lichens in the Farlow Herbarium (FH) resulting from the United States North Pacific Exploration Expedition (1853-1856), and mainly collected by Charles Wright, has been examined with regards to two recently published papers, 12 species new to Hong Kong and almost all of the 46 species listed pre-date the earliest first records for Hong Kong. A new microthelioid lichen, Distothelia isthmospora Aptroot gen. et sp. nov., is described and a new combination, Pyrrhospora chlorophnia (Tuck.) Aptroot & Seaward comb. nov., is proposed.
10.2307/3242535|Orthotrichum alpestre Hornsch. and Tortula muralis Hedw. are reported from Newfoundland, and their distributions are considerably extended eastwards in North America. Six other moss species are new to Newfoundland: Bryum tortifolium Brid., Cyrtomnium hymenophylloides (Hueb.) Nyh., Encalypta ciliata Hedw., E. procera Bruch, Tetradontium repandum (Sturm) Schwaegr. and Tortula norvegica Lindb. Data are also provided for five other species, including distribution maps for Homalothecium sericeum (Hedw.) B.S.G. and Orthotrichum gymnostomum Brid.
20110794|Twenty-six lichen taxa are reported for the first time from either the Tierra del Fuego Archipelago, the Falkland Islands (Islas Malvinas), or both, from collections made by Henry Imshaug and his co-workers between 1968 and 1971 and now housed in the herbarium of Michigan State University (MSC). Of these, Alectoria sarmentosa subsp. vexillifera, Bartlettiella fragilis, Micarea incrassata, M. melaena, Parmelia kerguelensis, Rhizocarpon infernulum and R. submodestum are reported for the first time from South America, and Alectoria nigricans, Brigantiaea fuscolutea, Buellia anisomera, B. subcervina, Caloplaca isidioclada, C. millegrana, Lecidella wulfenii and Megalospora tuberculosa are reported for the first time from Argentina or the Falkland Islands.
10.2307/3244469|The new species Brachymitrion immersum is described based on a single collection from Cameroon. The species appears closely related to the new world B. cochabambae from which it differs in sporophytic characters. Brachymitrion immersum is easily distinguished from the sympatric B. jamesonii and B. moritzianum by its immersed to emergent capsules. The species is illustrated and a key to the species of Brachymitrion is presented.
10.2307/3242827| Bryoria subdivergens (Dahl) Brodo & D. Hawksw., formerly known only from its type locality in southwest Greenland, has now been found in several new sites in western Greenland as well as in an alpine community in the Bitterroot Mountains of Montana, USA. The species is compared with two other members of Bryoria sect. Subdivergentes: B. abbeviata (Mll. Arg.) Brodo & D. Hawksw. and B. oregana (Tuck, ex Nyl.) Brodo & D. Hawksw., and is found to be distinct from both. 
