43519415|Humans|D006801|10474417|CT|Forced Humans: man|TI|MM;RC
43519415|Male|D008297|10474417|CT|CT Text Lookup: man|TI|MM;RC|714^3^0
43519415|*Daphne|D032364|839707|MH|RtM via: Daphne cneorum;Forced Leaf Node Lookup:daphnes;checkForceMH Boosted|TI|MM|435^14^0
43519415|*Carex Plant|D031255|838747|MH|RtM via: Carex humilis;Forced Leaf Node Lookup:carex;checkForceMH Boosted|TI|MM|340^13^0
43519415|*Quercus|D029963|838660|MH|RtM via: Quercus virgiliana;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM|251^18^0
43519415|calcium magnesium carbonate|C028042|419172|NM|Forced SCR Leaf Node Lookup:dolomite|TI|MM|302^8^0
43519415|*Orchidaceae|D029595|333|MH|RtM via: Cypripedium calceolus;Forced Non-Leaf Node Lookup:cypripedium|TI|MM|513^21^0
43519415|*Poaceae|D006109|129|MH|RtM via: Sesleria|TI|MM|317^8^0
43519415|Verloes Bourguignon syndrome|C536538|61|NM|RtM via: Verloes Bourguignon syndrome|TI|MM|709^4^0
43519415|*Amelogenesis Imperfecta|D000567|60|HM|RtM via: Verloes Bourguignon syndrome|TI|MM|709^4^0
43519415|*Osteochondrodysplasias|D010009|42|HM|RtM via: Verloes Bourguignon syndrome|TI|MM|709^4^0
43519465|*Robinia|D031301|8190|MH|RtM via: Robinia (plant);Forced Leaf Node Lookup:robinias;checkForceMH Boosted|TI|MM;RC|174^15^0;182^7^0
43519465|*Pinus|D028223|6084|MH|RtM via: Pinus <genus>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM;RC|194^5^0
43519465|*Alnus|D029661|4956|MH|RtM via: Alder plant;Forced Leaf Node Lookup:alder;checkForceMH Boosted|TI|MM|157^5^0
43519465|*Wetlands|D053833|3510|MH|RtM via: Swamp;Forced Leaf Node Lookup:swamps|TI|MM|163^6^0
43519465|*Sand|D000080463|3150|MH|Forced Leaf Node Lookup:sand;checkForceMH Boosted|TI|MM;RC|127^4^0
43519465|*Grassland|D065948|1509|MH|Forced Leaf Node Lookup:steppes|TI|MM|148^7^0
43519465|*Habitat|D017753|9069|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|68^7^0
43519465|*Desert Climate|D003889|8325|MH|RtM via: Desert Climate|TI|MM;RC|237^12^0
43519465|*Fungi|D005658|1206|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM|110^5^0
43519452|Animals|D000818|5044|CT|Chironomidae;CT Treecode Lookup: B01.050.500.131 (Chironomidae);Life Cycle;CT Treecode Lookup: B05.500 (Life Cycle);Life Cycle;CT Treecode Lookup: G07.345.500.550.500 (Life Cycle)||MM;RC
43519452|*Chironomidae|D002683|4044|MH|RtM via: Chironomus balatonicus;Forced Leaf Node Lookup:chironomids;Forced Leaf Node Lookup:chironomus;checkForceMH Boosted|TI|MM;RC|271^22^0;237^11^0;1216^11^0;70^10^0
43519452|*Laboratories|D007753|477|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|721^10^0
43519452|*Body Water|D001834|1110|MH|RtM via: Body water (substance)|TI|MM;RC|1280^10^0;1094^10^0;883^10^0;634^10^0
43519452|*Life Cycle|D008018|1041|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life Cycle Stages;Forced Non-Leaf Node Lookup:life cycles|TI|MM;RC|704^10^0
43519452|*Computers|D003201|672|MH|RtM via: Server (computer)|TI|MM|417^6^0
43519452|*Physiological Phenomena|D010829|546|MH|RtM via: Circulatory Process|TI|MM|1238^11^0
43519452|*Nutrients|D000078622|396|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1163^9^0
