10.2307/1550196|Humans|D006801|15772|CT|Patient Discharge;CT Treecode Lookup: E02.760 (Patient Discharge);Patient Discharge;CT Treecode Lookup: N02.421.585 (Patient Discharge)||MM;RC
10.2307/1550196|*Rivers|D045483|14772|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|1055^5^0
10.2307/1550196|calcium magnesium carbonate|C028042|12097|NM|RtM via: dolomite;Forced SCR Leaf Node Lookup:dolomite|TI|MM|253^8^0
10.2307/1550196|*Ice Cover|D046448|11919|MH|RtM via: Glaciers;Forced Leaf Node Lookup:glaciers|TI|MM;RC|1739^8^0;1561^7^0;1589^7^0;577^8^0
10.2307/1550196|*Patient Discharge|D010351|2784|MH|RtM via: Patient Discharge;Forced Leaf Node Lookup:discharge|TI|MM|1464^9^0;1326^9^0
10.2307/1550196|*Grassland|D065948|2745|MH|Forced Leaf Node Lookup:meadows|TI|MM|80^7^0;172^7^0;1395^7^0
10.2307/1550196|Saskatchewan|D012525|2745|MH|RtM via: Saskatchewan;Forced Leaf Node Lookup:saskatchewan|TI|MM|1548^12^0
10.2307/1550196|*Groundwater|D060587|12237|MH|RtM via: Groundwater;Forced Non-Leaf Node Lookup:groundwaters|TI|MM;RC|1652^11^0
10.2307/1550196|*Limestone|D002119|12096|ET|Entry Term Replacement for "Calcium Carbonate";RtM via: Limestone;RtM via: dolomite;Forced Non-Leaf Node Lookup:limestone|TI|MM;RC|617^9^0;221^10^0;253^8^0
10.2307/1550196|*Natural Springs|D060985|9270|MH|RtM via: Natural Springs|TI|MM;RC|1485^7^0;1349^7^0;1014^7^0
10.2307/1550196|*Cave|D059552|8304|ET|Entry Term Replacement for "Caves";RtM via: Cavern|TI|MM;RC|1262^4^0;1038^4^0;956^4^0
10.2307/1550196|*Magnesium|D008274|7191|HM|RtM via: dolomite|TI|MM;RC|253^8^0
10.2307/1550196|*Tundra|D065929|1425|MH|RtM via: Tundra;Forced Non-Leaf Node Lookup:tundras|TI|MM|691^6^0
10.2307/1550196|*Drainage|D004322|54|MH|RtM via: Drain device;RtM via: Drainage procedure;Forced Non-Leaf Node Lookup:drainage|TI|MM|1597^8^0;961^7^0;1370^8^0;906^8^0
10.2307/1551817|olivine|C034475|16265|NM|RtM via: olivine;Forced SCR Leaf Node Lookup:olivine|TI|MM|312^7^0
10.2307/1551817|*Magnesium|D008274|15790|MH|RtM via: Dietary Magnesium;RtM via: magnesium;RtM via: Calcium- and magnesium-containing product;Forced Leaf Node Lookup:magnesium;checkForceMH Boosted|TI|MM;RC|652^9^0;680^17^0;688^9^0
10.2307/1551817|*Soil|D012987|10532|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|573^5^0;386^4^0
10.2307/1551817|basalt|C060346|10154|NM|RtM via: basalt;Forced SCR Leaf Node Lookup:basalt|TI|MM|282^6^0
10.2307/1551817|*Calcium|D002118|8062|MH|RtM via: Calcium- and magnesium-containing product;Forced Leaf Node Lookup:calcium;checkForceMH Boosted|TI|MM;RC|680^17^0
10.2307/1551817|*Nickel|D009532|7753|MH|RtM via: nickel;Forced Leaf Node Lookup:nickel;checkForceMH Boosted|TI|MM;RC|812^6^0;641^6^0
10.2307/1551817|*Magnesium Compounds|D017616|16264|HM|RtM via: olivine|TI|MM;RC|312^7^0
10.2307/1551817|*Silicates|D017640|14885|HM|RtM via: basalt;RtM via: olivine|TI|MM;RC|282^6^0;312^7^0
10.2307/1551817|*Iron Compounds|D058085|11824|HM|RtM via: olivine|TI|MM;RC|312^7^0
10.2307/1551817|*Plants|D010944|2925|MH|RtM via: Plants|TI|MM;RC|583^6^0;491^6^0
10.2307/1551817|*Islands|D062312|1698|MH|RtM via: Islands|TI|MM|892^6^0;38^6^0;79^6^0
10.2307/1550395|*Ice Cover|D046448|5146|MH|RtM via: Glaciers;Forced Leaf Node Lookup:glaciers|TI|MM;RC|426^7^0;456^7^0
10.2307/1550395|*Facies|D019066|1504|MH|RtM via: Facies;Forced Leaf Node Lookup:facies|TI|MM|899^6^0;602^6^0;484^6^0;205^6^0
10.2307/1550395|*Talus|D013628|1018|MH|RtM via: Talus;Forced Leaf Node Lookup:talus|TI|MM|405^5^0
10.2307/1550395|Colorado|D003120|880|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|150^8^0
10.2307/1550395|*Environment|D004777|3921|MH|RtM via: Valley|TI|MM;RC|113^6^0
10.2307/1550395|*Geology|D005844|2496|MH|RtM via: Geology|TI|MM|665^8^0
10.2307/1550395|*Heads|D006257|1464|ET|Entry Term Replacement for "Head";RtM via: Head|TI|MM|120^5^0
