10.2307/2484573|Female|D005260|5409|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);Genitalia, Female;CT Treecode Lookup: A05.360.319 (Genitalia, Female)|TI|MM
10.2307/2484573|*Culture Media|D003470|4409|MH|RtM via: Culture Media;checkForceMH Boosted;Forced Non-Leaf Node Lookup:culture media|TI|MM;RC|1237^6^0;996^13^0
10.2307/2484573|*Ovary|D010053|3595|MH|RtM via: Both ovaries;RtM via: Ovary;Forced Leaf Node Lookup:ovaries;Forced Leaf Node Lookup:ovary|TI|MM|53^7^0;257^5^0
10.2307/2484573|*Seedlings|D036226|3403|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1146^9^0
10.2307/2484573|*Ovule|D056771|2270|MH|RtM via: Plant Ovule;Forced Leaf Node Lookup:ovules|TI|MM|558^6^0
10.2307/2484573|*Skin|D012867|2271|MH|RtM via: Skin;RtM via: Skin, Human|TI|MM|1202^13^0;790^13^0
10.2307/2484573|*Genitalia, Female|D005836|1944|MH|RtM via: female ovule|TI|MM|558^6^0
10.2307/2484573|*Integumentary System|D034582|1794|MH|RtM via: Integumentary system|TI|MM|1202^13^0;790^13^0
10.2307/2484573|*Embryogenesis|D047108|1659|ET|Entry Term Replacement for "Embryonic Development";RtM via: Embryonic Development;Forced Non-Leaf Node Lookup:embryogenesis|TI|MM;RC|965^13^0
10.2307/2484573|Citrus|D002957|1000|MH|Forced Non-Leaf Node Lookup:citrus||MM;RC|64^6^0
10.2307/2484573|*Longitudinal Studies|D008137|120|MH|RtM via: Continuous|TI|MM|869^12^0
10.2307/2484331|3-hydroxyflavone|C041477|26354|NM|Forced SCR Leaf Node Lookup:flavonol|TI|MM|732^8^0
10.2307/2484331|*Coreopsis|D031945|21796|MH|RtM via: Coreopsis nuecensis;RtM via: Coreopsis nuecensoides;Forced Leaf Node Lookup:coreopsis;checkForceMH Boosted|TI|MM|396^19^0;28^22^0
10.2307/2484331|*Flavonols|D044948|18791|MH|RtM via: Flavonols;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flavonols|TI|MM;RC|732^8^0;583^9^0
10.2307/2484331|isoquercitrin|C016527|10908|NM|RtM via: Isoquercetin|TI|MM|594^11^1;608^9^1
10.2307/2484331|*Quercetin|D011794|10907|MH|RtM via: Isoquercetin;Forced Leaf Node Lookup:quercetin|TI|MM;RC|594^11^1;608^9^1
10.2307/2484331|methoxyluteolin|C000627046|10592|NM|Forced SCR Leaf Node Lookup:methoxyluteolin|TI|MM|448^15^0
10.2307/2484331|apigetrin|C057792|10506|NM|RtM via: apigetrin|TI|MM|654^10^1;667^9^1
10.2307/2484331|*Apigenin|D047310|10505|MH|RtM via: apigetrin;Forced Leaf Node Lookup:apigenin|TI|MM;RC|654^10^1;667^9^1
10.2307/2484331|*Glucoside|D005960|8414|ET|Entry Term Replacement for "Glucosides";RtM via: Glucosides;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glucosides|TI|MM;RC|505^9^0;468^9^0;608^9^0;667^9^0
10.2307/2484331|*Biosynthetic Pathways|D053898|4244|MH|RtM via: Biosynthetic Pathways;Forced Leaf Node Lookup:biosynthetic pathways|TI|MM|887^21^0
10.2307/2484331|*Translocation, Genetic|D014178|3818|MH|RtM via: Chromosomal translocation;Forced Leaf Node Lookup:chromosomal translocations|TI|MM|251^26^0
10.2307/2484331|*Respect|D000078682|3602|MH|RtM via: Respect;Forced Leaf Node Lookup:respect|TI|MM|386^8^0
10.2307/2484331|*Flavonoid|D005419|26353|ET|Entry Term Replacement for "Flavonoids";RtM via: Flavonoids;Forced Non-Leaf Node Lookup:flavonoids|TI|MM;RC|779^9^0;334^9^0;877^9^0;967^9^0
10.2307/2484331|*Luteolin|D047311|10591|HM|RtM via: nepitrin|TI|MM|446^19^1;468^9^1
10.2307/2484331|flavone|C043562|9007|NM|RtM via: flavone|TI|MM|646^7^0
10.2307/2484331|*Flavones|D047309|9006|MH|RtM via: Flavones;RtM via: flavone;Forced Non-Leaf Node Lookup:flavones|TI|MM|646^7^0
10.2307/2484331|*Plant Leaves|D018515|3552|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|774^4^0;329^4^0
10.2307/2482235|*Anthocerotophyta|D049936|1871|MH|RtM via: Anthoceros;RtM via: Megaceros;Forced Leaf Node Lookup:anthoceros;checkForceMH Boosted|TI|MM|755^10^0;175^10^0;68^10^0;332^9^0
10.2307/2482235|Reunion|D017508|250|MH|RtM via: Reunion Island;Forced Leaf Node Lookup:reunion|TI|MM|787^7^0
10.2307/2482235|*Infertility|D007246|852|MH|RtM via: Infertility|TI|MM|430^7^0
10.2307/2482235|*Malpighiales|D000076622|762|MH|RtM via: Podostemaceae|TI|MM|217^13^0
10.2307/2482235|*Fertility|D005298|663|MH|RtM via: Fertility|TI|MM|486^7^0
10.2307/2482235|Africa, West|D000354|87|ET|Entry Term Replacement for "Africa, Western";RtM via: Africa, Western|TI|MM|854^11^0
10.2307/2996800|Animals|D000818|37865|CT|CT Text Lookup: animal|TI|MM;RC|1711^6^0
10.2307/2996800|*Trees|D014197|36865|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1173^5^0;946^5^0;801^5^0;651^5^0;514^5^0
10.2307/2996800|*Quercus|D029963|34920|MH|RtM via: Quercus;Forced Leaf Node Lookup:quercus;Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM;RC|931^7^0;549^3^0;376^3^0;381^7^1;398^1^1
10.2307/2996800|*Carbon|D002244|6344|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM|32^6^0
10.2307/2996800|*Tannins|D013634|5141|MH|RtM via: tannic acid;checkForceMH Boosted;Forced Non-Leaf Node Lookup:tannins|TI|MM|1496^6^0;1252^6^0;1132^6^0;1025^7^0;745^6^0;341^6^0;1328^6^0
10.2307/2996800|Ohio|D009820|4283|MH|RtM via: Ohio;Forced Leaf Node Lookup:ohio|TI|MM|544^4^0
10.2307/2996800|*Forest|D065928|18072|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|493^6^0;561^6^0
10.2307/2996800|*Plants|D010944|8136|MH|RtM via: Plants|TI|MM;RC|91^6^0
10.2307/2996800|*Plant Leaves|D018515|7905|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|1491^4^0;1020^4^0;460^6^0;336^4^0
10.2307/2996800|*Plant Distribution|D063148|5139|ET|Entry Term Replacement for "Plant Dispersal";RtM via: Plant Dispersal|TI|MM|1668^5^1;1685^12^1
10.2307/2996800|*Nutrient|D000078622|1014|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|39^8^0;128^8^0;259^8^0
10.2307/2484887|Humans|D006801|8654|CT|CT Text Lookup: individuals|TI|MM|28^11^0
10.2307/2484887|*Acid Phosphatase|D000135|7654|MH|RtM via: Acid Phosphatase;checkForceMH Boosted;Forced Non-Leaf Node Lookup:acid phosphatase|TI|MM;RC|308^16^0
10.2307/2484887|*Isoenzymes|D007527|4522|MH|RtM via: Isoenzymes;Forced Leaf Node Lookup:isozymes|TI|MM;RC|340^8^0;423^8^0
10.2307/2484887|*Malate Dehydrogenase|D008291|3650|MH|RtM via: Malate Dehydrogenase;Forced Leaf Node Lookup:malic dehydrogenase;checkForceMH Boosted|TI|MM|287^19^0
10.2307/2484887|*Erigeron|D049919|2801|MH|RtM via: Erigeron annuus;Forced Leaf Node Lookup:erigerons;checkForceMH Boosted|TI|MM|43^15^0
10.2307/2484887|*Peroxidase|D009195|2413|MH|RtM via: peroxidase;checkForceMH Boosted|TI|MM|329^10^0
10.2307/2484887|*Chlorogenic Acid|D002726|2111|MH|RtM via: chlorogenic acid;Forced Leaf Node Lookup:chlorogenic acid;checkForceMH Boosted|TI|MM|398^16^0
10.2307/2484887|*Starch|D013213|1246|MH|RtM via: starch;checkForceMH Boosted;Forced Non-Leaf Node Lookup:starch|TI|MM|243^6^0
10.2307/2484887|*Acrylamide|D020106|1156|MH|RtM via: acrylamide;checkForceMH Boosted|TI|MM|350^10^0
10.2307/2484887|*Peroxidases|D010544|4209|MH|RtM via: Peroxidases;Forced Non-Leaf Node Lookup:peroxidases|TI|MM;RC|329^10^0
10.2307/2484887|*Electrophoresis|D004586|366|MH|RtM via: Gel Electrophoresis (lab technique);Forced Non-Leaf Node Lookup:electrophoresis|TI|MM|195^19^0;199^15^0
10.2307/2484887|*Coloring Agents|D004396|189|MH|RtM via: Peroxidase stain|TI|MM|329^10^0
10.2307/2484887|*Gels|D005782|162|MH|RtM via: Gel;Forced Non-Leaf Node Lookup:gels|TI|MM|250^4^0;361^4^0
10.2307/2484281|*Vernonia|D035741|18333|MH|RtM via: Vernonia;Forced Leaf Node Lookup:vernonias;checkForceMH Boosted|TI|MM;RC|574^8^0;480^9^0;262^8^0
10.2307/2484281|*Polyploids|D011123|7485|ET|Entry Term Replacement for "Polyploidy";RtM via: Polyploidy;Forced Non-Leaf Node Lookup:polyploids|TI|MM;RC|666^10^0;530^10^0
10.2307/2484281|*Aneuploidy|D000782|2370|MH|RtM via: Aneuploidy;Forced Non-Leaf Node Lookup:aneuploidy|TI|MM;RC|688^10^0
10.2307/2484281|South America|D013020|1500|MH|RtM via: South America;Forced Non-Leaf Node Lookup:south america|TI|MM;RC|104^13^0
10.2307/2484281|Africa|D000349|627|MH|RtM via: Africa;Forced Non-Leaf Node Lookup:africa|TI|MM|127^6^0
10.2307/2484281|*Chromosomes|D002875|858|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|294^18^0;28^18^0
10.2307/2996284|Humans|D006801|12981088|CT|Forced Humans: individuals|TI|MM
10.2307/2996284|Animals|D000818|12981088|CT|Forced Lookup:deer;Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Squirrels;CT Treecode Lookup: B01.050.150.900.649.313.992 (Squirrels);Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals);Deer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Deer);CT Text Lookup: mammal;CT Text Lookup: vertebrates|TI|MM;RC|1088^4^0;1896^7^0;1713^11^0
10.2307/2996284|Adult|D000328|12981088|CT|Forced Leaf Node Lookup:adults|TI|MM|290^6^0
10.2307/2996284|*Seedlings|D036226|1624116|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|1932^8^0;1842^8^0;1578^8^0;1651^9^0;1443^8^0;1174^9^0;900^9^0;488^8^0;230^9^0;1241^9^0;520^8^0
10.2307/2996284|*Carya|D031325|1601712|MH|RtM via: Hickory Nuts;RtM via: Carya glabra;Forced Leaf Node Lookup:hickory nuts;Forced Leaf Node Lookup:caryas;checkForceMH Boosted|TI|MM|637^12^0;1504^16^0;82^12^0;66^14^0;401^7^0
10.2307/2996284|*Trees|D014197|1099207|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|1963^4^0
10.2307/2996284|*Germination|D018525|576758|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM;RC|789^11^0;856^11^0;953^11^0
10.2307/2996284|*Herbivory|D060434|539177|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores|TI|MM;RC|1067^10^0
10.2307/2996284|*Predatory Behavior|D011235|538769|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM;RC|1700^9^0
10.2307/2996284|*Nuts|D009754|534533|MH|RtM via: Nuts;Forced Leaf Node Lookup:nuts|TI|MM|837^4^0;719^4^0
10.2307/2996284|*Squirrels|D012589|533543|ET|Entry Term Replacement for "Sciuridae";RtM via: Squirrels;checkForceMH Boosted;Forced Non-Leaf Node Lookup:squirrels|TI|MM|1824^9^0
10.2307/2996284|*Seed Dispersal|D058614|533404|MH|Forced Leaf Node Lookup:seed dispersals|TI|MM;RC|1806^14^0
10.2307/2996284|*Juglandaceae|D029525|533306|MH|RtM via: Juglandaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:juglandaceae|TI|MM|110^12^0
10.2307/2996284|*Goals|D006040|531323|MH|Forced Leaf Node Lookup:goal|TI|MM|359^4^0
10.2307/2996284|Michigan|D008824|531323|MH|RtM via: Michigan (geographic location);Forced Leaf Node Lookup:michigan|TI|MM|196^8^0
10.2307/2996284|*Deer|D003670|0|MH|Forced Lookup:deer|TI|MM|1088^4^0
10.2307/2996284|*Forests|D065928|26973|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1956^6^0;2013^7^0;1771^6^0;1672^6^0;1561^6^0;1262^6^0;921^6^0;676^6^0;552^6^0;132^6^0;142^6^0;205^6^0;277^6^0;342^6^0;563^6^0;687^6^0;781^6^0;980^6^0;1869^6^0
10.2307/2996284|*Seed|D012639|16368|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM;RC|1806^4^0;479^4^0
10.2307/2996284|*Motivation|D009042|16032|MH|RtM via: Act Mood - Goal|TI|MM|359^4^0
10.2307/2996284|*Burial|D002048|822|MH|RtM via: Burial;Forced Non-Leaf Node Lookup:burials|TI|MM|827^6^0;945^6^0
10.2307/2996858|Animals|D000818|15976|CT|RtM via: Cattle;Forced Animals Lookup:bull;Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild)|TI|MM;RC|28^4^0
10.2307/2996858|Cattle|D002417|15976|CT|RtM via: Cattle;Forced Animals Lookup:bull|TI|MM|28^4^0
10.2307/2996858|Male|D008297|15976|CT|Forced Animals Lookup:bull|TI|MM|28^4^0
10.2307/2996858|*Pinus taeda|D041603|14976|MH|RtM via: Pinus taeda;Forced Leaf Node Lookup:loblolly pines;Forced Leaf Node Lookup:pinus taedas;checkForceMH Boosted|TI|MM;RC|273^13^0;288^11^0
10.2307/2996858|*Animals, Wild|D000835|2116|MH|RtM via: Animals, Wild;Forced Leaf Node Lookup:wildlife;checkForceMH Boosted|TI|MM|88^8^0
10.2307/2996858|*Cyclonic Storms|D055867|902|MH|RtM via: Hurricanes;Forced Leaf Node Lookup:hurricanes|TI|MM|151^9^0
10.2307/2996858|South Carolina|D013022|854|MH|RtM via: Charleston County, SC;RtM via: South Carolina;Forced Leaf Node Lookup:south carolina|TI|MM|107^17^0;126^14^0
10.2307/2996858|*Forest|D065928|1218|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|210^6^0
10.2307/2996858|*Biological Phenomena|D001686|618|MH|RtM via: Tissue Growth|TI|MM|249^6^0
10.2307/2996858|*Islands|D062312|585|MH|RtM via: Islands|TI|MM|33^6^0;53^6^0
10.2307/2484713|Animals|D000818|4114|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
10.2307/2484713|*Trichomes|D064201|3114|MH|RtM via: Trichomes;Forced Leaf Node Lookup:trichomes|TI|MM;RC|341^8^0;149^8^0
10.2307/2484713|*Broussonetia|D031623|2766|MH|RtM via: Broussonetia;Forced Leaf Node Lookup:broussonetias;checkForceMH Boosted|TI|MM|204^12^0
10.2307/2484713|*Morus|D031625|2253|MH|RtM via: Morus (plant);Forced Leaf Node Lookup:morus;checkForceMH Boosted|TI|MM|218^5^0
10.2307/2484713|*Maclura|D031624|1863|MH|RtM via: Maclura;Forced Leaf Node Lookup:macluras;checkForceMH Boosted|TI|MM|229^7^0
10.2307/2484713|*Microscopy, Electron, Scanning|D008855|939|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM;RC|39^28^0
10.2307/2484713|*Cannabis|D002188|879|MH|RtM via: Cannabis sativa plant;Forced Leaf Node Lookup:cannabis sativa;checkForceMH Boosted|TI|MM|489^15^0
10.2307/2484713|*Birds|D001717|195|MH|RtM via: Morus <bird>|TI|MM|218^5^0
10.2307/2484713|North America|D009656|75|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM|262^13^0
10.2307/2484376|*Biomass|D018533|5444|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|387^7^0;32^7^0
10.2307/2484376|*Wetlands|D053833|4949|MH|RtM via: Swamp;Forced Leaf Node Lookup:swamps|TI|MM;RC|185^5^0
10.2307/2484376|*Chamaecyparis|D029780|2163|MH|RtM via: Chamaecyparis thyoides;Forced Leaf Node Lookup:chamaecyparis thyoides;Forced Leaf Node Lookup:atlantic white cedars;checkForceMH Boosted|TI|MM|137^20^0;104^22^0
10.2307/2484376|Fires|D005390|555|MH|||RC
10.2307/2484376|Ecosystem|D017753|548|MH|||RC
10.2307/2484376|*Research Design|D012107|264|MH|RtM via: Test Method|TI|MM|328^6^0
10.2307/2484376|*Health Services|D006296|237|MH|RtM via: Test Method|TI|MM|328^6^0
10.2307/2997196|*Trees|D014197|49036|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|928^5^0
10.2307/2997196|*Quercus|D029963|33843|MH|RtM via: Quercus;Forced Leaf Node Lookup:quercus;Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM;RC|96^3^0;101^7^0;126^3^0
10.2307/2997196|*Soil|D012987|28700|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1110^4^0;303^4^0
10.2307/2997196|*Nitrogen|D009584|20102|MH|RtM via: nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM;RC|368^8^0
10.2307/2997196|*Grassland|D065948|19303|MH|Forced Leaf Node Lookup:prairies;Forced Leaf Node Lookup:savannas|TI|MM;RC|624^7^0;694^7^0;838^7^0;130^7^0
10.2307/2997196|Minnesota|D008910|8141|MH|RtM via: Minnesota;Forced Leaf Node Lookup:minnesota|TI|MM;RC|154^9^0
10.2307/2997196|*Physiognomy|D010826|7997|MH|RtM via: Physiognomy;Forced Leaf Node Lookup:physiognomy|TI|MM|1087^11^0
10.2307/2997196|*Fires|D005390|51519|MH|RtM via: Fire - disasters|TI|MM;RC|992^4^0;270^5^0
10.2307/2997196|*Forest|D065928|37644|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|115^6^0
10.2307/2997196|*Plant|D010944|7377|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|539^5^0
10.2307/2997196|*Poa|D031785|5805|MH|RtM via: Poa plant|TI|MM;RC|624^15^0
10.2307/2997196|*Burns|D002056|627|MH|RtM via: Burn injury;Forced Non-Leaf Node Lookup:burns|TI|MM|493^6^0;182^5^0
10.2307/2997196|Hydrogen-Ion Concentration|D006863|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|308^2^0
10.2307/2997094|*Trees|D014197|24828|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|472^4^0;282^4^0;221^5^0;32^4^0
10.2307/2997094|*Rivers|D045483|3255|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|85^5^0
10.2307/2997094|Wisconsin|D014922|2121|MH|RtM via: Wisconsin;Forced Leaf Node Lookup:wisconsin|TI|MM|94^9^0
10.2307/2997094|*Forest|D065928|17682|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|450^6^0
10.2307/2997094|*Islands|D062312|7986|MH|RtM via: Islands|TI|MM;RC|494^7^0;299^6^0;123^7^0;61^7^0
10.2307/2997094|*Floods|D055868|1452|MH|RtM via: Floods|TI|MM|615^8^0
10.2307/2484666|*Typhaceae|D032401|30153|MH|RtM via: Sparganium eurycarpum;RtM via: Typha x glauca;Forced Leaf Node Lookup:typhas;checkForceMH Boosted|TI|MM;RC|347^21^0;374^12^0
