10.2307/2963520|Animals|D000818|38668|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Thoracica;CT Treecode Lookup: B01.050.500.131 (Thoracica);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda);Mussel;CT Treecode Lookup: B01.050.500.644 (Mussel);Mytilus;CT Treecode Lookup: B01.050.500.644 (Mytilus);Invertebrate;CT Treecode Lookup: B01.050.500 (Invertebrate);Mollusca;CT Treecode Lookup: B01.050.500.644 (Mollusca)||MM;RC
10.2307/2963520|*Predatory Behavior|D011235|37668|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM;RC|3551^9^0;3366^9^0;3170^9^0;3008^9^0;2766^9^0;2537^9^0;2292^9^0;2080^9^0;1727^9^0;1256^9^0;1047^9^0;890^9^0;591^9^0;327^9^0;181^9^0;61^9^0;242^9^0;1067^9^0;1153^9^0;2198^9^0;2494^9^0;3259^9^0
10.2307/2963520|*Ecosystem|D017753|21843|MH|RtM via: Ecosystem;RtM via: Habitat;Forced Lookup:ecosystems|TI|MM;RC|3648^10^0;49^10^0;1704^7^0;36^8^0;3505^20^0
10.2307/2963520|*Thoracica|D001468|19179|MH|RtM via: Thoracica;Forced Leaf Node Lookup:barnacles;checkForceMH Boosted|TI|MM;RC|2001^9^0
10.2307/2963520|*Mytilus|D049878|6846|MH|RtM via: Mytilus californianus;RtM via: Mytilus trossulus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mussel mytilus|TI|MM|2037^21^0;1927^17^0;1916^10^0;1920^14^0;2030^14^0
10.2307/2963520|Oregon|D009922|4779|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|436^6^0
10.2307/2963520|*Bays|D061006|4494|MH|Forced Leaf Node Lookup:bay|TI|MM|1916^3^0
10.2307/2963520|*Gastropoda|D049851|9963|MH|RtM via: Nucella canaliculata|TI|MM;RC|1333^20^0
10.2307/2963520|*Mollusca|D008974|3522|MH|RtM via: Whelk|TI|MM|1292^5^0
10.2307/2963520|California|D002140|285|MH|RtM via: California|TI|MM|2019^10^0
10.2307/2937136|Animals|D000818|1000|CT|Forced Treecode Turn Back On: B05.500 (Life History Stages)||MM
10.2307/2937136|*Seedlings|D036226|17571|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|2887^8^0;1787^9^0;951^8^0;1025^9^0
10.2307/2937136|*Population Growth|D011158|11412|MH|RtM via: Population Growth;Forced Leaf Node Lookup:population growth|TI|MM;RC|2766^17^0;2286^17^0;429^17^0;1882^17^0
10.2307/2937136|*Seed Bank|D000068098|9756|MH|RtM via: Seed Bank;Forced Leaf Node Lookup:seed banks|TI|MM|920^9^0
10.2307/2937136|*Germination|D018525|7912|MH|Forced Lookup:seed germination;Forced Leaf Node Lookup:germinations|TI|MM;RC|2865^16^0;2870^11^0
10.2307/2937136|*Population Forecast|D000069457|7797|MH|RtM via: Population Forecast;Forced Leaf Node Lookup:population projections|TI|MM|821^21^0
10.2307/2937136|*Marantaceae|D032426|7773|MH|RtM via: Calathea;Forced Leaf Node Lookup:calatheas;checkForceMH Boosted|TI|MM|2210^8^0;111^8^0
10.2307/2937136|*El Nino-Southern Oscillation|D059000|6657|MH|RtM via: El Nino;Forced Leaf Node Lookup:el nino|TI|MM|2234^7^0
10.2307/2937136|*Rainforest|D065947|6552|MH|RtM via: Rainforest;Forced Leaf Node Lookup:rain forests|TI|MM|136^11^0
10.2307/2937136|*Plant Dormancy|D057445|4252|MH|Forced Leaf Node Lookup:seed dormancy|TI|MM;RC|1543^13^0
10.2307/2937136|*Seeds|D012639|4047|MH|RtM via: Plant seeds;Forced Lookup:seed germination|TI|MM;RC|2848^4^0;1768^5^0;1543^4^0;2865^16^0
10.2307/2937136|*Goals|D006040|3489|MH|Forced Leaf Node Lookup:goal|TI|MM|32^4^0
10.2307/2937136|Mexico|D008800|3489|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM|160^6^0
10.2307/2937136|*Population Dynamics|D011157|11193|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM;RC|2700^19^0;58^19^0
10.2307/2937136|*Reproduction|D012098|6351|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM;RC|2332^12^0;1835^12^0;1813^13^0;1577^13^0;1447^12^0;1065^13^0;338^12^0;501^12^0
10.2307/2937136|*Habitat|D017753|4980|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|2157^7^0
10.2307/2937136|*Plants|D010944|4743|MH|RtM via: Plants|TI|MM;RC|2965^5^0;1134^5^0;1171^6^0
10.2307/2937136|*Life History Stages|D008018|3339|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life History Stages;Forced Non-Leaf Node Lookup:life history stages|TI|MM;RC|3003^19^0
10.2307/2937136|*Fertility|D005298|2319|MH|RtM via: Fertility;Forced Non-Leaf Node Lookup:fertility|TI|MM|1095^9^0
10.2307/2937136|*Probability|D011336|981|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probability|TI|MM|3103^11^0
10.2307/2937136|*Elasticity|D004548|264|MH|RtM via: elasticity;Forced Non-Leaf Node Lookup:elasticity|TI|MM|2834^10^0;2527^10^0;609^10^0
27646039|Humans|D006801|37589725|CT|Forced Humans: cohort|TI|MM;RC
27646039|*Seedlings|D036226|3017146|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1149^8^0;905^8^0;127^8^0;1038^8^0;1284^8^0
27646039|*Ecosystem|D017753|1510352|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|269^10^0
27646039|*Wildfires|D000075923|1509506|MH|RtM via: Wildfires;Forced Leaf Node Lookup:wildfires|TI|MM|299^9^0
27646039|*Grasses|D006109|1509446|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM|1655^7^0
27646039|*Specialization|D013038|3042|MH|RtM via: Specialization|TI|MM|1766^14^0
27646039|*Record|D011996|2730|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|533^8^0
27646039|*Conservation of Natural Resources|D003247|2256|MH|RtM via: Natural regeneration|TI|MM|782^12^0
27646039|*Climacteric|D002979|2013|MH|RtM via: Climacteric|TI|MM|804^4^1;833^11^1
27646039|*Flower|D035264|465|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|1238^6^0
27646039|*Skeletons|D012863|171|ET|Entry Term Replacement for "Skeleton";RtM via: Skeleton;Forced Non-Leaf Node Lookup:skeletons|TI|MM|472^9^0
27646039|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|782^12^0
27646039|Demography|D003710|1000|MH|Forced Non-Leaf Node Lookup:demographics||MM|46^11^0;1547^11^0
27646039|*Cohort Studies|D015331|1080|MH|RtM via: Cohort Studies|TI|MM|914^6^0
27646039|California|D002140|612|MH|RtM via: California|TI|MM|321^10^0
10.2307/1943000|Animals|D000818|37957|CT|Sarcophagidae;CT Treecode Lookup: B01.050.500.131 (Sarcophagidae);Flies;CT Treecode Lookup: B01.050.500.131 (Flies);Calliphoridae;CT Treecode Lookup: B01.050.500.131 (Calliphoridae);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae)||MM;RC
10.2307/1943000|Female|D005260|37957|CT|Forced Lookup:female;CT Text Lookup: female;CT Text Lookup: females;Forced Non-Leaf Node Lookup:females|TI|MM;RC|857^6^0
10.2307/1943000|*Sarcophagidae|D058493|36957|MH|RtM via: Sarcophaga bullata;RtM via: Sarcophagidae;Forced Leaf Node Lookup:sarcophagidae;Forced Leaf Node Lookup:sarcophaga;checkForceMH Boosted|TI|MM;RC|603^18^0;623^13^0
10.2307/1943000|*Calliphoridae|D000086542|9074|MH|RtM via: Calliphoridae;RtM via: Lucilia coeruleiviridis;Forced New Lookup:calliphoridae;checkForceMH Boosted|TI|MM|584^13^0;557^25^0
10.2307/1943000|*Larvae|D007814|6715|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted|TI|MM;RC|1620^6^0;1444^6^0;530^6^0
10.2307/1943000|*Flies|D004175|15930|ET|Entry Term Replacement for "Diptera";RtM via: Diptera;Forced Non-Leaf Node Lookup:flies|TI|MM;RC|1771^3^0;1568^3^0;357^5^0;117^5^0
10.2307/1943000|*Causality|D015984|1935|MH|RtM via: Etiology|TI|MM|865^6^0
10.2307/1943000|*Cadaver|D002102|1617|MH|RtM via: Carcass|TI|MM;RC|381^9^0;141^9^0
10.2307/1943000|*Ovipositions|D010058|1455|ET|Entry Term Replacement for "Oviposition";RtM via: Oviposition|TI|MM|363^11^0;123^11^0
10.2307/1943000|Ecology|D004463|1000|MH|Forced Non-Leaf Node Lookup:interspecific competition||MM;RC|1114^25^0
10.2307/2937151|Adult|D000328|53736|CT|Forced Leaf Node Lookup:adults|TI|MM|4195^6^0
10.2307/2937151|Humans|D006801|53736|CT|Lookup: Aged Rule|Lookup: Aged Rule|MM
10.2307/2937151|*Trees|D014197|52736|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|4586^4^0
10.2307/2937151|*Seedlings|D036226|37665|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|3292^9^0;2746^8^0;2169^9^0;1978^8^0;1706^9^0;1578^9^0;1474^9^0;2251^9^0;2001^8^0
10.2307/2937151|*Pinus|D028223|32554|MH|RtM via: Pinus leiophylla;RtM via: Pinus <genus>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM;RC|2400^16^0;3933^4^0;2867^4^0;1158^4^0
10.2307/2937151|*Germination|D018525|25292|MH|RtM via: Germination;Forced Lookup:seed germination;Forced Leaf Node Lookup:germinations|TI|MM|2211^11^0;1362^10^0;2206^16^0
10.2307/2937151|*Droughts|D055864|21625|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM;RC|4808^7^0;1526^7^0;602^7^0;859^7^0
10.2307/2937151|*Soil|D012987|21172|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|4950^4^0;4486^4^0;4238^4^0;3392^4^0;2966^4^0;1804^4^0;1006^4^0;820^4^0;372^4^0;230^4^0;1859^4^0
10.2307/2937151|*Seasons|D012621|20350|MH|RtM via: Summer;RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|1382^6^0;2069^6^0
10.2307/2937151|*Temperature|D013696|18082|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|4243^11^0;3397^11^0;1011^11^0;1809^11^0;2971^11^0
10.2307/2937151|*Wildfires|D000075923|16054|MH|RtM via: Wildfires;Forced Leaf Node Lookup:wild fires|TI|MM|3962^10^0
10.2307/2937151|*Dehydration|D003681|14341|MH|RtM via: Water Stress;Forced Leaf Node Lookup:water stress|TI|MM;RC|2076^12^0;1551^12^0;1269^12^0
