42594428|Humans|D006801|5983738|CT|Forced Humans: man|TI|MM;RC
42594428|Male|D008297|5983738|CT|CT Text Lookup: he;CT Text Lookup: him;CT Text Lookup: man|TI|MM;RC|439^2^0;398^3^0;626^3^0
42594428|*Forestry|D016468|245385|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|195^8^0
42594428|*Specialization|D013038|240114|MH|RtM via: Hospital specialist;Forced Leaf Node Lookup:specialists|TI|MM|749^11^0;648^10^0
42594428|*Colonialism|D018595|738|MH|RtM via: Colonialism|TI|MM|101^8^0
42594428|*Forest|D065928|711|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|322^6^0;167^6^0;110^6^0
42594428|*Knowledge|D019359|705|MH|RtM via: Knowledge|TI|MM|839^9^0
42594428|*Organization|D009938|474|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM|596^12^0;301^12^0
42594428|*Botany|D001901|189|MH|RtM via: Botany;Forced Non-Leaf Node Lookup:botany|TI|MM|117^6^0
42594428|*Attention|D001288|165|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|21^9^0
42594017|Humans|D006801|33890974|CT|Forced Humans: staff|TI|MM;RC
42594017|Animals|D000818|33890974|CT|Tsetse Flies;CT Treecode Lookup: B01.050.500.131 (Tsetse Flies);Glossinidae;CT Treecode Lookup: B01.050.500.131 (Glossinidae)||MM;RC
42594017|*Tsetse Flies|D014370|2719039|MH|Forced Leaf Node Lookup:glossinas;checkForceMH Boosted|TI|MM;RC|377^8^0
42594017|Malawi|D008295|1360506|MH|RtM via: Malawi;Forced Leaf Node Lookup:nyasaland|TI|MM;RC|124^9^0
42594017|*Hands|D006225|34374|ET|Entry Term Replacement for "Hand";RtM via: Hand|TI|MM|279^5^0
42594017|*Glossinidae|D018429|2622|MH|RtM via: Glossina morsitans|TI|MM|377^18^0
42594017|*Forest|D065928|2499|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|288^6^0
42594017|East Africa|D000351|2286|ET|Entry Term Replacement for "Africa, Eastern";RtM via: Africa, Eastern|TI|MM|404^11^0
42593759|Humans|D006801|1180850|CT|Forced Humans: professional;Forced Leaf Node Lookup:professionals;checkForceMH Boosted|TI|MM;RC|290^12^0;739^12^0
42593759|Male|D008297|1180850|CT|CT Text Lookup: he|TI|MM;RC|205^2^0
42593759|*Forestry|D016468|45857|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|390^8^0;329^8^0
42593759|*Propaganda|D011406|45317|MH|RtM via: Propaganda;Forced Leaf Node Lookup:propaganda|TI|MM;RC|699^10^0;413^10^0;338^10^0;523^10^0;623^10^0
42593759|*Reading|D011932|43994|MH|RtM via: Reading (activity);Forced Leaf Node Lookup:reading|TI|MM|303^7^0
42593759|*Societies|D012952|327|MH|RtM via: Societies|TI|MM|752^7^0
42593759|*Surveys and Questionnaires|D011795|177|MH|RtM via: PANEL.SURVEY.SEEK|TI|MM;RC|714^4^0
42593569|Humans|D006801|26547|CT|CT Text Lookup: workers|TI|MM|936^7^0
42593569|Adult|D000328|26547|CT|Forced Leaf Node Lookup:adults|TI|MM|763^5^0;1096^5^0
42593569|*Picea|D028222|25547|MH|RtM via: Picea sitchensis;Forced Leaf Node Lookup:piceas;checkForceMH Boosted|TI|MM;RC|158^16^0;150^6^0
42593569|*Wood|D014934|14545|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|982^4^0;740^4^0;769^4^0;1016^4^0;1102^4^0
42593569|*Trees|D014197|9008|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|474^4^0
42593569|*Respect|D000078682|1912|MH|RtM via: Respect;Forced Leaf Node Lookup:respect|TI|MM|1133^8^0
42593569|*Causality|D015984|804|MH|RtM via: Etiology|TI|MM|502^6^0
42593569|*Biological Phenomena|D001686|681|MH|RtM via: Tissue Growth|TI|MM|138^5^0
42593569|*Physical Phenomena|D055585|561|MH|RtM via: Compression|TI|MM|1004^11^0
42593569|*Inclusion Bodies|D002479|507|MH|RtM via: Inclusion Bodies|TI|MM|969^9^0
42594858|*Forestry|D016468|9955|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|375^8^0;53^8^0;93^8^0
42594858|*Motivation|D009042|1303|MH|RtM via: Incentives;Forced Leaf Node Lookup:incentives|TI|MM|198^9^0
42594858|Conservation of Natural Resources|D003247|211|MH|||RC
42594858|Canada|D002170|30|MH|RtM via: Canada;Forced Non-Leaf Node Lookup:canada|TI|MM|105^6^0
42595102|*Trees|D014197|24039|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|289^5^0
42595102|sodium arsenite|C017947|10258|NM|RtM via: sodium arsenite;Forced SCR Leaf Node Lookup:sodium arsenite|TI|MM|247^15^0
42595102|*Poison|D011042|2505|ET|Entry Term Replacement for "Poisons";RtM via: Poisons;checkForceMH Boosted|TI|MM|233^8^0
42595102|*Forest|D065928|19506|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|117^6^0
42595102|*Sodium Compounds|D017670|10257|HM|RtM via: sodium arsenite|TI|MM|247^15^0
42595102|*Conservation of Natural Resources|D003247|9552|MH|RtM via: Natural regeneration|TI|MM;RC|83^12^0
42595102|*Arsenites|D018053|8139|HM|RtM via: sodium arsenite|TI|MM|247^15^0
42595102|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|83^12^0
42593059|*Forestry|D016468|1788|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|51^8^0
42593059|Finland|D005387|99|MH|RtM via: Finland;Forced Leaf Node Lookup:finland|TI|MM;RC|63^7^0
42593059|*Seasons|D012621|402|MH|RtM via: Summer|TI|MM;RC|132^6^0
42593059|*Protein Structure, Secondary|D017433|12|MH|RtM via: Protein Turn|TI|MM|105^4^0
42595026|*Trees|D014197|3862|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|148^5^0
42595026|Uganda|D014454|341|MH|RtM via: Uganda;Forced Leaf Node Lookup:uganda|TI|MM|168^6^0
42595026|*Abstracting and Indexing|D000043|537|MH|RtM via: Index|TI|MM|55^5^0
42595026|*Research Design|D012107|507|MH|RtM via: Test Method|TI|MM|401^6^0
42595026|*Health Services|D006296|459|MH|RtM via: Test Method|TI|MM|401^6^0
42595026|*Publications|D011642|366|MH|RtM via: Card (document)|TI|MM|61^4^0
42595026|*Dissection|D004210|18|MH|RtM via: Tissue Dissection;Forced Non-Leaf Node Lookup:dissections|TI|MM|306^10^0
42595026|*Elasticity|D004548|18|MH|RtM via: elasticity;Forced Non-Leaf Node Lookup:elasticity|TI|MM|331^10^0
42594379|*Trees|D014197|34296|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|935^5^0;749^4^0;47^5^0
42594379|*Tropical Climate|D014329|5986|MH|Forced Leaf Node Lookup:tropical conditions|TI|MM;RC|480^19^0;1038^19^0
42594379|*Forests|D065928|27159|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|823^6^0;977^7^0
42594379|*Woods|D014934|6450|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM;RC|432^5^0
42594379|*Biological Phenomena|D001686|786|MH|RtM via: Tissue Growth|TI|MM|803^6^0;565^6^0;414^6^0;93^6^0
42593559|Humans|D006801|1888|CT|Asian Continental Ancestry Group;CT Treecode Lookup: M01.686 (Asian Continental Ancestry Group)||MM;RC
42593559|*Forest|D065928|888|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|50^6^0;95^6^0
42593559|*Asian Continental Ancestry Group|D044466|294|MH|RtM via: Asian Indian|TI|MM|43^6^0
