41971826|Animals|D000818|2410|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41971826|*Eriogonum|D031803|550|MH|RtM via: Eriogonum;Forced Leaf Node Lookup:eriogonums;checkForceMH Boosted|TI|MM|361^9^0;21^9^0
41971826|*Geraniaceae|D031314|1410|MH|RtM via: California (plant)|TI|MM|473^10^0;159^10^0
41971826|*Environment|D004777|261|MH|RtM via: Para (geographic area)|TI|MM|401^4^0
41971826|*Coleoptera|D001517|153|MH|RtM via: Sonoma|TI|MM|465^6^0;147^6^0
41971826|*Cognition|D003071|132|MH|RtM via: Above average intellect|TI|MM|249^6^0
41971826|*Flowers|D035264|114|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|263^7^0
41971826|California|D002140|3|MH|RtM via: California|TI|MM|473^10^0;159^10^0
41971679|Humans|D006801|27077896|CT|Forced Humans: families|TI|MM;RC
41971679|Animals|D000818|27077896|CT|Endangered Species;CT Treecode Lookup: B01.050.050 (Endangered Species)||MM;RC
41971679|*Acer|D031002|2170741|MH|RtM via: Acer negundo;Forced Leaf Node Lookup:acer negundos;checkForceMH Boosted|TI|MM|1570^7^1;1583^9^1;521^7^1;534^9^1;1565^4^0;516^4^0
41971679|*Ageratina|D036603|2170480|MH|RtM via: Ageratina;Forced Leaf Node Lookup:ageratinas;checkForceMH Boosted|TI|MM|1367^9^0;379^9^0
41971679|*Quercus|D029963|2170477|MH|RtM via: Quercus;Forced Leaf Node Lookup:quercus;checkForceMH Boosted|TI|MM|1398^7^0;407^7^0
41971679|*Dahlia|D031944|2170264|MH|RtM via: Dahlia scapigera;Forced Leaf Node Lookup:dahlias;checkForceMH Boosted|TI|MM|1617^16^0;568^16^0
41971679|*Achillea|D031162|2170225|MH|RtM via: Achillea millefolium;Forced Leaf Node Lookup:achillea millefoliums;checkForceMH Boosted|TI|MM|1708^20^0;637^20^0
41971679|*Rivers|D045483|2169820|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|1901^5^0;1035^5^0;1082^6^0
41971679|*Ecosystem|D017753|1087898|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM|2056^9^0
41971679|*Asteraceae|D019659|1086977|MH|RtM via: Asteraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asteraceae|TI|MM|1254^10^0;263^10^0
41971679|*Poaceae|D006109|1086566|MH|RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:poaceae|TI|MM|1266^7^0;275^7^0
41971679|*Endangered Species|D056727|1086260|MH|RtM via: Endangered Species;checkForceMH Boosted|TI|MM|1492^10^1;1509^7^1
41971679|*Pinus|D028223|1085750|MH|RtM via: Pinus <genus>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|1383^5^0
41971679|*Caryophyllaceae|D029748|1085156|MH|RtM via: Caryophyllaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:caryophyllaceae|TI|MM|1286^15^0;295^15^0
41971679|*Rosaceae|D027824|1085153|MH|RtM via: Rosaceae (plant);RtM via: Acaena elongata;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rosaceae|TI|MM|1307^8^0;313^8^0;1688^15^0;619^15^0
41971679|*Salvia|D027544|1085045|MH|RtM via: Salvia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:salvias|TI|MM|1354^6^0;366^6^0
41971679|Mexico|D008800|1084460|MH|RtM via: Mexico;RtM via: Mexican;Forced Leaf Node Lookup:mexico|TI|MM|1825^6^0;1092^6^0;1465^7^0
41971679|*Biodiversity|D044822|2475|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|1966^12^0
41971679|*Record|D011996|483|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|1652^8^0;1523^8^0
41971679|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|258^3^0;362^3^0
41972444|Animals|D000818|1000|CT|Forced Treecode Turn Back On: B01.050.500.131.617 (Insecta)||MM
41972444|4-dichlorobenzene|C018511|1192|NM|RtM via: 4-dichlorobenzene;Forced SCR Leaf Node Lookup:paradichlorobenzene|TI|MM|140^19^0
41972444|*Chlorobenzenes|D002722|1191|HM|RtM via: 4-dichlorobenzene|TI|MM|140^19^0
41972444|*Health Services|D006296|1107|MH|RtM via: Test Method|TI|MM|23^6^0
41972444|*Research Design|D012107|768|MH|RtM via: Test Method|TI|MM|23^6^0
41972444|*Genetic Techniques|D005821|630|MH|RtM via: ABI SOLiD Sequencing|TI|MM|93^5^0
41972444|*Naphthalenes|D009281|282|MH|RtM via: Naphthalenes;RtM via: naphthalene;Forced Non-Leaf Node Lookup:naphthalenes|TI|MM|124^11^0
41972444|Magnetic Phenomena|D060328|1000|MH|Forced Non-Leaf Node Lookup:magnetic||MM|56^8^0
41972444|Insecta|D007313|1000|MH|Forced Non-Leaf Node Lookup:insects||MM|99^6^0
41972444|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|680^3^0
41972418|Animals|D000818|3667|CT|Salmon;CT Treecode Lookup: B01.050.150.900.493 (Salmon)|TI|MM
41972418|*DNA, Ribosomal|D004275|2583|MH|RtM via: DNA, Ribosomal;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ribosomal dna|TI|MM|567^13^0
41972418|*Salmon|D012474|2406|MH|RtM via: Salmon;RtM via: Salmon - dietary;checkForceMH Boosted;Forced Non-Leaf Node Lookup:salmon|TI|MM|1041^6^0;649^6^0;411^6^0;48^6^0;432^6^0;1054^6^0
41972418|*Acetyldigitoxins|D000112|1356|MH|RtM via: Adicin;Forced Leaf Node Lookup:adicin;checkForceMH Boosted|TI|MM|1075^6^0
41972418|*Rivers|D045483|918|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|418^5^0
41972418|*Sequence Analysis, DNA|D017422|2175|MH|RtM via: Sequence Analysis, DNA;RtM via: Sequence Determinations, DNA;Forced Non-Leaf Node Lookup:dna sequence analysis|TI|MM|509^21^0
41972418|*Ribosomes|D012270|1056|MH|RtM via: Ribosomes|TI|MM|567^9^0
41972418|*Ericales|D020448|915|MH|RtM via: Polemonium elusum|TI|MM|733^17^0;122^17^0
41972418|*Forest|D065928|165|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|673^6^0;72^6^0
41972418|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|817^3^0
24621076|Female|D005260|117533|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|507^6^0;638^6^0
24621076|*Viscaceae|D028163|33229|MH|RtM via: Arceuthobium;RtM via: Arceuthobium gillii;Forced Leaf Node Lookup:arceuthobiums;checkForceMH Boosted|TI|MM|726^16^0;1596^19^0;98^19^0
24621076|*Phylogeny|D010802|31639|MH|RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic analyses|TI|MM|1121^21^0
24621076|*Mistletoe|D014784|18878|MH|RtM via: Mistletoe;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mistletoes|TI|MM|946^9^0;732^10^0
24621076|*rDNA|D004275|16676|ET|Entry Term Replacement for "DNA, Ribosomal";RtM via: DNA, Ribosomal;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rdna|TI|MM|1174^4^0
24621076|*Base Sequence|D001483|16169|MH|RtM via: Base Sequence;Forced Leaf Node Lookup:nucleotide sequences|TI|MM|1146^20^0
24621076|*Fruit|D005638|16136|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|677^5^0
24621076|Arizona|D001130|15581|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|1689^7^0;211^7^0
24621076|*Bayes Theorem|D001499|15581|MH|Forced Lookup:bayesian|TI|MM|1322^8^0
24621076|Mexico|D008800|15581|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM|191^6^0
24621076|Blood Substitutes|D001802|116533|MH|||RC
24621076|Heart|D006321|37386|MH|||RC
24621076|*Flowers|D035264|882|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|1026^7^0;840^7^0;666^6^0
24621076|Multivariate Analysis|D015999|1000|MH|Forced Non-Leaf Node Lookup:multivariate analysis||MM|220^21^0
24621076|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1831^3^0
41972462|Humans|D006801|9507781|CT|Forced Humans: families|TI|MM;RC
41972462|*Grassland|D065948|1144437|MH|Forced Leaf Node Lookup:grasslands;Forced Leaf Node Lookup:prairies;Forced Leaf Node Lookup:savannas|TI|MM|559^9^0;170^7^0;343^7^0;569^8^0;1117^8^0
41972462|*Introduced Species|D058865|765529|MH|RtM via: Introduced Species;Forced Leaf Node Lookup:introduced species;checkForceMH Boosted|TI|MM|934^18^0
41972462|*Juglans|D031324|764422|MH|RtM via: Juglans;Forced Leaf Node Lookup:walnuts;checkForceMH Boosted|TI|MM|1436^6^0;1407^6^0;264^6^0;231^6^0
41972462|*Indican|D007200|763183|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|2166^7^0
41972462|*Poaceae|D006109|385100|MH|RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:poaceae|TI|MM|2058^7^0;851^7^0
41972462|*Cyperaceae|D029785|384191|MH|RtM via: Cyperaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cyperaceae|TI|MM|2109^10^0;904^10^0
41972462|*Clover|D029902|383543|ET|Entry Term Replacement for "Medicago";RtM via: Clover;checkForceMH Boosted;Forced Non-Leaf Node Lookup:clovers|TI|MM|178^6^0
41972462|*Asteraceae|D019659|383153|MH|RtM via: Asteraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asteraceae|TI|MM|2036^10^0;829^10^0
41972462|*Soils|D012987|382694|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|397^5^0
41972462|*Clays|D000077215|382238|ET|Entry Term Replacement for "Clay";RtM via: clay;checkForceMH Boosted|TI|MM|457^6^0
41972462|*Euphorbiaceae|D019665|382085|MH|RtM via: Euphorbiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:euphorbiaceae|TI|MM|2087^13^0;880^13^0
41972462|*Limestone|D002119|381764|ET|Entry Term Replacement for "Calcium Carbonate";RtM via: Limestone;checkForceMH Boosted;Forced Non-Leaf Node Lookup:limestone|TI|MM|995^9^0;518^9^0;387^9^0;443^9^0
