10.2307/20460169|Animals|D000818|28850|CT|Strigiformes;CT Treecode Lookup: B01.050.150.900.248 (Strigiformes);Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
10.2307/20460169|Humans|D006801|1000|CT|Forced Humans:D Siblings||MM
10.2307/20460169|*Strigiformes|D020305|27850|MH|RtM via: Tyto alba;RtM via: Strigiformes;RtM via: Tytonidae;Forced Leaf Node Lookup:barn owls;Forced Leaf Node Lookup:tyto alba;Forced Leaf Node Lookup:owls;checkForceMH Boosted|TI|MM;RC|153^8^0;163^9^0;260^4^0
10.2307/20460169|*Yersinia pseudotuberculosis Infections|D015012|12697|MH|RtM via: Yersinia pseudotuberculosis Infections;Forced Leaf Node Lookup:pasteurella pseudotuberculosis|TI|MM|48^30^0
10.2307/20460169|*Mycoplasma|D009174|2914|MH|RtM via: Mycoplasma species;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mycoplasma|TI|MM|29^13^0
10.2307/20460169|*Siblings|D035781|2761|MH|RtM via: Sibling;Forced Leaf Node Lookup:siblings|TI|MM|252^7^0
10.2307/20460169|*Yersinia pseudotuberculosis|D015011|4128|MH|RtM via: Yersinia pseudotuberculosis|TI|MM|48^30^0
10.2307/20460169|*Synovial Fluid|D013582|1008|MH|RtM via: Synovial Fluid|TI|MM|115^11^0
10.2307/20460169|*Death|D003643|930|MH|RtM via: Cessation of life;RtM via: Death (finding)|TI|MM|335^4^0
10.2307/20460169|*Osteomyelitis|D010019|885|MH|RtM via: Osteomyelitis;Forced Non-Leaf Node Lookup:osteomyelitis|TI|MM|289^13^0
10.2307/20460173|Animals|D000818|11398|CT|Lameness, Animal;CT Treecode Lookup: C22 (Lameness, Animal);CT Text Lookup: animal|TI|MM;RC|384^6^0
10.2307/20460173|Female|D005260|11398|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|127^6^0
10.2307/20460173|*Femur Head|D005270|2539|MH|Forced Leaf Node Lookup:femoral heads|TI|MM;RC|69^12^0
10.2307/20460173|*Weight Loss|D015431|2021|MH|RtM via: Weight decreased;Forced Leaf Node Lookup:weight loss|TI|MM|321^11^0
10.2307/20460173|*Lameness, Animal|D007794|1865|MH|Forced Leaf Node Lookup:lameness|TI|MM;RC|303^8^0
10.2307/20460173|*Hip Joint|D006621|10398|MH|RtM via: Hip Joint|TI|MM;RC|234^18^0
10.2307/20460173|*Femur|D005269|4992|MH|RtM via: Femur|TI|MM;RC|69^7^0
10.2307/20460173|*Osteoarthritis|D010003|3273|MH|RtM via: Chronic osteoarthritis|TI|MM;RC|182^7^1;200^26^1
10.2307/20460173|*Movement Disorders|D009069|1641|MH|RtM via: Lameness;RtM via: Lameness of quadruped|TI|MM|303^8^0
10.2307/20460173|*Gain, Weight|D015430|762|ET|Entry Term Replacement for "Weight Gain";RtM via: Weight Gain;Forced Non-Leaf Node Lookup:weight gains|TI|MM|578^11^0
10.2307/20460173|*Anesthetic|D000777|372|ET|Entry Term Replacement for "Anesthetics";RtM via: Anesthetic [APC];RtM via: Anesthetics;Forced Non-Leaf Node Lookup:anesthetics|TI|MM|548^10^0
10.2307/20460173|*Eutheria|D000073566|78|MH|RtM via: Myrmecophaga tridactyla;Forced Non-Leaf Node Lookup:anteaters|TI|MM|134^14^0;150^23^0;140^8^0;537^8^0
10.2307/20094850|Animals|D000818|120094|CT|Paratuberculosis;CT Treecode Lookup: C22 (Paratuberculosis);CT Text Lookup: animal;CT Text Lookup: animals;CT Text Lookup: paratuberculosis|TI|MM;RC|161^6^0;1689^7^0;1293^16^0;697^6^0;751^6^0;1478^6^0
10.2307/20094850|Female|D005260|120094|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|1418^6^0
10.2307/20094850|Male|D008297|120094|CT|Forced Lookup:male;CT Text Lookup: male;Forced Non-Leaf Node Lookup:male|TI|MM;RC|41^4^0
