C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\systgeogplan\input.txt
10.2307/3668585|Botany|C0006038|655|MH|||RC
10.2307/3668586|Humans|C0086418|1000|CT|Forced Humans: Students||MM
10.2307/3668586|*Fossils|C0016614|25896|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|176^6^0
10.2307/3668586|*Flowers|C0330090|8922|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|358^6^0;183^7^0;52^7^0
10.2307/3668586|Biological Evolution|C0015219|1320|MH|||RC
10.2307/3668586|*Preservation, Biological|C0033085|1182|MH|RtM via: Biologic Preservation|TI|MM|155^9^0
10.2307/3668586|*Students|C0038492|402|MH|RtM via: student;Forced Non-Leaf Node Lookup:students|TI|MM|625^8^0
10.2307/3668587|*Ovule|C2718098|23263|MH|RtM via: Plant Ovule;Forced Leaf Node Lookup:ovules|TI|MM|1010^5^0
10.2307/3668587|*Zygote|C0043544|21877|MH|RtM via: Structure of zygote;Forced Leaf Node Lookup:zygotes|TI|MM|637^7^0
10.2307/3668587|*Gametes|C2718310|19278|ET|Entry Term Replacement for "Germ Cells";RtM via: Gametes;RtM via: Germ Cells|TI|MM|625^7^0
10.2307/3668587|*Seed|C0036563|7911|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM;RC|888^4^0;485^4^0;273^4^0
10.2307/3668587|*Spore|C0038027|6282|ET|Entry Term Replacement for "Spores";RtM via: Reproduction spores;RtM via: Plant spore;Forced Non-Leaf Node Lookup:spores|TI|MM|533^5^0;394^5^0;494^5^0
10.2307/3668587|*Plant|C0032098|5367|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|323^5^0
10.2307/3668588|*Apiaceae|C0524878|11002|MH|RtM via: Apiaceae;RtM via: Prangos pabularia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:apiaceae|TI|MM|751^8^0;1032^17^0
10.2307/3668588|*Daucus carota|C0242773|9572|MH|RtM via: Daucus muricatus;Forced Leaf Node Lookup:daucus;checkForceMH Boosted|TI|MM|943^16^0
10.2307/3668588|*Hemerocallis|C1001008|4571|MH|RtM via: Hemerocallis fulva;Forced Leaf Node Lookup:hemerocallis;checkForceMH Boosted|TI|MM|508^18^0
10.2307/3668588|*Movement|C0026649|11997|MH|RtM via: Movement|TI|MM|1407^8^0
10.2307/3668588|*Spine|C0037949|10812|MH|RtM via: Vertebral column|TI|MM|909^5^0;847^5^0
10.2307/3668588|*Range of Motion, Articular|C0080078|6405|MH|RtM via: Range of Motion, Articular|TI|MM|130^8^0
10.2307/3668588|*Sports|C0038039|2172|MH|RtM via: Recreational flying|TI|MM|818^6^0
10.2307/3668588|*Plant Structures|C2713306|1896|MH|RtM via: Plant Structures;Forced Non-Leaf Node Lookup:plant structures|TI|MM|1302^16^0
10.2307/3668589|Humans|C0086418|1000|CT|Forced Humans: Researchers||MM
10.2307/3668589|*Cardamine|C1015356|10314|MH|RtM via: Cardamine trifida;Forced Leaf Node Lookup:cardamines;checkForceMH Boosted|TI|MM;RC|72^17^0
10.2307/3668589|*Ecology|C0013546|2736|MH|RtM via: Ecology|TI|MM|61^7^0
10.2307/3668589|*Plant Leaves|C0242724|693|MH|RtM via: Plant Leaves|TI|MM|214^4^0
10.2307/3668589|*Researchers|C0035173|345|ET|Entry Term Replacement for "Research Personnel";RtM via: Research Personnel|TI|MM|197^11^0
10.2307/3668590|*Inflorescence|C2697680|25813|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM;RC|287^13^0
10.2307/3668590|thiacloprid|C0962702|1832|NM|Forced SCR Leaf Node Lookup:calypso|TI|MM|67^7^0;320^7^0
10.2307/3668590|*Orchidaceae|C0949956|11946|MH|RtM via: Calypso bulbosa;RtM via: Malaxis monophyllos|TI|MM;RC|320^15^0;67^15^0;206^19^0;87^19^0
10.2307/3668590|*Plant Leaves|C0242724|3408|MH|RtM via: Plant Leaves|TI|MM;RC|412^4^0
10.2307/3668590|*Psychotherapy|C0033968|1218|MH|RtM via: Structural analysis|TI|MM|144^19^0
10.2307/3668590|*Research|C0035168|1044|MH|RtM via: Study|TI|MM|116^7^0
10.2307/3668591|*Galanthus|C0331657|191574|MH|RtM via: Galanthus;RtM via: Galanthus nivalis;Forced Leaf Node Lookup:galanthus nivalis;checkForceMH Boosted|TI|MM;RC|1025^9^0;857^9^0;38^17^0
10.2307/3668591|*Amaryllidaceae|C0446223|64087|MH|RtM via: Amaryllidaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:amaryllidaceae|TI|MM|796^14^0
10.2307/3668591|*Inflorescence|C2697680|27709|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|101^14^0
10.2307/3668591|*Plant Leaves|C0242724|10581|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|441^6^0;136^6^0
10.2307/3668591|Plant Shoots|C0242729|1595|MH|||RC
10.2307/3668592|Animals|C0003062|18112|CT|Cestoda;CT Treecode Lookup: B01.050.500.500 (Cestoda)||MM;RC
10.2307/3668592|*Cyperaceae|C0950025|17112|MH|RtM via: Cyperaceae;RtM via: Scleria (plant);RtM via: Scleria (subgenus);checkForceMH Boosted;Forced Non-Leaf Node Lookup:cyperaceae|TI|MM;RC|117^10^0;328^7^0;260^7^0;108^7^0
10.2307/3668592|*Cestoda|C1706526|174|MH|RtM via: Ligula|TI|MM|379^6^0;169^6^0;156^6^0
10.2307/3668592|*Record|C0034869|171|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|220^8^0
10.2307/3668592|*Hairs|C0018494|75|ET|Entry Term Replacement for "Hair";RtM via: Hair|TI|MM|428^5^0
10.2307/3668592|*Attention|C0004268|33|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|47^9^0
10.2307/3668593|*Mycorrhizae|C1136244|105494|MH|RtM via: Mycorrhizae;Forced Leaf Node Lookup:mycorrhizas;checkForceMH Boosted|TI|MM;RC|483^11^0;317^11^0
10.2307/3668593|*Endophytes|C1265415|31082|MH|RtM via: Endophytes;Forced Leaf Node Lookup:endophytes;checkForceMH Boosted|TI|MM|267^10^0
10.2307/3668593|*Araliaceae|C0969708|11758|MH|RtM via: Araliaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:araliaceae|TI|MM|572^10^0;65^10^0
10.2307/3668593|Spores, Fungal|C0038029|25335|MH|Spores Specifics:Spores||MM;RC
10.2307/3668593|*Glomeromycota|C1227878|53427|MH|RtM via: Glomus albidum|TI|MM;RC|107^14^0
10.2307/3668593|*Plant Roots|C0242726|20994|MH|RtM via: Plant Roots|TI|MM;RC|607^5^0;28^5^0
10.2307/3668594|*Meristem|C0242728|62598|MH|RtM via: Meristem;Forced Leaf Node Lookup:meristems|TI|MM;RC|142^9^0
10.2307/3668594|*Inflorescence|C2697680|36261|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|591^13^0
10.2307/3668594|*Pollination|C1522786|27924|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM|265^11^0
10.2307/3668594|*Trees|C0040811|20910|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|1168^4^0
10.2307/3668594|*Reproduction|C0035150|18357|MH|RtM via: Reproduction;RtM via: flowering|TI|MM;RC|826^12^0;305^12^0;104^12^0;528^9^0
