C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\tranamermicrsoci\input.txt
10.2307/3224628|Animals|C0003062|68320|CT|Animal Shells;CT Treecode Lookup: A13.080 (Animal Shells);Crustacea;CT Treecode Lookup: B01.050.500.131 (Crustacea)||MM;RC
10.2307/3224628|Washington|C0043038|67320|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM;RC|668^10^0
10.2307/3224628|Montana|C0026506|66981|MH|RtM via: Montana (geographic location);Forced Leaf Node Lookup:montana|TI|MM;RC|680^7^0
10.2307/3224628|Oregon|C0029195|38952|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|652^6^0
10.2307/3224628|Wyoming|C0043287|38901|MH|RtM via: Wyoming;Forced Leaf Node Lookup:wyoming|TI|MM|693^7^0
10.2307/3224628|Nevada|C0027951|32595|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM|630^6^0
10.2307/3224628|*Ponds|C0337048|28683|MH|RtM via: Natural pond;Forced Leaf Node Lookup:ponds|TI|MM|560^5^0
10.2307/3224628|*Lakes|C0337049|26454|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|451^4^0;156^4^0
10.2307/3224628|*Animal Shells|C3178905|14307|MH|RtM via: Animal Shells;Forced Leaf Node Lookup:carapaces|TI|MM|405^8^0
10.2307/3224628|*Honey|C0019906|12585|MH|RtM via: Honey;Forced Leaf Node Lookup:honey|TI|MM|445^5^0;150^5^0
10.2307/3224628|California|C0006754|22953|MH|RtM via: California;RtM via: Lassen County, CA|TI|MM|608^10^0;177^10^0;162^13^0
10.2307/3224628|*Crustacea|C0010395|8796|MH|RtM via: Lepidurus lemmoni|TI|MM;RC|28^17^0;247^9^0
10.2307/3224628|*Habitats|C0871648|8124|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|500^8^0
10.2307/3224628|*Marital Status|C0024819|3495|MH|RtM via: Legally Separated|TI|MM|490^9^0
10.2307/3224629|Animals|C0003062|78724|CT|Perciformes;CT Treecode Lookup: B01.050.150.900.493 (Perciformes);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Beloniformes;CT Treecode Lookup: B01.050.150.900.493 (Beloniformes)||MM;RC
10.2307/3224629|*Parasites|C0030498|15753|MH|RtM via: Hematozoic parasite;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|169^15^0;175^9^0
10.2307/3224629|Puerto Rico|C0034044|7596|MH|RtM via: Puerto Rico;Forced Leaf Node Lookup:puerto rico|TI|MM;RC|147^11^0
10.2307/3224629|*Perciformes|C0030983|77724|MH|RtM via: Auxis thazard;RtM via: Caranx hippos;RtM via: Lutjanus apodus;RtM via: Ocyurus chrysurus;RtM via: Scarus croicensis;RtM via: Sparisoma aurofrenatum;RtM via: Caranx bartholomaei;RtM via: Haemulon aurolineatum|TI|MM;RC|544^13^0;619^13^0;579^15^0;340^15^0;596^17^0;367^17^0;474^17^0;501^22^0;394^19^0;444^21^0
10.2307/3224629|*Fishes|C0016163|47556|MH|RtM via: Fishes;Forced Non-Leaf Node Lookup:fishes|TI|MM;RC|255^6^0;87^6^0
10.2307/3224629|*Beloniformes|C0949587|14820|MH|RtM via: Hemiramphus brasiliensis|TI|MM|303^24^0
10.2307/3224629|*Eucoccidiida|C0085317|6801|MH|RtM via: Haemogregarina bigemina|TI|MM;RC|213^23^0
10.2307/3224629|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infection||MM|667^9^0
10.2307/3224630|Animals|C0003062|3005|CT|Asterias;CT Treecode Lookup: B01.050.500.408 (Asterias)||MM;RC
10.2307/3224630|*Asterias|C1093020|2005|MH|RtM via: Asterias forbesi;Forced Leaf Node Lookup:asterias;checkForceMH Boosted|TI|MM;RC|118^16^0
10.2307/3224630|*Digestive System|C0012240|1128|MH|RtM via: Vascular structure of stomach|TI|MM|93^14^0
10.2307/3224630|*Pancreas|C0030274|561|MH|RtM via: Stem of Organ|TI|MM|69^5^1;80^7^1
10.2307/3224630|*Head|C0018670|468|MH|RtM via: Head|TI|MM|75^4^0
10.2307/3224631|Animals|C0003062|22246|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda);Air Sacs;CT Treecode Lookup: A13.048 (Air Sacs);CT Text Lookup: air sacs|TI|MM;RC|114^8^0
10.2307/3224631|Japan|C0022341|10365|MH|RtM via: Japan;Forced Leaf Node Lookup:japan|TI|MM|333^5^0
10.2307/3224631|*Air Sacs|C0001878|6969|MH|RtM via: Abdominal air sac;Forced Leaf Node Lookup:air sacs|TI|MM;RC|104^18^0;114^8^0
10.2307/3224631|*Charadriiformes|C0325773|21246|MH|RtM via: Charadrius vociferus;RtM via: Recurvirostra;RtM via: Recurvirostra americana|TI|MM;RC|437^8^0;447^18^0;130^6^0;138^23^0
10.2307/3224631|*Birds|C0005595|16728|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|293^5^0
10.2307/3224631|*Trematoda|C0040818|7716|MH|RtM via: Cyclocoelum|TI|MM;RC|28^11^0
10.2307/3224631|Australia|C0004340|7296|MH|RtM via: Australia;Forced Non-Leaf Node Lookup:australia|TI|MM|344^9^0
