C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\wateintejwatebio\input.txt
10.2307/1521988|Animals|C0003062|30595|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
10.2307/1521988|Female|C0086287|30595|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|798^7^0
10.2307/1521988|Male|C0086582|30595|CT|CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|811^5^0
10.2307/1521988|Humans|C0086418|30595|CT|Forced Leaf Node Lookup:humans|TI|MM|1123^5^0
10.2307/1521988|*Wind|C0043187|26679|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:winds|TI|MM|934^5^0
10.2307/1521988|*Sewage|C0036861|16911|MH|RtM via: Sewage;Forced Leaf Node Lookup:sewage;checkForceMH Boosted|TI|MM|1198^6^0;1129^6^0
10.2307/1521988|*Rivers|C0337050|15258|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|177^5^0
10.2307/1521988|*Poisons|C0032346|15006|MH|RtM via: Poisons;checkForceMH Boosted|TI|MM|691^9^0
10.2307/1521988|*Charadriiformes|C0325773|29595|MH|RtM via: Rissa tridactyla;RtM via: Larus tridactyla|TI|MM;RC|63^23^0;88^16^0
10.2307/1521988|*Birds|C0005595|27123|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|950^5^0;710^5^0
10.2307/1521988|*Blooms, Algal|C0002035|11049|ET|Entry Term Replacement for "Eutrophication";RtM via: Algal Bloom|TI|MM|654^12^0
10.2307/1521988|*Nutrients|C0678695|10212|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1179^9^0
10.2307/1521988|*Breeding|C0006159|8466|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|54^8^0
10.2307/1521988|*Mouth|C0226896|4338|MH|RtM via: Oral cavity;Forced Non-Leaf Node Lookup:mouth|TI|MM|164^5^0
10.2307/1521988|England|C0014282|123|MH|RtM via: England|TI|MM|194^7^0
10.2307/1521989|Animals|C0003062|23596|CT|Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
10.2307/1521989|Antarctic Regions|C0454691|12716|MH|RtM via: Antarctica;Forced Leaf Node Lookup:antarctica|TI|MM;RC|846^10^0;719^10^0;301^10^0;137^10^0;107^9^0
10.2307/1521989|*Bird|C0005595|22596|ET|Entry Term Replacement for "Birds";RtM via: Aves;RtM via: Thalassoica antarctica;Forced Non-Leaf Node Lookup:petrel|TI|MM;RC|790^4^0;107^16^0;125^22^0;117^6^0
10.2307/1521989|*Breeding|C0006159|7908|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|473^8^0;218^8^0
10.2307/1521990|Animals|C0003062|122212|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Disease Vectors;CT Treecode Lookup: N06.850.310.350 (Disease Vectors)||MM;RC
10.2307/1521990|*Charadriiformes|C0325773|121212|MH|RtM via: Laridae;RtM via: California gull;Forced Leaf Node Lookup:gulls;checkForceMH Boosted|TI|MM;RC|992^5^0;735^5^0;589^5^0;508^5^0;204^5^0;1204^15^0;96^16^0;114^18^0;107^5^0;276^5^0;306^5^0;1215^4^0
10.2307/1521990|*Seasons|C0036497|54534|MH|RtM via: Seasons;RtM via: Autumn;RtM via: Winter;RtM via: spring (season);Forced Leaf Node Lookup:seasonal;Forced Leaf Node Lookup:seasons|TI|MM;RC|1314^6^0;1051^6^0;365^6^0;388^4^0;727^6^0;408^6^0;784^6^0;338^6^0;44^8^0
10.2307/1521990|San Francisco|C0036152|15711|MH|RtM via: San Francisco;Forced Leaf Node Lookup:san francisco|TI|MM|684^13^0
10.2307/1521990|British Columbia|C0006193|10023|MH|RtM via: British Columbia;Forced Leaf Node Lookup:british columbia|TI|MM;RC|702^16^0
10.2307/1521990|Mexico|C0025885|8748|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM|845^6^0
10.2307/1521990|*Habitats|C0871648|19350|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1379^8^0
10.2307/1521990|*Breeding|C0006159|12024|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|1305^8^0;1042^8^0;1014^8^0;579^8^0;287^8^0;356^8^0;1084^8^0
10.2307/1521990|*Disease Vectors|C0012656|6216|MH|RtM via: Disease Vectors|TI|MM|494^6^0
10.2307/1521991|Animals|C0003062|50641|CT|Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird);Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes)||MM;RC
10.2307/1521991|*Population Density|C0032665|49641|MH|RtM via: Population Size;Forced Leaf Node Lookup:population sizes|TI|MM;RC|839^16^0
10.2307/1521991|Utah|C0042124|22659|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM;RC|138^4^0
10.2307/1521991|*Lakes|C0337049|21012|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|132^4^0;174^4^0
10.2307/1521991|Oregon|C0029195|15009|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|186^6^0
