C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\westnortamernatu\input.txt
41717010|Animals|C0003062|55879|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41717010|*Coleoptera|C0009276|54879|MH|RtM via: Order Coleoptera;RtM via: darkling beetles;RtM via: Darkling beetle;RtM via: Eleodes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:coleoptera|TI|MM;RC|93^10^0;105^13^0;1164^15^0;60^15^0;79^7^0;69^6^0;1173^6^0
41717010|*Temperature|C0039476|37047|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|664^11^0;289^11^0
41717010|*Cactus|C0330340|28626|ET|Entry Term Replacement for "Cactaceae";RtM via: Cactaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cactus|TI|MM|956^6^0
41717010|*Soil|C0037592|24291|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1013^4^0
41717010|*Population Density|C0032665|22317|MH|RtM via: Population Density;Forced Leaf Node Lookup:population densities|TI|MM;RC|468^20^0
41717010|Colorado|C0009399|8586|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM;RC|174^8^0
41717010|*Weather|C0043085|47724|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM;RC|280^7^0;400^7^0
41717010|*Seasons|C0036497|11622|MH|RtM via: Summer|TI|MM;RC|229^7^0
41717010|*Molecular Conformation|C0026377|3756|MH|RtM via: Molecular Conformation|TI|MM|1119^7^0
41717011|Animals|C0003062|130420|CT|Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Homing Behavior;CT Treecode Lookup: F01.145.113.646 (Homing Behavior);Cyprinidae;CT Treecode Lookup: B01.050.150.900.493 (Cyprinidae);CT Text Lookup: fish;CT Text Lookup: home range;CT Text Lookup: home ranges|TI|MM;RC|287^4^0;2087^11^0
41717011|*Homing Behavior|C0019861|41977|MH|RtM via: Home Range;Forced Leaf Node Lookup:home ranges|TI|MM|3030^11^0;2087^11^0
41717011|Colorado|C0009399|17737|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM;RC|3280^8^0;3077^8^0;2805^8^0;39^8^0;149^8^0
41717011|*Rivers|C0337050|129420|MH|RtM via: Rivers|TI|MM;RC|2838^5^0;2885^5^0;2685^5^0;2522^5^0;2112^5^0;2038^5^0;1691^5^0;1570^5^0;1286^5^0;1152^5^0;1039^5^0;909^5^0;686^5^0;733^6^0;629^5^0;530^5^0;403^5^0;449^6^0;142^5^0
41717011|*Habitat|C0871648|49506|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|3402^8^0;3309^7^0;3045^8^0
41717011|*Cyprinidae|C0010613|22866|MH|RtM via: Ptychocheilus lucius|TI|MM;RC|60^20^0
41717012|Animals|C0003062|402925|CT|Livestock;CT Treecode Lookup: B01.050.050 (Livestock)||MM;RC
41717012|*Juniperus|C0330152|401925|MH|RtM via: Juniper;RtM via: Juniperus;RtM via: Juniperus occidentalis;Forced Leaf Node Lookup:juniperus occidentalis;Forced Leaf Node Lookup:junipers;checkForceMH Boosted|TI|MM;RC|880^7^0;627^7^0;384^7^0;50^7^0;59^22^0;272^7^0
41717012|*Trees|C0040811|178183|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1065^5^0;919^5^0;705^5^0;665^5^0
41717012|*Livestock|C2936506|56692|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM|1244^9^0
41717012|*Artemisia|C0331308|31793|MH|RtM via: Artemisia tridentata;checkForceMH Boosted;Forced Non-Leaf Node Lookup:artemisias|TI|MM;RC|135^20^0;120^13^0;124^9^0
41717012|*Woodland|C0086312|116022|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM;RC|1174^9^0;1014^8^0;888^8^0;1208^9^0
41717012|*Fire|C0016141|68481|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM;RC|1273^4^0
41717012|Pacific Northwest|C0030170|1089|ET|Entry Term Replacement for "Northwestern United States";RtM via: Pacific Northwest|TI|MM|176^17^0
41717013|Animals|C0003062|207328|CT|Pupae;CT Treecode Lookup: B05.500 (Pupae);Pupae;CT Treecode Lookup: G07.345.500.550.500 (Pupae);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);Chironomidae;CT Treecode Lookup: B01.050.500.131 (Chironomidae)||MM;RC
41717013|United States|C0041703|207328|CT|Forced Leaf Node Lookup:in the usa|TI|MM|440^10^0
41717013|*Pupae|C0034120|206328|ET|Entry Term Replacement for "Pupa";RtM via: Pupa;checkForceMH Boosted|TI|MM;RC|982^5^0;113^5^0
41717013|*Larvae|C0023047|79137|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM;RC|575^6^0
41717013|*Zinc|C0043481|74310|MH|RtM via: Zinc;RtM via: Dietary Zinc;checkForceMH Boosted;Forced Non-Leaf Node Lookup:zinc|TI|MM;RC|856^4^0
41717013|*Chironomidae|C0008135|64154|MH|Forced Leaf Node Lookup:chironomids;checkForceMH Boosted|TI|MM;RC|129^10^0;375^10^0
41717013|*Altitude|C0002349|59046|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM;RC|804^8^0
41717013|*Temperature|C0039476|47634|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|814^11^0
41717013|*Pollutants|C0014417|40680|ET|Entry Term Replacement for "Environmental Pollutants";RtM via: Environmental Pollutants;checkForceMH Boosted|TI|MM|64^8^0
41717013|*Multivariate Analysis|C0026777|35283|MH|RtM via: Multivariate Analysis;Forced Leaf Node Lookup:multivariate analysis|TI|MM|1127^21^0
41717013|Arkansas|C0003790|30249|MH|RtM via: Arkansas;Forced Leaf Node Lookup:arkansas|TI|MM;RC|41^8^0
41717013|Colorado|C0009399|30222|MH|Forced Leaf Node Lookup:colorado|TI|MM|1410^8^0
41717013|*River|C0337050|112965|ET|Entry Term Replacement for "Rivers";RtM via: Rivers|TI|MM;RC|1120^5^0;906^5^0;788^5^0;434^5^0;248^5^0;77^5^0
41717013|*Mining|C0026175|93738|MH|RtM via: Mining|TI|MM;RC|21^6^0
41717013|*Heavy Metals|C0347988|83580|ET|Entry Term Replacement for "Metals, Heavy";RtM via: Metals, Heavy;Forced Non-Leaf Node Lookup:heavy metals|TI|MM;RC|88^12^0
41717013|*Habitats|C0871648|46467|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1095^8^0;612^8^0
41717014|Animals|C0003062|1000|CT|Forced Treecode Turn Back On: B01.050.500.131.617 (Insecta)||MM
41717014|*Pollutants|C0014417|26181|ET|Entry Term Replacement for "Environmental Pollutants";RtM via: Environmental Pollutants;checkForceMH Boosted|TI|MM|59^8^0
41717014|*Altitude|C0002349|22986|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|773^8^0
41717014|*Temperature|C0039476|20505|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|789^11^0
41717014|Arkansas|C0003790|16257|MH|RtM via: Arkansas;Forced Leaf Node Lookup:arkansas|TI|MM;RC|995^8^0;31^8^0
41717014|Colorado|C0009399|15875|MH|Forced Leaf Node Lookup:colorado|TI|MM;RC|1272^8^0
41717014|*River|C0337050|107019|ET|Entry Term Replacement for "Rivers";RtM via: Rivers|TI|MM;RC|1004^5^0;909^5^0;850^5^0;224^5^0
41717014|*Mining|C0026175|98196|MH|RtM via: Mining|TI|MM;RC|91^6^0
