C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\zeitpflapflapfla\input.txt
43230740|Animals|C0003062|13594|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids)|TI|MM
43230740|*Beta vulgaris|C0330391|12594|MH|RtM via: Beets;Forced Leaf Node Lookup:beets;checkForceMH Boosted|TI|MM|2319^5^0;1552^5^0;2372^5^0
43230740|*Water|C0043047|3990|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1452^5^0
43230740|*Plant Leaves|C0242724|4731|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|2689^6^0
43230740|*Aphids|C0003562|1506|MH|RtM via: Aphis <genus>;RtM via: Aphis <subgenus>|TI|MM|2532^5^0;2388^5^0;1892^5^0;1538^5^0
43230740|*Seasons|C0036497|852|MH|RtM via: Summer|TI|MM|2049^6^0
43230740|*Antioxidants|C0003402|609|MH|RtM via: Beets preparation|TI|MM|2319^5^0;1552^5^0
43230740|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infection||MM|1787^9^0
43230740|Germany|C0017480|6|MH|RtM via: Germany|TI|MM|2294^7^0
43230741|Animals|C0003062|208495|CT|Ants;CT Treecode Lookup: B01.050.500.131 (Ants);Plant Louse;CT Treecode Lookup: B01.050.500.131 (Plant Louse);Insects;CT Treecode Lookup: B01.050.500.131 (Insects);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Wool;CT Treecode Lookup: A13.970 (Wool);CT Text Lookup: wool|TI|MM;RC|246^4^0
43230741|Humans|C0086418|1000|CT|Forced Humans: Transients and Migrants||MM
43230741|*Ants|C0003455|207495|MH|RtM via: Ants;RtM via: Formica rufa;Forced Leaf Node Lookup:ants;checkForceMH Boosted|TI|MM;RC|2067^3^0;1196^4^0;537^4^0;393^4^0;927^12^0;132^12^0
43230741|*Trees|C0040811|110639|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1917^5^0;1055^5^0
43230741|*Snow|C0037386|85921|MH|RtM via: snow - weather;RtM via: Snow (substance);Forced Leaf Node Lookup:snow|TI|MM|921^4^0
43230741|*Plant Louse|C0003562|61723|ET|Entry Term Replacement for "Aphids";RtM via: Aphids;RtM via: Aphis <genus>;RtM via: Aphis <subgenus>;checkForceMH Boosted|TI|MM|2182^10^0;1860^11^0;1671^11^0;808^11^0;377^10^0;170^5^0
43230741|*Fruit|C0016767|43414|MH|RtM via: Berries;Forced Leaf Node Lookup:berries|TI|MM|1129^7^0
43230741|*Sugar|C0242209|33604|ET|Entry Term Replacement for "Sugars";RtM via: Sugars;RtM via: RAW SUGAR;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sugars|TI|MM|1873^5^0;1683^5^0
43230741|*Mushrooms|C0001774|33400|ET|Entry Term Replacement for "Agaricales";RtM via: Agaricales;RtM via: Mushroom - dietary;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mushrooms|TI|MM|1929^9^0
43230741|*Wool|C0043220|29722|MH|RtM via: Wool;Forced Leaf Node Lookup:wool|TI|MM|246^4^0
43230741|*Charcoal|C0007955|27838|MH|RtM via: Charcoal;checkForceMH Boosted|TI|MM|1641^5^0
43230741|*Plant Bark|C0949119|25906|MH|Forced Leaf Node Lookup:bark|TI|MM|180^4^0;603^4^0
43230741|*Transients and Migrants|C0040705|25906|MH|Forced Leaf Node Lookup:nomads|TI|MM|2163^6^0
43230741|*Insects|C0021585|42543|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|1884^7^0;1577^7^0;337^7^0
43230741|*Forest|C0086312|40167|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|2060^6^0;1621^6^0
43230741|*Rain|C0034640|39039|MH|RtM via: Rain;Forced Non-Leaf Node Lookup:rain|TI|MM|913^4^0
43230741|*Birds|C0005595|34464|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|526^5^0
