2PWjl4AAAAAJ;Raphael  Ligeiro;10.1086/676951
nEuQnpoAAAAJ;Philip R. Kaufmann;10.1086/676951,10.2307/3060904,40792665,20491196,09-174,1468324
zfC1dFkAAAAJ;Marcos  Callisto;10.1086/676951,10.1086/681093,23034860,4095736
1UtBASMAAAAJ;Colby  Loucks;3061417,20143357
IgnRolMAAAAJ;John  Lamoreux;3061417,20143357
85rIINMAAAAJ;Michael  Kalyuzhny;43493773
e8qqauUAAAAJ;Yishai  Schreiber;43493773
-7KL6G0AAAAJ;David A. Kessler;43493773
1dRj9L4AAAAJ;Mark  Dixon;3450987
xM8vdmMAAAAJ;Tamara  Harms;3450987
igUolfoAAAAJ;Jim  Heffernan;3450987
NE5A50wAAAAJ;Gabrielle  Katz;3450987,41425848
y-T7yncAAAAJ;Brian  Palik;25470323
e5yIek8AAAAJ;Hyun-Woo  Kim;20111451
lIcwZy0AAAAJ;Ryan A. Ellingson;41261855,4134839
SQIewXAAAAAJ;David K. Jacobs;41261855,2680283,2400792,2400999
-6GcgOgAAAAJ;Lance A. Waller;29779525,29779534
WMKFJR0AAAAJ;Bradley P. Carlin;29779525,24831608
B5zNqbsAAAAJ;Michael P. Gilmore;4256516
KckiT4sAAAAJ;Robert W. Henderson;25622941,10.2307/1443914,24320247,4126501,10.2307/1445014,24320319,10.2307/1563294,4092939,3891406,41415261,10.2307/1565623,4498593,3891694,10.2307/1564566,3892198,10.2307/1563151,3891542,10.2307/1562981,10.2307/1563630,3890753,10.2307/1563913,3892478,10.2307/1562779,10.2307/1562796,3892057,3891457,3891427,3890775,10.2307/1563070,10.2307/1562826,10.2307/1564900,10.2307/1563307,10.2307/1563975,10.2307/1563626
MCwGybUAAAAJ;Robert J. Denver;3884923,40405963,3884703,30158048
TQ0sXgUAAAAJ;Marnie  Phillips;10.2307/176694
j87HKiIAAAAJ;Karim  Barkaoui;24572020
1PjvLXUAAAAJ;Maud  Bernard-Verdier;24572020
_BuUq3MAAAAJ;David L Strayer;41811418,43188515,25741222
u9Xu_1kAAAAJ;David L Strayer;41811418,43188515,25741222
rOsu15wAAAAJ;John D Rothlisberger;27809110
y6E9TycAAAAJ;Roger M Cooke;27809110
W2nZvQIAAAAJ;Jean-Luc  Jannink;23787188
qMEs1TEAAAAJ;Edmund  Russell;3985851,3985709
Oa0eUYYAAAAJ;Crispin Y. Jordan;24704046,41460082,23261942,24033864
x5nK0lkAAAAJ;Berry  Brosi;25595113,20440939,25595033
NrKQ3HgAAAAJ;Liba  Pejchar;25595113,25595034
oDu7hcoAAAAJ;Gareth J. Russell;3061186,2989856,10.2307/5805,3505577
c8c6XrgAAAAJ;Moritz  von der Lippe;30243246,27743562
RU59EQ8AAAAJ;Sergei V. Drovetski;4095223,3677625,3677383
DEdQTgsAAAAJ;Gabriel  Marroig;2680265,3448958,41503458,24032746,24575318
k0u6UIAAAAAJ;David L. Kaplan;10.2307/3544730,4215968
FC9ukk0AAAAJ;Luis O. Lucifora;3683399
xx6KDsUAAAAJ;Steven  Bachman;29738701,3683611
mzKnaKkAAAAJ;Eimear M. Nic Lughadha;29738701
LY_jalQAAAAJ;Romeo  Di Pietro;41245533
8-PP_I0AAAAJ;Silvia  De Monte;23327707
6hHxh78AAAAJ;Barbara  Boldin;23261998
I1kOWTEAAAAJ;David R. Lenat;10.2307/1467151,10.2307/1467422,10.2307/1467461,10.2307/1467606,10.2307/1467463
uhDVzFgAAAAJ;Michael Vincent McGinnis;43436571
qRIRMZcAAAAJ;Marco  Calderisi;23064546
l4t4nn4AAAAJ;Ilaria  Bonini;23064546,25133914
f543gO8AAAAJ;Thomas  Gübitz;41240791
TW6Vl0AAAAAJ;Scott  Goetz;23328057
Phqz2PYAAAAJ;Duncan A. Christie;25470363
emsvMUUAAAAJ;Claire  Arnold;23264771
EskiIyEAAAAJ;Simon  Wood;3682912
ITWa25oAAAAJ;Olivia M Cheriton;23034443
ZVESMaEAAAAJ;Margaret A McManus;23034443
MnKODIAAAAAJ;Tobias  Plieninger;40792948
