xJK5gVMAAAAJ;Jeanine  Rhemtulla;41811840,23470943
_4CrwbcAAAAJ;Elizabeth T. Methratta;40310121,24870707
1NNMackAAAAJ;Renata  Manconi;3701508
69XIDjoAAAAJ;Kristen A. Baum;10.2307/2641149,3450423,4540114,41262799,41319060,3548650
a99pu-AAAAAJ;John M. Antle;3659052
cAwbNQUAAAAJ;Jonathan W. Leff;41413043
MOB9GoMAAAAJ;James F. Gillooly;27651316,41151171,3450341,3884951,40235229
-nywVOYAAAAJ;Stewart  Schultz;10.2307/2640707
nh6xxIcAAAAJ;W. Gregory Cope;10.1086/674141,20491220,40206212,20491157,09-128R
ISF0h_UAAAAJ;Thomas J. Kwak;10.1086/674141,10.2307/2641404,40206212,3858335,4221604
aWb-PJAAAAAJ;Josh  Trapani;1448095,20172977
0KOJA-IAAAAJ;Katharine N. Farrell;43526944
y8Y4BX4AAAAJ;J. Orlando Rangel-Ch;23641828,23641829
edtMyO8AAAAJ;Dennis  Nyberg;10.2307/2407158,10.2307/2408343,1383476
9hdUez8AAAAJ;Njal  Rollinson;25140811,23435979,40060516,40060500,41499892,24033441
0mBYy64AAAAJ;Kimberlyn  Nelson;10.2307/1380848
58ZBmxoAAAAJ;Maria Marta Cigliano;2673319,10.2307/3503509,10.2307/3503466,10.2307/3503532
caFRlhgAAAAJ;Carlos E. Lange;2673319,3657120,10.2307/3503509
GpQLMEoAAAAJ;Lisha  Zhang;43191289
aV1asXAAAAAJ;Dana  Lepofsky;4256644,4255429
kiitjegAAAAJ;Brendan  O''Fallon;30142910
X1U1AFIAAAAJ;Barbara  Fischer;29783010
4FetZzQAAAAJ;Omkar;20104053
-FA1WN8AAAAJ;Simon D. Hoyle;10.2307/2641054
irkr_3YAAAAJ;Thomas  Foken;40062260
c7ZpqT0AAAAJ;Mark S Boyce;23034491,41480001
IOAMnCUAAAAJ;Youngdong Kim;4255880
0H9lc0MAAAAJ;Catherine  Leigh;10.1899/12-002.1,41416757
tc-pZ3UAAAAJ;Fran  Sheldon;10.1899/12-002.1,41723011,41416757
y0OPl44AAAAJ;Bonnie L. Brown;10.2307/2409722,1383711
nOxhsOgAAAAJ;Roberto  Refinetti;20103959,20106320,30164183
pJQ5i2YAAAAJ;Emilio  Balletto;3094748,40310196
gjjTpVQAAAAJ;Ruan  Veldtman;41242835
vgIRE-4AAAAJ;Matthew C. Hansen;4543332
NUofJlsAAAAJ;D. Brent Burt;30134279
BT1k_dMAAAAJ;Matthias  Waltert;3589001,4493653,4543443
5Mkyk4QAAAAJ;Ani  Mardiastuti;3589001
tHB3ex8AAAAJ;Lucinda  McDade;10.2307/2409347
JJykv-AAAAAJ;Kerry L. Metlen;23144014,40061671
4uYSZnYAAAAJ;Michael J. Stout;10.2307/2640814,25086317,10.2307/3546888,4221825
R6a5ZHYAAAAJ; Jörg Freyhof ;4098648
Zcx2kjQAAAAJ;Joel  White;27651375
DkqARQkAAAAJ;Susan  Page;40296380
Pl2AG3EAAAAJ;Laura  Graham;40296380
tI-9Q9kAAAAJ;Helene H. Wagner;20069189,30243145,23597200,30244558,3108047,3450906,25173239
VE1hukgAAAAJ; François Pompanon ;4620867
cnWb2SUAAAAJ;Daniel E. Moerman;4092812
0QAy6R8AAAAJ;Maria Grazia Mazzocchi;20105856
SFLiFtIAAAAJ;Jörg  Schaller;43495232
lSYOB3cAAAAJ;Hugh  Possingham;10.2307/3061043,20144113,20144076
aUdvZ30AAAAJ;Irem  Sepil;25562636
FA39g2AAAAAJ;Adam W. Rollins;27742923,40983085,43924134,20752593
3wGKI1UAAAAJ;David L. Swanson;40863444,40983713,10.2307/3677350,10.2307/1564568,10.1086/682154,30158232,30164255,10.1086/658291,30160027
JZUR_QMAAAAJ;Richard  Bertram;25150889
RvGefZYAAAAJ;Ronald  Coleman;1448755
