rsjUk_0AAAAJ;Riccardo  Valentini;10.2307/1940725,10.2307/1942049,23695793,24130577,4222010
vecKO2QAAAAJ;Pelayo Acevedo;4539957,4124753
Fxgco7UAAAAJ;Guillaume  Guénard;41417119,20788120
w_gm_SwAAAAJ;Sovan  Lek;41417119,20172013,3588921,2655742,2655760,1468273,27743521,24872744
BBbvOXoAAAAJ;William M. Block;40347267,10.2307/1565478,4219719
W2hc0igAAAAJ;Sidia Maria Callegari-Jacques;23783978
gpXP2nUAAAAJ;Laura K. Gray;23023103
e8X-CxAAAAAJ;Turk  Rhen;10.2307/3546448
3FUDzuIAAAAJ;Theresa M. Crimmins;43441124,23225177,23325684
OIUL_IMAAAAJ;Ulla  Carlsson-Granér;3548570,3547597
NTNzuPQAAAAJ;Eric M. O''Neill;41261846,1565747,40060562
lMxI1hQAAAAJ;James  Blignaut;43442991,41242839
DYAW-BoAAAAJ;Liang  Liu;25134097
gOsY_7gAAAAJ;Luke  Parry;40419700,24017350
n5DNILkAAAAJ;Florian C. Boucher;41465351
NzJxPfoAAAAJ;Nadir  Alvarez;20870130,20793442
mQOY2c0AAAAJ;Kirk J. Havens;20183420,25736172
rQQ5zTUAAAAJ;Eldar  Rakhimberdiev;24033477
ezY0lawAAAAJ;Omar  Hernández;41827125
0k6jgM0AAAAJ;Janneke Hille Ris Lambers;3450990,27646080
80WCzk8AAAAJ;Justyna  Wolinska;40306263,4125109,40213087,40235565
gBQC5kYAAAAJ;Donald E. Myers;3683661
exyen9EAAAAJ;Michael S. Rosenberg;3683661,10.2307/2265879,1549583,41415244,3236762,10.2307/1549462,3548147
o2NAG70AAAAJ;Jukka  Jernvall;27784014,29783034,4096996
VWKAu9EAAAAJ;Martin  Dovčiak;4539104,40305428
fRGApj4AAAAJ;Hiroaki  Ishii;25133877,3547219
I9CLvEgAAAAJ;Tal  Ben-Horin;23435678
DjhsFCUAAAAJ;Kelly  Stewart;29779652
ly0aOFEAAAAJ;Ana G. Popa-Lisseanu;25592582,27755133,30224460
x3crZ_gAAAAJ;Karen  Oberhauser;41811398
FLv2ZiIAAAAJ;Ofir  Levy;43187676,23016121,PBZ10017
pEVxuXUAAAAJ;Andrew O Finley;43187676
STVR0yoAAAAJ;Noah R Lottig;43187676
MZg1GcQAAAAJ;Jingfeng  Xiao;43187676,23596912,43187675
DN5NtJ0AAAAJ;Christopher T Filstrup;43187676
Baxmj8AAAAAJ;James R Kellner;43187676,43187675
GlGy7vgAAAAJ;Andrew D Richardson;43187676,43187675
41lz8coAAAAJ;Tyler  Wagner;43187676
3JTrfU8AAAAJ;David H. Wise;10.2307/1935497,40061706,10.2307/3071849,10.2307/2679801,10.2307/2265637,10.2307/2680019,3061579,10.2307/1937741,10.2307/2409002,10.2307/1377798,10.2307/3546715,40235332,3547781,4215895,4222448,4220024,4216986,4222946
c9tMlKAAAAAJ;Emanuel  Azizi;40603111,40306106
mWy9UowAAAAJ;William H. Satterthwaite;10.2307/3099931,41416742,40212980,40606953,41413943
VrUQ3AYAAAAJ;Brett  Tyler;3108029
JarTIEwAAAAJ;John I. Yoder;3108029,4278063,23385075,41435428,23389775,4279817,4275865,4629946
unIgY1kAAAAJ;Allison  Aldous;10.2307/176900,20696407
S1J4kAoAAAAJ;John  Abatzoglou;25595145
38ITdvsAAAAJ;Bruce E. Wilson;25595145
rli982AAAAAJ;Geoffrey M. Henebry;25595145,4223283
mkI20o4AAAAJ;Jonathan M. Hanes;25595145
GzeHDMwAAAAJ;Christy A. Morrissey;40061909,27650674,40062119,3677526,3505825
