jWHm_7oAAAAJ;Michael  Heinrich;4256680,4257088,4257223,4603335
a2O0X-wAAAAJ;Kalle  Rainio;40863357,3677433,30244747
zpDLJbsAAAAJ;Johann  Walker;43494484,23441606
MWhAuxUAAAAJ;Jay  Rotella;3080158
QltdhHAAAAAJ;Samuel N. Luoma;24867405,24831852,24817437,24846142,24855585,24826560,24853407,24817516,24857164
Mea9f-YAAAAJ;Francisco  Seijo;24707615
y-6oi3sAAAAJ;Ivan C. Phillipsen;41240878
EzyCauwAAAAJ;Aaron Savio Lobo;4098572
mHSsOl0AAAAJ;Karthikeyan  Vasudevan;4098572,25209115,4640559
nqtv_GEAAAAJ;Jarl  Giske;10.2307/2269369,24832479,41413943,40235089
Uw5g0RkAAAAJ;Y. Peter Sheng;24320409,25737487,25735378
U8ynP2IAAAAJ;David M. Nelson;20069263,25256194
9DyV2_8AAAAJ;B. Brandon Curry;20069263
2VO63BoAAAAJ;Elizabeth A. Widjaja;4255072,10.2307/4115668
SnLmSSkAAAAJ;Allison  Leidner;25595249
kM38RIEAAAAJ;Courtney  Richmond;10.2307/3868612
zulLqgUAAAAJ;Ibrar  Ahmed;23788061
PrIF-XAAAAAJ;Churchill B. Grimes;1350892
eZpJ7iIAAAAJ;Graham A. McCulloch;40793093
_0w6ZS0AAAAJ;Jonathan M. Waters;40793093,20172023,2680428,25150758,2656160,1383711,30054705
lqQ0yvJ8_pIC;Carly  Vynne;25595084,27751705
V_ZXicIAAAAJ;Matthew R. Baker;25595084,23596803
1vu4n_UAAAAJ;Mark N. Maunder;40062227
34X6BZ4AAAAJ;Brenda J. Grewell;27650654,40062229
asozgScAAAAJ;Patrick  Abbot;27743424,3547684
RQOFJekAAAAJ;Anthony V. Palumbo;10.2307/1941869,10.2307/1940597,10.2307/1467573,10.2307/1467506,40926481,10.2307/3565363,25153308
x5cUb_IAAAAJ;Lena  Grinsted;24033795
sbUlzRwAAAAJ;Casper J. Breuker;24033795,3547615
5dGBEBwAAAAJ;Stylianos Chatzimanolis;4539947
qY-9FWwAAAAJ;Tomas  Jonsson;20069251,40605439,4222615
Qvoud4IAAAAJ;Thomas  Brey;24854660,24875256,24869938,24869736,24817448
IoUH41MAAAAJ;Ute  Jacob;40605439
rWyJNJMAAAAJ;Mark E. Ledger;40213214,20445957,3547137
kxLDLlMAAAAJ;Björn C. Rall;40405924
dyBEUd4AAAAJ;Daniel C. Reuman;41332032,23017196,25623103
ICKmloEAAAAJ;Marc A. Mills;23021642
S6IEy3gAAAAJ;Hino  Takafumi;23597133
0Oc-LUkAAAAJ;Shin-ichiro S. Matsuzaki;23597133,40309786
o4y7kIEAAAAJ;Alan  Templeton;2386104
IctKPyEAAAAJ;Lothar  Krienitz;40296356,40605725
_wc2LQ8AAAAJ;Vladimir  Dinets;24637209,43287384
wPPSD-oAAAAJ;W.B.  Herppich;24126216,24126345
2vcicBAAAAAJ;William E. Grant;41242799,10.2307/2265998,1383942,41409838,10.2307/1382323,10.2307/1381254,10.2307/1381604,10.2307/1383019,10.2307/1380634
VMV4sIQAAAAJ;Jianbang  Gan;41242799
AcITTnMAAAAJ;Tomasz E. Koralewski;41242799
VfWxjosAAAAJ;Daniel  Rubinoff;3879147,3879170,3061493
vf6eg48AAAAJ;Timothy J. Canfield;43436549
dKgfWqEAAAAJ;Sonya K. Auer;4627068,41239438
b3t5a7gAAAAJ;Kevin  McConway;20069155,27651411,4181278,10.2307/1940896,10.2307/2261566
nXgGMRwAAAAJ;Roxanne  Johnson;41416645,24432179
IISiq7wAAAAJ;Joshua  Lawler;25595167
Z6Qp3B0AAAAJ;Maile  Neel;25595167
aB55FWAAAAAJ;John M. Logsdon Jr.;3449022
sYgk8Z8AAAAJ;Steven D. Emslie;10.2307/1521541,4523192,4602610,4523362,1305104,4523633,10.2307/40166707,24867136
