wb9ZG08AAAAJ;Kylie A. Robert;1448358,4498586
2y05hF0AAAAJ;Corinna  Favaro;10.1086/681917
_tH6CxsAAAAJ;Arbel  Harpak;24033850
twTA3A4AAAAJ;Guy  Sella;24033850
ylsww8sAAAAJ;Luigi  Lazzara;20105402,1549734
qjx1OkwAAAAJ;Robert  McDonald;30243192
-FHfIKsAAAAJ;David T. Booth;41827094,10.2307/1565377,10.2307/1565493,10.2307/1566007,10.2307/1565218,24634291,30157905,30158171,30156188,30156012,10.1086/515884,30157906,30158186,30163710
dssNZRcAAAAJ;Sean P. Healey;40296353
EGr7o3IAAAAJ;Michael  Lefsky;40296353
z7yViWgAAAAJ;Bret  Larget;24703831,2640843
-nuhJUwAAAAJ;Laura Prugh;4539043
PzQLgAwAAAAJ;Christoffer  Boström;24874277,24853221,24853282
HOAQkSwAAAAJ;Scott X. Chang;27651117,24130657,42952590,24370278,42953085,24125625,42952891,24369096,24125638,42952621
ZUNqNBEAAAAJ;Daniel D. Beck;10.2307/1446755,10.2307/1566194,10.2307/1564558,1467014,10.2307/1564290,30164268
jplrztUAAAAJ;Cathryn Clarke Murray;41242853,20869956
lZemS60AAAAJ;Paulina  Artacho;25483653,10.1086/671376
FGCAlHMAAAAJ;Robert A. Briers;3683680,3683811,3697469,4222612
r2jODUAAAAAJ;Ramiro  Barberena;23612304
vpjEkQwAAAAJ;Brian C. O''Meara;2680449,40306233,4095395
dg_byjEAAAAJ;Bjarte H. Jordal;2680449,2560002
1Ojk2UYAAAAJ;Maria Prager;4139363
PTO8AHQAAAAJ;Jean-Louis  Dessalles;24033726
-BQ2i5YAAAAJ;H. Craig Heller;10.2307/1934590,10.2307/1937625,10.2307/1379164,30155769,30159944
B0Rc3EQAAAAJ;Grzegorz  Skrzypek;43494491
944otlsAAAAJ;Peter J. Hernes;43494491
RSmdZ3kAAAAJ;Alexander  Keller;27696370
adkFG2EAAAAJ;Stephen W. Schaeffer;25483546,4222618
hNYuqcoAAAAJ;John C. Stella;25470416,41505910,23022992,40926678
zHRXEs0AAAAJ;Sebastian  Matuszewski;24033838
4drbuAUAAAAJ;Benjamin C. Haller;24032770,24704034
YkvD2NAAAAAJ;Numa P. Pavón;4256254,25172948
3_o0fAsAAAAJ;Agustina  Yañez;41825716
n3tCAawAAAAJ;Patrick  Foley;10.2307/2409644,2386727,10.2307/5874,2655830
dRCAzi0AAAAJ;Jamie M. Kneitel;10.2307/3071899,3450273,40234881,40606603
56uzjtEAAAAJ;Katja  Schiffers;41151179,20143437,3599637,40925506,41508748
nhemay8AAAAJ;Werner  Kurz;10.2307/3060997
pPsEFjgAAAAJ;Katie E. Lotterhos;29783012,41240889
XfuRt9YAAAAJ;Jaclyn  Hall;24321895
xI3ANR4AAAAJ;Kevan B. Moffett;40928246
PiXIzYsAAAAJ;Penelope  Perkins-Veazie;23787143
YDc0WFwAAAAJ;Michaela  Zint;3061210,3588911
STIjzHMAAAAJ;Brandon S. Cooper;41503496,24033920
J20p_QcAAAAJ;Kent  Holsinger;25053863
AbXgn8oAAAAJ;Laura M. Ladwig;27651555,25661101,24873772,23362486,23362492,23267444
O9-IbFMAAAAJ;Marjo  Helander;3061539,20062134,40926494,40213255,40309850
G3liFHkAAAAJ;David B. Carlon;41317086,3094665,24867758
zIHOygoAAAAJ;J Sean Doody;23034515
h6avKskAAAAJ;James  Stoeckel;10.1899/13-204.1
_qsdjsEAAAAJ;Alistair  Grinham;41505908
f7RMi04AAAAJ;Markus  Riegler;3449443
N9g1R4YAAAAJ;Richard  Grossman;40925309
PthKihQAAAAJ;Carlos F. Corvalan;25053813
Xs6VAyAAAAAJ;Justin L. Rheubert;25622971
wFZm4JcAAAAJ;Aura Paucar-Cabrera;4153149
f_PTYvgAAAAJ;Jenise M. Bauman;43443158
ANrBXdoAAAAJ;André  Große-Stoltenberg;41505921
vAu9J9UAAAAJ;Christiane  Werner;41505921,40540342,40859859
hWANX-AAAAAJ;Tomoki  Kase;20105652,4541262,1305899,27753949,1305398,1306478,1305523
PLqlEEkAAAAJ;Alastair  Fitter;10.2307/2265769,10.2307/2845737,23696131
OvAV_eoAAAAJ;Antonis  Rokas;27811038,43923689
ddDQGCYAAAAJ;Mark  Pagel;25150817,10.2307/2410976,4222104,10.2307/3546204
onyay2kAAAAJ;David  Paré;41505891,40296323,40062062,27823764,23501444,23012731,4499217,3235619,24130753,24130882,42951733
E_Vu1TEAAAAJ;Angela E. Douglas;4223518
xCRUGiwAAAAJ;Hervé  Jactel;41413945,24056191
Nvb61ioAAAAJ;Bjørn  Økland;27695920,20062511
--J-Rd0AAAAJ;Alain  Paquette;20440839,43677538,43494478,20696406,41058230,40309835
xJCC3x8AAAAJ;Amanda  Hardy;3061227
