_i767egAAAAJ;James D. Austin;25512179,24321997,23321357
HbBoSLUAAAAJ;Alexis  Harrison;23463782
sg2MuqsAAAAJ;Jan  Barkmann;3658785
v84a9pwAAAAJ;Paula  Meli;43443159
WoGi-FAAAAAJ;Valentina  Carrasco-Carballido;43443159
k14NTqYAAAAJ;Eric M. Lind;20788160
F6ZrAIQAAAAJ;Philip  Barton;24432204
7_Fi5LQAAAAJ;Laura  Southcott;41503484
d4KNZWEAAAAJ;Sarah E Lester;43187795
c2e3NiAAAAAJ;Tage  Dalsgaard;24831859
zpMP4mkAAAAJ;Anzar A. Khuroo;25595194,mounresedeve.31.4.380
aUmSzdMAAAAJ;Rachel T. Noble;40061820
xedYbeEAAAAJ;Joseph  Lachance;25150827
yIfnJeQAAAAJ;Thomas  Koellner;3683424
vy7TzMoAAAAJ;Anna M. Hersperger;3683424,24015749,3547978
iLJ2jTwAAAAJ;Farid  El-Daoushy;20112890
hCOutxAAAAAJ;István  Scheuring;29782998,3235975,3547849,40235074
UFUT2zwAAAAJ;Shmuel  Moran;25027443
Kg7IbYMAAAAJ;Monica L. Smith;4257059
pszot3gAAAAJ;Guillermo Guzmán G.;20105489
5VNx4fAAAAAJ;Ashwini  Chhatre;10.2307/2641286,3591243
BgBmEXgAAAAJ;Susana  Rodríguez-Echeverría;24552027
tdEwiPgAAAAJ;Joice  Ndlovu;41242828
LPgEa6UAAAAJ;Tyler  Smith;43440919
zxDG_bcAAAAJ;Ulf  Riebesell;24855703,24857024,24837818
dZUIzNUAAAAJ;Daniel D. Heath;10.2307/2640906,4095214,41413435,24875317
IdDJsmkAAAAJ;Robert  Park;23790007
AZoQ20oAAAAJ;Ramakrishna  Nemani;3236277
UDfwrOkAAAAJ;Robert O. Hall;3658896
a577plIAAAAJ;William J. Price;10.1086/677900,4092831,40212995
Jz_uVjYAAAAJ;Suzanne J. Milton;10.2307/3868012,10.2307/1938267,10.2307/1939301,10.2307/1941694,3237001,4096764,10.2307/2404424,10.2307/2405265,10.2307/2404423,40835704,10.2307/2403858,10.2307/2261480,10.2307/3546695,4219692,20146642,20050982,4220068
XMeZ3D8AAAAJ;Xavier  Morin;40305920
4SMgJNQAAAAJ;Dirk Johannes Mikolajewski;4095252,20445895
1PX4qMMAAAAJ;Oleg  Antonić;23786284,23787219
0zQdH0oAAAAJ;Viral B. Shah;27650817
n4tD9-kAAAAJ;Brian F. Snyder;4627060
f7ZsCY4AAAAJ;Claire  Mérot;24032690
KVL_a1kAAAAJ;Alex  Best;27784010,24033722,24033871
PtCU8cgAAAAJ;Andy  White;27784010,24033722,24033871
4KKw7HsAAAAJ;Tomas  Hrbek;4098598,10.2307/2640823
2hdYgkoAAAAJ;Philip D. Sudman;10.2307/1446497,10.2307/1446496,30224507,10.2307/1382555,10.2307/1381589,1383344,4094592
MXwCJG4AAAAJ;Ying-Hen  Hsieh;43461007,10.2307/1937249
