B0l1S6gAAAAJ;Reinhold  Hanel;25140712
esc123IAAAAJ;Maria  Corsini;20107640
leXjCzEAAAAJ;Jennifer  Howard;43188448
f7OAp-0AAAAJ;Kate A Brauman;43188448
JTJa3fQAAAAJ;Craig  Paukert;43188448
aEzCBh4AAAAJ;John  Sabo;43188448
xJK0wK0AAAAJ;Alessandro Catenazzi;4098645
Zk1fmoAAAAAJ;Hermann  Gucinski;3658979
PAJ5HO0AAAAJ;Fabio Pinheiro;4539978
foGaES4AAAAJ;Roberta  Bergero;41317082,10.2307/3761104
99PrH7gAAAAJ;Stéphanie  Bedhomme;3449250
5YH5ie8AAAAJ;Bonnie  Isaac;4034340,41969037
5QUJOO4AAAAJ;Andy  Liaw;25470329
nng3hJQAAAAJ;Gregory  O''Corry-Crowe;40062157
mwppXM4AAAAJ;Leigh G. Torres;24874467
q6xchmQAAAAJ;Giuseppe  Montesanto;20107880
HkdpRL8AAAAJ;Carson C. Keever;27743478
loUBMb4AAAAJ;Jennifer  Sunday;27743478
LAqakSIAAAAJ;Gal  Ribak;3677456
jc8CIggAAAAJ;Marco Antonio Del Lama;2680434
Ad9ovSAAAAAJ;Gregorio I. Gavier-Pizarro;25741357
TsxjzKgAAAAJ;Patricia  Cabezas;41503488,20487705
MQCVJhwAAAAJ;Annie  Machordom;20487705,4640592
g0UxKJ8AAAAJ;Carlos  Portillo-Quintero;40062031
90F0mTAAAAAJ;Francesca  Pilotto;10.1086/680523
-1U0ws4AAAAJ;Andrés  Lira-Noriega;24033770,41058224
XOTEPywAAAAJ;David M. Iwaniec;41416794
UFDkauwAAAAJ;Elizabeth M. Cook;41416794
gtU1jbwAAAAJ;Christopher S. Galletti;41416794
cRl3h9sAAAAJ;Ana  Širović;25622933
I4fyHbkAAAAJ;Eric  Lewitus;23262001
ENmARrsAAAAJ;Chet C. Sherwood;23262001
Q3aOKlgAAAAJ;Michael  Garratt;24033780
G4k1sqIAAAAJ;Heidy  Schimann;23328055,24039925,41499939
qtzaBb0AAAAJ;Nathalie  Fromin;23328055,41499939
wRbUAegAAAAJ;Agnieszka  Strzelczak;27823658
DnWDM68AAAAJ;Paul  Steinberg;2387025
NAOeHMcAAAAJ;Marjorie L. Reaka;10.2307/2408010,30155690
5SzCufoAAAAJ;Valerio  Ketmaier;2640659,40665221
YT2JOfYAAAAJ;Gunther  Peck;3986230
6wN3r7QAAAAJ;Florian  Bayer;24032722
6dkxm5cAAAAJ;Cary  Coglianese;24114959
QhL0FjIAAAAJ;Jennifer  Nash;24114959
6mgvbSUAAAAJ;Martin  Stuber;40296272
b30fh-wAAAAJ;Rachel Lockridge Mueller;23464154,20488426,20142922
4XG8SEIAAAAJ;Gérard  Balent;23434798,40305639
T3d9QkkAAAAJ;Andrej  Boncina;20113288,2665336
3iwEEx4AAAAJ;Piermaria  Corona;20113288
hT64s7kAAAAJ;Jurij  Diaci;20113288,40607010
i7xaGtwAAAAJ;Naveen  Singh;23786096
-rIRahIAAAAJ;Naveen  Singh;23786096
g4YHUAgAAAAJ;Karen Beazley;4543516
WySLlvEAAAAJ;W. Stanley Harpole;41499822,24125229,3548611
6OOZKGQAAAAJ;Bettina  Thalinger;23441612
AWLhF0cAAAAJ;Ignacio  Munilla;3683359,40235301,24875646
ylUZf_cAAAAJ;Vladislav  Gulis;25592781,20446043,23489541,10.2307/3761988
yHiIrRAAAAAJ;Salvador E. Lluch-Cota;23353580
_aWtlb8AAAAJ;Nadav  Kashtan;40306273
cAWm7vsAAAAJ;Nadav  Kashtan;40306273
JXbCgOUAAAAJ;Merav  Parter;40306273
