s_GxMhMAAAAJ;Tiana  Kohlsdorf;40793198
XWAnrVAAAAAJ;Carl  Morrow;27651341
RQZcFjIAAAAJ;Christian  Rabeling;25150890
WtgiU0EAAAAJ;Andre  Rodrigues;25150890
TDHGmr0AAAAJ;Jerrold L Belant;41479979
sSgb3dwAAAAJ;James A Martin;41479979
MqQa_jAAAAAJ;Gary M. Langham;3449431
c-7XhosAAAAJ;Andrew J. Leidner;3449115
2NcJRZwAAAAJ;Pejman  Rohani;3449115,3505280,10.2307/5682,40958963,40235282,3548601
w48JRbQAAAAJ;Michael R. Strand;10.2307/3071805,10.2307/5668,25084832,10.2307/5756,4221556,4220266
wXylao8AAAAJ;Bertrand  Guenet;20788111
LaoZWTkAAAAJ;Gérard  Lacroix;20788111,40235576,4222441
tbCGGKMAAAAJ;Tihana  Teklić;23786153
REe6820AAAAJ;Luis G. Abarca-Arenas;20107809
9Yogde0AAAAJ;Chad C. Jones;4096692,20146798,40305761
QLFeR74AAAAJ;Ian  Jonsen;3658587
qiYcwiwAAAAJ;Marc  Stieglitz;20062286
MPy9r5YAAAAJ;Carlos  García;40605729
m9MtgCsAAAAJ;Mary  Miranda;10.2307/1936406,4250472
mk8FOj8AAAAJ;Heike  Zimmermann;23064578
KBW58xwAAAAJ;Emily  Saarinen;24321997
z_FhbLkAAAAJ;Christopher  Binckley;40863437
gIbts0kAAAAJ;Takehiko Y. Ito;3591084
Nt17xosAAAAJ;Zhaowen  Jiang;3591084,10.2307/1382677,1383435
XBWVU8EAAAAJ;Zenobia  Lewis;41240800
Xx97LjMAAAAJ;Roger  Bowers;24033722
gZGywRIAAAAJ;Claudia  Feijoó;10.1086/677056
gFhrfnsAAAAJ;Isabel  Muñoz;10.1086/677056,1468120,4095641,4498994
jt6oqXgAAAAJ;Darío  Colautti;10.1086/677056
K14tQk8AAAAJ;Nicolás  Ferreiro;10.1086/677056
qbGV4DAAAAAJ;Magdalena  Licursi;10.1086/677056
BKYJPTgAAAAJ;Rodrigo W. Soria-Auza;20171955
39QuGUIAAAAJ;Sujal S. Phadke;41240797
Yssu0_MAAAAJ;Jonathan  Turley;24113186
fcHmzPEAAAAJ;José Gabriel Segarra-Moragues;40963497,4640655
QG1yqncAAAAJ;Theresa A. Spradling;10.2307/2410946,1383680,25145082,4094533,10.2307/1382826,30224440,4094479
CiOd1jcAAAAJ;Martin  Krkosek;23021635
fNW5X34AAAAJ;William. D. Bowman;41505915
_vqOUdcAAAAJ;Timothy J. Schultz;25140825,4223706
sj_cdMsAAAAJ;Leonardo D. Amarilla;23612321
AWK2FDoAAAAJ;Craig KR Willis;41811918
VlLsDeQAAAAJ;Geertje  van der Heijden;43495216
_6meVUQAAAAJ;Sacha M. O''Regan;43494968
AGSviU8AAAAJ;Sean C. Anderson;43494968,24874483
9a1ndcoAAAAJ;Valerio  Zupo;20105753,20105550
V3dW0hAAAAAJ;Jessica  Eberhard;3061450
0YChYVgAAAAJ;Scott  Stoleson;3061450
T_WFtTsAAAAJ;Francisco J. Vilella;3061450,10.2307/1565991
mUgx2esAAAAJ;William Wallace Covington;43442650
NPyiy0sAAAAJ;Moshe  Inbar;41245548,3547567,10.2307/3545732
Mmc6vnQAAAAJ;Amram  Eshel;20050940,24831774
fImpeu8AAAAJ;William  Hargrove;20440565
dwQ7qIcAAAAJ;Felipe  Zapata;24033797,40065416,20205937
