4ohtgAEAAAAJ;Brita  Stedje;23643227,23674401,23673867
obaGdQ0AAAAJ;Xiaohong  Wang;4629800
Lq1fuVUAAAAJ;Joann Mudge;4629800
8Dgc0TIAAAAJ;Fabio  Conversano;24871508
6IsNgeAAAAAJ;Leonard L. Saari;4272780
ArAg8SwAAAAJ;Jehad Abubaker;4281014,4280185
0qbPlLQAAAAJ;Daniel Romo;4271535
2sO877UAAAAJ;Dirk  Inze;23385596,4281865
o7ydBnwAAAAJ;Keith G. Davies;41686358,42951193
S6Gp0UMAAAAJ;Owen  Duncan;41435575,43191558
oEnnwZIAAAAJ;Holger  Eubel;41435575,40537666,4281680,40066311,4280240,4281336
wHsyl88AAAAJ;Szymon  Kubiszewski-Jakubiak;41435575,43191558
6rRl1SQAAAAJ;Andrew M. Kittle;40309598
C9zo-0UAAAAJ;Paolo Trost;4281683,4281969,4630015
jP8seqYAAAAJ;Philippe  Rigault;41435485
n4e-N4sAAAAJ;Janice E.K. Cooke;41435485
OumHHhcAAAAJ;John J. MacKay;41435485
JNjSpp8AAAAJ;Kaoru Maeto;4223776
QZY22moAAAAJ;Stephen  Powles;43191532,23389565,23390698
wlmnurwAAAAJ;Stephen  Powles;43191532,23389565,23390698
y9gFk3oAAAAJ;Tanja  Milotic;40540349
8Ajtq7AAAAAJ;Wataru  Makino;25153355
fXEitVgAAAAJ;Laurent Hazard;newphytologist.194.2.561
25tSJsIAAAAJ;Shin-ichi  Arimura;4279461,20205789,23389887
IU_napQAAAAJ;Danny  Vereecke;23385865,40537723,24130115,40065934,23384951,41434337,40537722
40Zbx6AAAAAJ;Paul Dijkstra;newphytologist.200.3.767
KmHNsBUAAAAJ;Emidio Albertini;4630013
yKoqLNUAAAAJ;Gianpiero Marconi;4630013
_GQAUJYAAAAJ;Lara  Reale;4630013,20205951,4281427
2UakUDsAAAAJ;Gianni Barcaccia;4630013
5WWsMs0AAAAJ;Andrea  Porceddu;4630013
7Shj5Q0AAAAJ;Jelle G. Ferwerda;24125211
kXiC3xgAAAAJ;Heather E. McFarlane;23274725,23390015,41943255
dkDcEPEAAAAJ;Yoichiro  Watanabe;43191506
GGbS54wAAAAJ;Mikael K. Sejr;24871827
rkulRewAAAAJ;Barbara J. Mazur;4271057,4275278
nUZqON0AAAAJ;José Ivo Baldani;24123908,24370181,42952518,42952605,42949450,24370186
320RGB0AAAAJ;Xiuling  Shi;43191020
QypfWUAAAAAJ;Stefano Leonardi;newphytologist.193.4.903
mJV2AYMAAAAJ; Harry Björkbacka ;4280908
raJIkuEAAAAJ;James D. Oliver;23469573
aiL5wrYAAAAJ;Devaki  Bhaya;4268770
MJpWCpkAAAAJ;Lutz  Tischendorf;3547105,10.2307/3546904,3547358,40005728
rSxkMS0AAAAJ;Angela Cristina Ikeda;23361603
aOJA_bIAAAAJ;Chirlei  Glienke;23361603
TYhFeagAAAAJ;Manfred  Heinlein;40538009,41812049,40066058
Vg4WDV0AAAAJ;Tomoko  Shinomura;4275630,4279085,4278039
Qh3Z_XIAAAAJ;Heather E. Erickson;10.2307/3545930
GrCosSAAAAAJ;Max  Teplitski;4281542
q7TiBwYAAAAJ;Sathish Rajamani;4281542
QfKgQoYAAAAJ;B. Irene  Tieleman;30158702,30161010,30162242,30158338
RLmOh1sAAAAJ;Bijay Singh;4274433
9ebOFccAAAAJ;Rajeev Misra;4274433
kd9hQo0AAAAJ;Chang-Keun  Kang;24870146
4jbY5CAAAAAJ;John  Markwell;4274097,23388665,4275515,4271819,4277525
fTg1uHwAAAAJ;Sang Hee Kim;40537889,23389994
01cYaEAAAAAJ;Tristan A. McKnight;20752569
vEw8VHAAAAAJ;Eckart  Priesack;42947743,42947447,24146469
7Gyzp1cAAAAJ;Leonidas  Salichos;27811038
c7tEYE4AAAAJ;Erik J. Slootweg;41694812,41943495
4LidkIgAAAAJ;Sajid  Rehman;41694812
Wm1USqMAAAAJ;Kasper  van Gelderen;41694812
t2UbOQ4AAAAJ;Aska  Goverse;41694812,41943495
-CNGSHcAAAAJ;Carlos  Guzmán;43563727
eLHJn6UAAAAJ;Juan B. Alvarez;43563727
vb_1PNQAAAAJ;Tahar Taybi;4278971,4279381
vUI_7j8AAAAJ;Diego  Montalti;24870938
u4WmP-MAAAAJ;Zafer  Kaya;20406162
q5zAJhoAAAAJ;Roberto  Gamarra;43496770,41425457
4LsyTZ4AAAAJ;Pablo Galán Cela;43496770
8L9uh1oAAAAJ;Xuhui  Lee;24129107,41413957
2E9s-ncAAAAJ;Alexander  Goesmann;43565296
jn8NC1kAAAAJ;Uri  Frank;24853411
xJI6CBkAAAAJ;Michael M. Joachimski;27670615
inhGldwAAAAJ;Megan M. Friggens;40926699
8MNz-_0AAAAJ;Francesca  Mapelli;41489065,23597814,41693866
1IsNF-EAAAAJ;Stefano  Ventura;41489065,40802275
g4HDtZwAAAAJ;Daniele  Daffonchio;41489065,40926466,41693866
ZJ3poYMAAAAJ;Ercan  Özcan;40607069,40960127
6lSXaaQAAAAJ;Gabriel  Grilli;41412366
7mMB18kAAAAJ;Ainsley  Calladine;24874580
3GvpYCYAAAAJ;Tang Qing;mounresedeve.29.1.36
Z54vq-QAAAAJ;Les Copeland;4267036,4265423,4268594,4267059,4269300,4268090,4265060,4269474,4273687
aLmSN-YAAAAJ;Pierre  Rustin;4271131,4273944,4271692,4271538,4267398,4266417
28nkwpoAAAAJ;Wayne Dawson;newphytologist.194.3.859
2gmD55UAAAAJ;Mark van Kleunen;newphytologist.194.3.859
lXhKkcAAAAAJ;Markus Fischer;newphytologist.194.3.859,newphytologist.197.1.314
GYTAf-EAAAAJ;Boris  Jansen;24125536,24125484
5DObK0oAAAAJ;Elizabeth M Phillips;41300891
0ZR9nfEAAAAJ;Benny  Chefetz;24128486
v-T3I9cAAAAJ;Benny  Chefetz;24128486
S-R2VbAAAAAJ;Myron L. Smith;10.2307/3807745,3762302
OP1vzN0AAAAJ;Nina Elisabeth Nagy;43565308
nvFq5qoAAAAJ;Fuyou  Fu;41942877,40066239,41435062
BjwURawAAAAJ;Yong-Hwan  Moon;23388086,4278906
69RVbBEAAAAJ;James L. Hench;24872666
NsNMCHQAAAAJ;Hee-Ju Yu;4282008
l8uvASgAAAAJ;Paul J. Rushton;40066025
T1it8CYAAAAJ;Aldwin  Anterola;23390405
kTGhM34AAAAJ;Erin  Shanle;23390405
