41941381|Humans|D006801|1606|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941381|*Orchidaceae|D029595|505|MH|RtM via: Orchidaceae;RtM via: Oncidium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:orchidaceae|TI|MM|279^11^0;46^11^0;254^8^0;21^8^0
41941381|Argentina|D001118|349|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|322^9^0
41941381|*Hispanic Americans|D006630|606|MH|RtM via: argentinian|TI|MM|99^11^0
41941381|*Environment|D004777|333|MH|RtM via: Para (geographic area)|TI|MM|391^4^0;308^4^0
41941394|*Trees|D014197|4615|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|137^5^0
41941394|Argentina|D001118|1130|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|788^9^0;183^9^0
41941394|*Forests|D065928|3414|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|156^7^0
41941394|*Names|D009275|1782|MH|RtM via: Name;RtM via: Person Name|TI|MM|233^5^0
41941394|*Ethnobotany|D019448|1308|MH|RtM via: Ethnobotany|TI|MM|606^14^0
41941394|*Knowledge|D019359|1149|MH|RtM via: Knowledge|TI|MM|518^9^0
41941165|Argentina|D001118|3965|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|94^9^0;123^9^0
41941165|Paraguay|D010239|3689|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM;RC|137^8^0;194^8^0;225^8^0
41941165|Brazil|D001938|3252|MH|RtM via: Brazil|TI|MM;RC|238^6^0
41941165|*Rubiaceae|D019666|63|MH|RtM via: Galianthe|TI|MM|40^9^0
41941165|grandifolia G|C000613510|10|NM|RtM via: grandifolia G|TI|MM|289^1^1;292^11^1
41941165|*Diterpenes|D004224|9|HM|RtM via: grandifolia G|TI|MM|289^1^1;292^11^1
