43443266|Animals|D000818|4735|CT|Ambystoma mexicanum;CT Treecode Lookup: B01.050.150.900.090 (Ambystoma mexicanum);Tilapia;CT Treecode Lookup: B01.050.150.900.493 (Tilapia);Carps;CT Treecode Lookup: B01.050.150.900.493 (Carps);Ambystoma;CT Treecode Lookup: B01.050.150.900.090 (Ambystoma);Nile Tilapia;CT Treecode Lookup: B01.050.150.900.493 (Nile Tilapia)|TI|MM
43443266|*Laboratories|D007753|3735|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM;RC|353^10^0
43443266|*Ambystoma mexicanum|D000558|3438|MH|RtM via: Ambystoma mexicanum;Forced Leaf Node Lookup:ambystoma mexicanums;Forced Leaf Node Lookup:axolotls;checkForceMH Boosted|TI|MM|1716^19^0;307^19^0;298^7^0
43443266|*Local Government|D009111|2430|MH|RtM via: Local Government;Forced Leaf Node Lookup:local government|TI|MM|485^16^0
43443266|*Tilapia|D017210|2322|MH|RtM via: Tilapia;Forced Leaf Node Lookup:tilapia;checkForceMH Boosted|TI|MM|1621^7^0
43443266|*Carps|D002347|2100|MH|RtM via: Cyprinus carpio;RtM via: Carp, fish;Forced Lookup:cyprinus carpio;checkForceMH Boosted|TI|MM|1602^15^0;193^4^0;199^15^0
43443266|*Water Resources|D062066|1677|MH|RtM via: Water Resources;Forced Leaf Node Lookup:water resources|TI|MM|135^15^0
43443266|*Nile Tilapia|D023681|1467|ET|Entry Term Replacement for "Cichlids";RtM via: Oreochromis niloticus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oreochromis niloticus|TI|MM|1639^21^0;220^12^0;234^21^0
43443266|*Wetlands|D053833|1050|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|36^7^0
43443266|Mexico|D008800|810|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|425^6^0;47^6^0
43443266|*Environment|D004777|1236|MH|RtM via: Para (geographic area)|TI|MM|2199^4^0;1997^4^0
43443266|*Academies and Institutes|D000047|1023|MH|RtM via: Institutes|TI|MM|371^9^0
43443266|*Ecology|D004463|1014|MH|RtM via: Ecology|TI|MM|345^7^0
43443229|*Goals|D006040|422|MH|Forced Leaf Node Lookup:goals|TI|MM;RC|176^5^0;842^5^0
43443229|*Societies|D012952|1101|MH|RtM via: Societies|TI|MM|31^7^0
43443229|*Organizations|D009938|972|MH|RtM via: Corporation|TI|MM|134^22^0
43443229|*Knowledgebase|D051188|147|ET|Entry Term Replacement for "Knowledge Bases";RtM via: Knowledge Bases;Forced Non-Leaf Node Lookup:knowledge bases|TI|MM|294^14^0
43443167|Humans|D006801|3175980|CT|Forced Humans: people;Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|285^5^0
43443167|Animals|D000818|3175980|CT|Butterflies;CT Treecode Lookup: B01.050.500.131 (Butterflies);Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
43443167|*Butterflies|D002080|239033|MH|RtM via: Butterflies;Forced Leaf Node Lookup:butterfly;checkForceMH Boosted|TI|MM|546^9^0
43443167|*Population Density|D011156|120499|MH|RtM via: Population Density;Forced Leaf Node Lookup:population density|TI|MM|285^24^0;291^18^0
43443167|*Benchmarking|D019985|118717|MH|RtM via: Benchmarks;Forced Leaf Node Lookup:metrics|TI|MM|472^7^0
43443167|*Goals|D006040|118561|MH|Forced Leaf Node Lookup:goals|TI|MM|431^5^0
43443167|*Bird|D001717|5070|ET|Entry Term Replacement for "Birds";RtM via: Aves;Forced Non-Leaf Node Lookup:bird|TI|MM;RC|540^4^0
43443167|*Climate|D002980|3468|MH|RtM via: Climate|TI|MM|326^7^0
43443167|*Plant|D010944|2904|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|561^5^0
43443167|*Population Groups|D044382|2469|MH|RtM via: Indigenous Population (Natives)|TI|MM;RC|181^17^0
43443167|*People, Indigenous|D000081034|417|ET|Entry Term Replacement for "Indigenous Peoples";RtM via: Indigenous Peoples;Forced Non-Leaf Node Lookup:indigenous peoples|TI|MM|181^17^0
43443072|Animals|D000818|14172|CT|Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild);Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals);CT Text Lookup: mammal|TI|MM;RC|27^7^0
43443072|*Soil|D012987|13172|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|593^4^0
43443072|*Biomass|D018533|10841|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|303^7^0
43443072|*Droughts|D055864|9797|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM;RC|727^7^0
43443072|*Grassland|D065948|8595|MH|Forced Leaf Node Lookup:grasslands|TI|MM;RC|470^10^0;58^9^0;440^9^0
43443072|*Animals, Wild|D000835|5515|MH|RtM via: Animals, Wild;Forced Leaf Node Lookup:wildlife;checkForceMH Boosted|TI|MM|124^8^0
43443072|*Benchmarking|D019985|2099|MH|RtM via: Benchmarks;Forced Leaf Node Lookup:metrics|TI|MM|272^7^0
43443072|Colorado|D003120|1997|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|143^8^0
43443072|*Weather|D014887|2514|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM|404^7^0
43443072|Biodiversity|D044822|2099|MH|||RC
43443072|*Mammals|D008322|1431|MH|RtM via: Mammals;Forced Non-Leaf Node Lookup:mammals|TI|MM|935^6^0;774^7^0;265^6^0;226^6^0;27^7^0
43443057|Animals|D000818|48322|CT|Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild);Turtles;CT Treecode Lookup: B01.050.150.900.833 (Turtles)||MM;RC
43443057|*Lythrum|D031561|47322|MH|RtM via: Lythrum salicaria;RtM via: Lythrum virgatum;Forced Leaf Node Lookup:purple loosestrifes;Forced Leaf Node Lookup:lythrum salicaria;checkForceMH Boosted|TI|MM;RC|566^18^0;586^17^0
43443057|*Introduced Species|D058865|37653|MH|RtM via: Invasive Species;Forced Leaf Node Lookup:invasive species;checkForceMH Boosted|TI|MM;RC|818^16^0;512^16^0
43443057|*Grasses|D006109|27657|ET|Entry Term Replacement for "Poaceae";RtM via: Phragmites australis;RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM;RC|543^20^0;215^7^0
43443057|*Wetlands|D053833|26817|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM;RC|737^8^0;677^8^0;21^8^0
43443057|*Trees|D014197|21402|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|243^5^0
43443057|*Animals, Wild|D000835|17220|MH|RtM via: Animals, Wild;Forced Leaf Node Lookup:wildlife;checkForceMH Boosted|TI|MM|455^8^0
43443057|*Turtles|D014426|15069|MH|RtM via: Turtle;Forced Leaf Node Lookup:turtles;checkForceMH Boosted|TI|MM|43^6^0
43443057|*Artemisia vulgaris|D019306|10005|ET|Entry Term Replacement for "Artemisia";RtM via: Artemisia vulgaris;RtM via: Mugwort;checkForceMH Boosted;Forced Non-Leaf Node Lookup:artemisia vulgaris|TI|MM|623^18^0;606^15^0;613^8^0
43443057|*Theft|D013800|7944|MH|RtM via: Theft;Forced Leaf Node Lookup:thefts|TI|MM|896^5^0
43443057|*Firesetting Behavior|D005391|7176|MH|RtM via: Arson;Forced Leaf Node Lookup:arsons|TI|MM|889^5^0
43443057|New York City|D009519|6918|MH|RtM via: New York City;Forced Leaf Node Lookup:new york city|TI|MM|153^13^0
43443057|*Goals|D006040|6915|MH|Forced Leaf Node Lookup:goals|TI|MM|431^5^0
43443057|*Grassland|D065948|6915|MH|Forced Leaf Node Lookup:meadows|TI|MM|130^7^0
43443057|*Biodiversity|D044822|28821|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM;RC|395^12^0
43443057|*Habitat|D017753|21804|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|412^7^0;50^7^0
43440694|*Ecosystem|D017753|1805|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|657^9^0;489^9^0;41^10^0
43440694|*Soil|D012987|1234|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1097^4^0
43440694|*Floods|D055868|1123|MH|RtM via: Floods;Forced Leaf Node Lookup:floods|TI|MM|1252^8^0;1026^5^0;716^8^0
43440694|*Lindera|D027443|1094|MH|RtM via: Lindera melissifolia;Forced Leaf Node Lookup:linderas;checkForceMH Boosted|TI|MM|1298^20^0
43440694|*Conservation of Natural Resources|D003247|487|MH|Forced Leaf Node Lookup:deforestation|TI|MM|178^13^0
43440694|*Hydrology|D062070|1056|MH|RtM via: Hydrology|TI|MM|756^10^0
43440694|*Longitudinal Studies|D008137|981|MH|RtM via: Continuous|TI|MM|1217^7^0
43440694|*Drainage|D004322|507|MH|RtM via: Drainage procedure;Forced Non-Leaf Node Lookup:drainage|TI|MM|210^8^0
43440694|*Names|D009275|210|MH|RtM via: Name|TI|MM|706^5^0
43440694|Southeastern United States|D015144|3|MH|RtM via: Southeastern United States|TI|MM|1363^26^0
43443270|Humans|D006801|32367295|CT|Forced Humans: families;Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|769^5^0
43443270|*Rivers|D045483|2401083|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|529^5^0;204^5^0;56^6^0
43443270|*Ecosystem|D017753|1203666|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM|1386^9^0
43443270|Mexico|D008800|1199898|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|222^6^0
43443270|*Biodiversity|D044822|3885|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|1288^12^0
43443270|*Forest|D065928|3447|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|861^6^0;106^6^0
43443270|*Farms|D000072480|2811|MH|RtM via: Farming environment|TI|MM|81^7^0
