43739795|Humans|D006801|43327867|CT|Forced Humans: people|TI|MM;RC
43739795|*African Americans|D001741|5207694|MH|RtM via: African American;Forced Leaf Node Lookup:african americans;Forced Leaf Node Lookup:blacks;Forced Leaf Node Lookup:negro|TI|MM|1162^5^0;190^17^0;25^5^0;2542^5^0
43739795|*Poverty|D011203|1737905|MH|RtM via: Poverty;Forced Leaf Node Lookup:poverty|TI|MM|880^7^0;829^7^0;121^7^0
43739795|*Unemployment|D014478|1737257|MH|RtM via: Unemployment;Forced Leaf Node Lookup:unemployment|TI|MM|130^12^0
43739795|*Forestry|D016468|1737146|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|952^8^0;406^8^0
43739795|Alabama|D000407|1735451|MH|RtM via: Alabama;Forced Leaf Node Lookup:alabama|TI|MM|2514^7^0;46^7^0;1178^7^0
43739795|*Adaptation, Physiological|D000222|24354|MH|RtM via: Adaptation|TI|MM|374^10^0
43739795|*Income|D007182|4437|MH|RtM via: Income;RtM via: earnings|TI|MM|719^6^0;726^7^0
43739795|*Educational Status|D004522|3324|MH|RtM via: Educational Status|TI|MM|504^9^0;152^9^0
43739795|*Organizations|D009938|2178|MH|RtM via: Agencies|TI|MM|1044^8^0
43739795|*Communication|D003142|915|MH|RtM via: Communication;Forced Non-Leaf Node Lookup:communication|TI|MM|1765^13^0
43739795|*Forest|D065928|597|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|78^6^0
24310672|Humans|D006801|203865904|CT|Forced Humans: women;Forced Humans: men|TI|MM;RC
24310672|Female|D005260|203865904|CT|CT Text Lookup: women|TI|MM;RC|454^5^0
24310672|Male|D008297|203865904|CT|Forced Lookup:male;CT Text Lookup: male;CT Text Lookup: men;Forced Non-Leaf Node Lookup:male|TI|MM;RC|1114^4^0;444^3^0
24310672|*Poverty|D011203|9485094|MH|RtM via: Poverty;Forced Leaf Node Lookup:poverty|TI|MM;RC|940^7^0
