10.2307/3687210|Animals|D000818|14716|CT|Invertebrates;CT Treecode Lookup: B01.050.500 (Invertebrates)||MM;RC
10.2307/3687210|*Fossils|D005580|13716|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|532^7^0
10.2307/3687210|San Francisco|D012495|1485|MH|RtM via: San Francisco;Forced Leaf Node Lookup:san francisco|TI|MM|74^13^0
10.2307/3687210|*Geology|D005844|5703|MH|RtM via: Geology|TI|MM;RC|136^8^0
10.2307/3687210|*Invertebrates|D007448|2871|MH|RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM|986^13^0
10.2307/3687210|*Geraniaceae|D031314|936|MH|RtM via: California (plant)|TI|MM|89^10^0
10.2307/3687210|*Minerals|D008903|726|MH|RtM via: Shale|TI|MM;RC|582^6^0
10.2307/3687289|*Clay|D000077215|5877|MH|RtM via: clay;Forced Leaf Node Lookup:clay;checkForceMH Boosted|TI|MM;RC|1237^4^0
10.2307/3687289|*Water|D014867|2277|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|998^5^0;596^5^0
10.2307/3687289|*Laboratories|D007753|1467|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|469^10^0
10.2307/3687289|*Minerals|D008903|2436|MH|RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM;RC|1242^8^0
10.2307/3687289|Geologic Sediments|D019015|1946|MH|||RC
10.2307/3687289|*Pollen|D011058|1623|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|1449^3^0;1257^3^0;961^3^0;728^6^0;516^6^0;358^3^0;78^6^0
10.2307/3687289|*Physical Phenomena|D055585|1230|MH|RtM via: Hydration|TI|MM|1211^9^0;581^9^0
10.2307/3687289|*Standardization|D012015|759|ET|Entry Term Replacement for "Reference Standards";RtM via: Standardization;Forced Non-Leaf Node Lookup:standardization|TI|MM|1163^15^0
10.2307/3687289|Hydrogen-Ion Concentration|D006863|1000|MH|Forced Non-Leaf Node Lookup:ph||MM;RC|577^2^0;933^2^0
10.2307/3687212|*Fossils|D005580|14691|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|1555^6^0
10.2307/3687212|*Facies|D019066|1644|MH|RtM via: Facies;Forced Leaf Node Lookup:facies|TI|MM|796^6^0
10.2307/3687212|North Sea|D009659|945|MH|RtM via: North Sea;Forced Leaf Node Lookup:north sea|TI|MM|454^9^0
10.2307/3687212|Paleontology|D010163|2105|MH|||RC
10.2307/3687212|*Spores|D013170|1116|MH|RtM via: Plant spore;RtM via: Reproduction spores;Forced Non-Leaf Node Lookup:spores|TI|MM|1024^6^0
10.2307/3687212|Europe|D005060|1014|MH|RtM via: Europe;Forced Non-Leaf Node Lookup:europe|TI|MM;RC|484^6^0
10.2307/3687212|England|D004739|3|MH|RtM via: England|TI|MM|257^7^0;49^7^0
10.2307/3687259|Canada|D002170|207|MH|RtM via: Canadian;Forced Leaf Node Lookup:canadian;Geo Lookup:canadian|TI;AB|MM;RC|182^8^0
10.2307/3687259|*Islands|D062312|2640|MH|RtM via: Islands|TI|MM;RC|105^6^0;167^7^0
10.2307/3687259|Arctic Regions|D001110|1314|MH|RtM via: Arctic Regions|TI|MM;RC|611^6^0;191^6^0
10.2307/3687221|*Angiosperm|D019684|23548|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM;RC|833^10^0;582^10^0;205^10^0;42^10^0;959^10^0
